procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
 5  0       657596    125004224        52724      2676600    2    3 11092   494    1    0   1   0  97   2   0 2026-09-14 15:10:15
 2  0       657596    124910944        52728      2677152    0    0   420     0 3457 5467   3   1  96   0   0 2026-09-14 15:10:16
 3  0       657596    124858792        52728      2677168    0    0     0     0 3443 5267   3   1  96   0   0 2026-09-14 15:10:17
 3  0       657596    124797632        52728      2677208    0    0     0   516 6222 5669   5   8  87   0   0 2026-09-14 15:10:18
 1  0       657596    124781792        52884      2677384    0    0   288   152 3882 5711   2   1  97   0   0 2026-09-14 15:10:19
 2  0       657596    124780824        52884      2677424    0    0     0     0 3346 5222   1   1  99   0   0 2026-09-14 15:10:20
 1  0       657596    124715824        53240      2713552    0    0 36928     0 4437 6629   1   1  97   0   0 2026-09-14 15:10:21
 1  0       657596    124705792        53240      2714084   48    0    64     0 3740 5422   1   1  98   0   0 2026-09-14 15:10:22
 1  0       657596    124596464        53284      2717972    0    0  4092   568 3606 5453   2   1  97   0   0 2026-09-14 15:10:23
 3  0       657596    124037808        53520      2726988    8    0  9188   152 8616 8018  23   2  75   0   0 2026-09-14 15:10:24
 2  0       657340    123730224        54008      2810036   28    0 73904     0 9614 10369   8   1  90   0   0 2026-09-14 15:10:25
 1  0       657340    124031488        54120      3083104    8    0  5996     0 9427 11101   4   1  95   0   0 2026-09-14 15:10:26
 3  0       657340    120568968        54124      3084372    8    0  1796     0 9174 14780   4   2  94   0   0 2026-09-14 15:10:27
 1  0       657340    116532600        54128      3085016    0    0     4   532 8791 14600   2   3  95   0   0 2026-09-14 15:10:28
 1  0       657340    112533840        54140      3085044    0    0     0   416 9005 14653   1   2  96   0   0 2026-09-14 15:10:29
 1  0       657340    108482640        54140      3085088    0    0     0     0 8963 14615   1   2  96   0   0 2026-09-14 15:10:30
 1  0       657340    104427232        54140      3085100    0    0     0     0 8676 14590   1   2  96   0   0 2026-09-14 15:10:31
 1  0       657340    100374080        54140      3085152    0    0     0     0 8501 14445   1   3  96   0   0 2026-09-14 15:10:32
 3  0       657340     96245320        54140      3085176    0    0     0     0 8529 14493   1   2  96   0   0 2026-09-14 15:10:33
 2  0       657084     92265472        54148      3085216    4    0     4   940 8821 14794   1   2  96   0   0 2026-09-14 15:10:34
 1  0       657084     88175968        54148      3085244    0    0     0     0 8661 14540   1   2  96   0   0 2026-09-14 15:10:35
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
 1  0       657084     84156256        54148      3085280    0    0     0     0 8861 14507   1   2  96   0   0 2026-09-14 15:10:36
 1  0       657084     80102472        54148      3085304    4    0     4     0 8843 14635   1   2  96   0   0 2026-09-14 15:10:37
 2  0       657084     76048424        54148      3085356    0    0     0     0 8584 14530   2   2  96   0   0 2026-09-14 15:10:38
 1  0       657084     71968592        54160      3085364    0    0     0   740 8701 14285   1   2  96   0   0 2026-09-14 15:10:39
 1  0       657084     67864728        54160      3085420    0    0     0     0 8567 14442   1   3  96   0   0 2026-09-14 15:10:40
 1  0       657084     63850632        54160      3085460    0    0    12     0 8974 14469   1   3  96   0   0 2026-09-14 15:10:41
 1  0       657084     59819372        54160      3085520    0    0    28     0 8993 14530   1   2  96   0   0 2026-09-14 15:10:42
 0  1       657084     57098704        54164      3085912    0    0   260     0 8721 14648   2   2  96   0   0 2026-09-14 15:10:43
 1  0       657084     55726424        54184      3771388   20    0 685444   900 10117 15079   1   2  97   0   0 2026-09-14 15:10:44
 1  0       657084     51883744        54184      5691196    4    0 1920248     0 12076 15067   0   3  96   0   0 2026-09-14 15:10:45
 2  0       657084     47951732        54184      7641096    4    0 1949892     0 12563 14764   1   3  96   0   0 2026-09-14 15:10:46
 1  0       657084     44014968        54184      9614532    0    0 1972968     0 12566 14408   0   3  96   0   0 2026-09-14 15:10:47
 1  0       657084     40039016        54184     11598580    0    0 1984468     0 11908 14235   0   3  96   0   0 2026-09-14 15:10:48
18  0       657084     36348532        54192     14219452    0    0 1109952   888 12582 14592   1  23  76   0   0 2026-09-14 15:10:49
18  0       657084     32870212        54192     17704960    0    0     0     0 15083 14749   2  49  49   0   0 2026-09-14 15:10:50
19  0       657084     29541772        54196     21026736    0    0     4 717300 3257942 15387   3  50  46   0   0 2026-09-14 15:10:51
 2  0       657084     37132000        54196     22587452    0    0     0 1614040 2298466 14459   2  28  70   0   0 2026-09-14 15:10:52
 3  0       657084     36492632        54200     23154416    0    0 566940 1548288 135425 14622   0   4  94   2   0 2026-09-14 15:10:53
 2  0       657084     32664008        54212     25064376    0    0 1909480   508 12761 14156   0   3  96   0   0 2026-09-14 15:10:54
 1  0       657084     28699860        54212     27041252    0    0 1978060     0 12157 14240   0   3  96   0   0 2026-09-14 15:10:55
 1  0       657084     24656276        54212     29060308    0    0 2017748     0 11723 14148   0   3  96   0   0 2026-09-14 15:10:56
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
 1  0       657084     20506124        54212     31131036    0    0 2070992     0 12559 14137   0   3  96   0   0 2026-09-14 15:10:57
19  0       657084     16938836        54216     33948816    0    0 747684 426200 1945043 14495   2  33  65   0   0 2026-09-14 15:10:58
19  0       657084     13682860        54228     37190240    4    0     4 659632 2959004 14601   2  51  45   2   0 2026-09-14 15:10:59
 0 19       657084     12061744        54228     38817048    0    0     0 1431552 1833882 15442   4  25  50  21   0 2026-09-14 15:11:00
17  2       657084     11355324        54228     39521312    0    0    56 69632 10914 15352   1  11  55  32   0 2026-09-14 15:11:01
 1 19       657084     10764712        54228     40111532    0    0     0 1064960 288854 15546   1  11  55  33   0 2026-09-14 15:11:02
 1 19       657084     10220724        54228     40651672    0    0     0 673792 191871 15182   2   8  55  35   0 2026-09-14 15:11:03
 0 33       657084      9920324        54232     40950428    0    0     0 675844 184803 14432   1   7  46  46   0 2026-09-14 15:11:04
 5  1       657084     18742192        54236     41430976    0    0  3256 405892 792718 19141   1   9  70  19   0 2026-09-14 15:11:06
 5  1       657084     18499020        54236     41550264    0    0 119040 615448 38834 16342   0   2  93   4   0 2026-09-14 15:11:07
 4  1       657084     18239740        54236     41678464    0    0 128136 592028 35985 15778   0   2  93   4   0 2026-09-14 15:11:08
 6  0       657084     17941124        54240     41826544    0    0 148096 598048 47069 15792   0   3  93   4   0 2026-09-14 15:11:09
 4  2       657084     17548316        54252     42021212    0    0 194560 563612 49084 15765   0   3  93   4   0 2026-09-14 15:11:10
 5  1       657084     17247180        54252     42168180    0    0 147200 581804 30711 15981   0   2  93   4   0 2026-09-14 15:11:11
 3  2       657084     16838188        54256     42373292    0    0 204804 563200 56542 15593   1   3  93   3   0 2026-09-14 15:11:12
 4  0       657084     16521712        54256     42530508    0    0 157196 542724 36421 15868   1   2  93   4   0 2026-09-14 15:11:13
 4  0       657084     12523240        54256     44523704    0    0 1993252     0 11896 14097   0   3  96   0   0 2026-09-14 15:11:14
 4  0       657084      8521284        54268     46521040    0    0 1997412   248 12246 14137   0   3  96   0   0 2026-09-14 15:11:15
 5  0       657084      4417776        54268     48568764    0    0 2048336     0 11343 13946   0   3  96   0   0 2026-09-14 15:11:16
 4  0       663728       881604        54128     50131924    4 6464 1988480  6464 12223 14097   0   3  96   0   0 2026-09-14 15:11:17
21  0       663728       969468        54128     49589040   16    8 493672     8 12126 14158  37   3  61   0   0 2026-09-14 15:11:18
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
 5  2       663728     10593792        54128     49589088    0    0     8 798720 717722 14455  14   7  77   2   0 2026-09-14 15:11:19
 4  1       663728     10342644        54144     49716228    0    0 127420 354432 34679 15060   0   3  92   5   0 2026-09-14 15:11:20
 3  2       663728     10001508        54148     49884252    0    0 167684 526336 33302 15781   1   3  93   4   0 2026-09-14 15:11:21
 3  2       663728      9653076        54148     50055556    0    0 171532 540672 28661 15850   1   3  93   4   0 2026-09-14 15:11:22
 5  2       663728      9332292        54148     50214300    0    0 158720 555008 31022 15752   0   2  93   4   0 2026-09-14 15:11:23
12  1       663728      9055908        54152     50351232    0    0 136892 616448 37864 15990   0   3  93   4   0 2026-09-14 15:11:24
 5  2       663728      8726576        54164     50516192    0    0 164652 608536 44110 15939   0   3  93   4   0 2026-09-14 15:11:25
11  2       663728      8498264        54164     50628412    0    0 112196 430080 35690 15437   0   2  94   4   0 2026-09-14 15:11:26
 4  2       663728      8495016        54164     50628444    0    0     0     0 7865 13950   0   1  94   5   0 2026-09-14 15:11:27
 8  0       663728      8238824        54164     50754696    0    0 126220 378880 32945 15238   0   2  93   4   0 2026-09-14 15:11:28
 6  1       663728      7884040        54164     50933476   76    0 178852 548864 28857 18536   1   3  93   4   0 2026-09-14 15:11:29
 5  0       663728      5579828        54172     52082060    4    0 1148588 213248 23283 16746   1   3  95   2   0 2026-09-14 15:11:30
 5  0       663728      1505492        54172     54116460    0    0 2034400     0 11640 14213   0   4  96   0   0 2026-09-14 15:11:31
 5  0       663728       755344        54156     52996552    0   12 1885896    12 12109 14115   0   5  95   0   0 2026-09-14 15:11:32
 5  0       663728       724572        54116     51130940    0   16 1919208    16 12271 14174   0   5  95   0   0 2026-09-14 15:11:33
23  0       663728       675016        53932     50248004    0    0 958856     0 12265 14500   1  23  76   0   0 2026-09-14 15:11:34
24  0       663728       837520        53908     50064996    0    0     0    68 14758 14285   2  50  48   0   0 2026-09-14 15:11:35
24  0       663728       933568        53908     49958528    0    0   240 415784 1883482 15297   2  52  46   0   0 2026-09-14 15:11:36
 6  1       663728      1800804        53908     49947460    0    0     0 1312320 2195349 15701   4  34  52  10   0 2026-09-14 15:11:37
 5  2       663728     10222892        53912     49947236    0    0    32     0 12396 14095   0   3  92   5   0 2026-09-14 15:11:38
 5  1       663728     10085656        53912     50014508    0    0 67232 281024 21925 15027   0   2  93   5   0 2026-09-14 15:11:39
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
 8  1       663728      9689048        53924     50210168    4    0 195844 471420 48159 15060   0   3  93   4   0 2026-09-14 15:11:40
 6  0       663728      9296980        53924     50403760    0    0 193284 548176 48625 15838   0   3  93   4   0 2026-09-14 15:11:41
 6  0       663728      8804576        53924     50649396    0    0 245600 523400 73073 15590   0   3  93   3   0 2026-09-14 15:11:42
 5  0       663728      5673020        53924     52210692    0    0 1561540 97832 12119 14313   0   3  96   0   0 2026-09-14 15:11:43
 4  0       663728      1667024        53924     54209528    0    0 1998544     0 13521 14135   0   3  96   0   0 2026-09-14 15:11:44
 6  0       663728       744716        53840     54082908    0   68 1062348   288 11475 14149   0   6  93   0   0 2026-09-14 15:11:45
22  0       663728       924908        53792     53027752    0   56 889748 366648 1654698 15319   2  30  67   1   0 2026-09-14 15:11:46
 5 17       663728       701556        53788     53233748    0    0     4 872976 2222698 15227   3  39  50   8   0 2026-09-14 15:11:47
 4  2       663728       889408        53728     53033724    0    0   104 467036 368393 15700   1  20  53  26   0 2026-09-14 15:11:48
 5  1       663728      6075036        53732     53090204    0    0 55744 632920 124171 15033   1   4  91   3   0 2026-09-14 15:11:49
 3  2       663728      5681032        53744     53285068    0    0 194816 504408 43704 15518   0   3  93   4   0 2026-09-14 15:11:50
 3  2       663728      5318556        53744     53463836    0    0 178732 582620 51210 16025   0   3  93   4   0 2026-09-14 15:11:51
 4  2       663728      4960720        53748     53640048    0    0 176176 579128 52112 15727   0   3  93   4   0 2026-09-14 15:11:52
 6  1       663728      4548544        53752     53842904    0    0 203084 591872 53699 15868   0   3  93   3   0 2026-09-14 15:11:53
 4  1       663728      4255736        53752     53987880    0    0 144640 598016 39944 15632   0   2  94   4   0 2026-09-14 15:11:54
 4  0       663728      3543864        53764     54342456    0    0 354612 448816 47848 15410   0   3  94   3   0 2026-09-14 15:11:55
 5  0       663728       892732        53748     55030272    0   52 1958816    52 13961 14142   0   4  96   0   0 2026-09-14 15:11:56
 5  0       663984       726064        53428     53282404    0   80 1935948    80 12871 14174   0   5  95   0   0 2026-09-14 15:11:57
 5  0       663984       721968        52972     51365212    0  100 1917248   100 12219 14162   0   5  95   0   0 2026-09-14 15:11:58
 6  0       664240       748984        52832     49455332    0  168 1894932   168 40897 14080   0   6  94   0   0 2026-09-14 15:11:59
22  1       664496       651916        52880     50176068    0  232 277216 672076 3091810 14436   3  43  54   0   0 2026-09-14 15:12:00
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
 3 18       664496       771596        52820     50065560    0    8    48 985096 1597104 15066   3  29  50  18   0 2026-09-14 15:12:01
 3 19       664496       885008        52824     49946748    0   16   272 389136 478217 15073   3  16  52  29   0 2026-09-14 15:12:02
28  0       664496       616272        52588     50253300    0    0     8 452752 843223 15800   3  27  49  21   0 2026-09-14 15:12:03
 6 16       664496       839524        52568     50012128    0    0   132 824328 855670 15087   2  15  58  26   0 2026-09-14 15:12:04
11 11       664496       915456        52572     49933852    0    0     4 563640 696581 15287   2  14  56  28   0 2026-09-14 15:12:05
 7 15       664496       868824        52576     49969152    0    0     4 643072 374005 15776   3  11  55  32   0 2026-09-14 15:12:06
 6  0       664496      7344104        52580     49984480    0    0     4 933888 385734 15050   2   8  70  21   0 2026-09-14 15:12:07
 3  2       664496     10094256        52592     50013116    0    0 28304 403456 65442 14758   0   2  92   5   0 2026-09-14 15:12:08
 4  1       664496      9898548        52604     50107940    0    0 94796 648016 34911 16048   0   3  93   4   0 2026-09-14 15:12:09
 4  1       664496      9569212        52640     50270636    0    0 162644 603628 56657 15339   1   3  93   4   0 2026-09-14 15:12:10
 3  2       664496      9130572        52640     50487004    0    0 216320 598016 73582 15423   0   3  93   3   0 2026-09-14 15:12:11
 8  0       664496      8730208        52668     50685028    4    0 198252 561100 63111 15635   0   3  93   3   0 2026-09-14 15:12:12
 4  1       664496      8287452        52676     50903944    0    0 218936 583736 66975 15293   0   3  93   3   0 2026-09-14 15:12:13
 4  0       664496      5439380        52720     52325368    0    0 1421000 133120 33975 14678   0   4  95   1   0 2026-09-14 15:12:14
 3  0       664496      1513188        52732     54283900    0    0 1958848   232 11833 14139   0   3  96   0   0 2026-09-14 15:12:15
 4  0       664496       780160        49452     53141124    0    0 1906484     0 20096 14175   0   5  95   0   0 2026-09-14 15:12:16
 8  0       664496       784864        44728     51343368    0    0 1814228     0 40965 14122   0   5  94   0   0 2026-09-14 15:12:17
23  0       664496       982920        44560     49544276    0   28 1604072    28 63876 14288   6   5  89   0   0 2026-09-14 15:12:18
 6  0       664496      2304432        44560     49534628    0    0   268 299068 359802 13863  47   5  48   0   0 2026-09-14 15:12:19
 3  3       664496     10438928        44584     49623692    0    0 89100 434348 223983 15231   0   6  90   3   0 2026-09-14 15:12:20
 3  2       664496      9986544        44592     49850204    0    0 226704 593920 89948 15361   0   4  93   3   0 2026-09-14 15:12:21
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
 4  2       664496      9704152        44592     49992152    4    0 141616 608164 47616 15153   0   3  93   4   0 2026-09-14 15:12:22
 3  2       664496      9319480        44604     50182484    0    0 190268 591716 61370 15304   0   3  93   3   0 2026-09-14 15:12:23
 4  1       664496      8890128        44604     50394548    0    0 212040 579832 77116 15538   0   3  93   3   0 2026-09-14 15:12:24
 5  0       664496      8147072        44612     50763132    0    0 368940 508276 62465 15012   0   3  94   3   0 2026-09-14 15:12:25
 4  0       664496      4133236        44612     52763264    0    0 2001056     0 11981 14274   0   4  96   0   0 2026-09-14 15:12:26
 4  0       664496       871868        44600     54024268    0    0 1999844     0 17978 14109   0   4  96   0   0 2026-09-14 15:12:27
 5  0       664496       907112        44312     52590432    0   12 1464832    12 16853 14660   0   6  93   0   0 2026-09-14 15:12:28
 5  0       663984       779856        42704     50758552  532    4 1941704     4 12783 14500   0   5  95   0   0 2026-09-14 15:12:29
 3  2       663984       887852        42708     50346604    0    0 296960 565044 50135 15324   0   3  93   3   0 2026-09-14 15:12:30
 4  2       663984       734012        42720     50272496    0    0 226976 564164 66022 15561   0   3  93   3   0 2026-09-14 15:12:31
25  0       663984       854868        42720     50010016    0    0 132480 273856 274198 14678  29   5  65   1   0 2026-09-14 15:12:32
 5  0       663984     10139224        42724     50018704   16    0  8604 448560 284122 14506  22   4  71   2   0 2026-09-14 15:12:33
 4  0       663984      7393944        42728     51388820    0    0 1371364 141316 21436 14486   0   3  96   1   0 2026-09-14 15:12:34
 4  0       663984      3487472        42740     53337232    0    0 1947420   344 12264 14192   0   3  96   0   0 2026-09-14 15:12:35
 5  0       663984       880136        42712     53938932    0    8 2008772     8 15801 14135   0   4  96   0   0 2026-09-14 15:12:36
 5  0       663984       819444        38456     52581944    0   16 1467096    16 17753 14608   0   5  94   0   0 2026-09-14 15:12:37
 5  0       663984       714236        38340     50893116    0   44 1780816    44 40410 14083   0   6  94   0   0 2026-09-14 15:12:38
23  0       663984       967920        38296     49594412   16   68 1039932    68 36806 14248  22   5  74   0   0 2026-09-14 15:12:39
 6  0       663984      9224332        38304     49594480    0    0    36    44 502962 13961  29   5  66   0   0 2026-09-14 15:12:40
 4  0       663984      7439220        38308     51171428    0    0 1577916     0 86056 14014   0   5  94   0   0 2026-09-14 15:12:41
 4  0       663984      3532748        38308     53120808    0    0 1948700     0 12703 14094   0   3  96   0   0 2026-09-14 15:12:42
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
 5  0       663984       894528        38272     53856092    0   20 1914264    20 21537 14250   0   4  95   0   0 2026-09-14 15:12:43
 4  0       663984       770536        38068     52353496    0    8 1650100     8 24561 14413   0   5  94   0   0 2026-09-14 15:12:44
 4  0       663984       830432        37992     50363976    0    0 1908144    44 12669 14208   0   5  95   0   0 2026-09-14 15:12:45
26  0       663984       859980        37988     49750816    0    0 571812     0 137988 14756  29   3  68   0   0 2026-09-14 15:12:46
 4  0       663984      9883656        37992     50027972    0    0 277384     0 488107 14211  16   5  78   0   0 2026-09-14 15:12:47
 3  0       663984      6050012        37992     51940856    0    0 1913128     0 38947 14166   0   4  96   0   0 2026-09-14 15:12:48
 3  0       663984      2015272        37992     53954272    0    0 2012856     0 12568 14210   0   3  96   0   0 2026-09-14 15:12:49
 4  0       664240       725136        37500     53330936    0   20 1917228    64 12253 14123   0   4  95   0   0 2026-09-14 15:12:50
 3  0       664240       728844        37376     51457996    0    0 1874388     0 14248 14272   0   5  95   0   0 2026-09-14 15:12:51
