wall_ns,read_MBps,write_MBps,read_lat_ms,write_lat_ms,inflight
1789369037970418633,0.0,0.0,0.00,0.00,0
1789369038997547809,0.0,0.5,0.00,1.27,0
1789369040030048148,0.5,0.0,0.38,0.00,0
1789369041057524120,0.0,0.2,0.00,8.50,0
1789369042083131893,0.0,0.0,0.00,0.00,0
1789369043110835286,0.0,0.0,0.00,0.00,0
1789369044138339681,0.0,0.5,2.50,1.43,0
1789369045164959645,0.0,0.0,0.00,0.00,0
1789369046193177001,0.0,1.8,1.00,11.80,0
1789369047224232922,0.0,0.0,0.00,0.00,0
1789369048255254675,0.1,0.0,0.94,0.00,0
1789369049285534645,1.3,2.1,1.80,0.08,0
1789369050312951319,0.0,0.0,14.00,0.00,0
1789369051340646691,0.0,0.2,0.00,8.50,0
1789369052367452424,0.0,0.0,0.00,0.00,0
1789369053396543417,0.2,0.0,1.92,0.00,0
1789369054425283354,0.0,0.4,0.00,1.58,0
1789369055457153206,0.0,0.2,0.00,9.00,0
1789369056487206537,0.1,0.0,5.60,0.00,0
1789369057517044232,0.0,0.0,0.00,0.00,0
1789369058546827324,9.2,0.0,0.14,0.00,0
1789369059575986488,0.0,0.5,0.00,1.28,0
1789369060603155328,0.1,0.3,0.50,8.50,0
1789369061633729944,0.0,0.0,0.00,0.00,0
1789369062662600381,0.1,0.0,5.00,0.00,0
1789369063690583404,0.0,0.0,4.67,0.00,0
1789369064718735453,0.0,0.6,0.00,1.28,0
1789369065746863355,0.0,0.2,0.00,8.50,0
1789369066772156891,0.0,0.0,0.00,0.00,0
1789369067803675209,0.0,0.0,14.00,0.00,0
1789369068835149636,0.0,0.0,0.00,0.00,0
1789369069866569219,0.0,0.5,0.00,1.48,0
1789369070898338348,0.0,0.2,0.00,8.50,0
1789369071930121158,0.0,0.0,0.00,0.00,0
1789369072960216036,0.0,0.0,0.00,0.00,0
1789369073991031753,0.0,0.0,0.00,0.00,0
1789369075019886334,0.0,0.5,0.00,1.49,0
1789369076049561021,0.0,0.2,7.00,9.00,0
1789369077079363825,0.0,0.0,0.00,0.00,0
1789369078108897084,0.3,0.0,0.94,0.00,0
1789369079138415108,0.0,0.0,0.00,0.00,0
1789369080167565594,0.0,0.0,0.00,0.00,0
1789369081197068967,0.0,0.7,0.00,1.22,0
1789369082224031967,0.0,0.0,0.00,0.00,0
1789369083249105043,0.2,0.0,0.88,0.00,0
1789369084278826627,0.0,0.0,2.67,0.00,0
1789369085308507134,0.0,0.3,0.00,4.50,0
1789369086338467308,0.0,0.5,0.00,7.24,0
1789369087368684404,0.0,0.0,0.00,0.00,0
1789369088398651398,0.0,0.0,0.00,0.00,0
1789369089428562358,0.0,0.0,0.00,0.00,0
1789369090458545413,0.0,0.1,0.00,14.00,0
1789369091488521303,0.0,0.5,1.00,0.31,0
1789369092518678912,0.0,0.0,3.75,0.00,0
1789369093548919958,0.0,0.0,0.20,0.00,0
1789369094578788983,0.0,0.0,14.00,0.00,0
1789369095608790365,0.0,0.4,0.00,1.53,0
1789369096635868939,0.2,0.2,0.20,8.50,0
1789369097663901380,0.0,0.0,0.00,0.00,0
1789369098694110759,0.0,0.0,0.00,0.00,0
1789369099724536413,0.0,0.0,0.00,0.00,0
1789369100754786668,0.0,0.5,0.00,1.36,0
1789369101785089499,0.0,0.2,0.00,8.50,0
1789369102814762105,0.0,0.0,0.00,0.00,0
1789369103844881339,0.0,0.0,0.00,0.00,0
1789369104875151937,0.0,0.0,0.00,0.00,0
1789369105905930169,0.1,0.6,14.00,0.15,0
1789369106936096398,0.0,0.1,0.00,8.50,0
1789369107965742689,0.0,0.0,0.00,0.00,0
1789369108995828192,0.1,0.0,14.00,0.00,0
1789369110023471965,0.0,0.0,14.00,0.00,0
1789369111051388092,0.0,0.5,0.00,1.28,0
1789369112081439839,0.0,0.2,0.00,8.50,0
1789369113110667600,0.0,0.0,0.00,0.00,0
1789369114140270355,0.0,0.0,0.00,0.00,0
1789369115170092031,0.0,0.0,0.00,0.00,0
1789369116200116955,0.0,0.5,0.00,2.29,0
1789369117229879457,0.0,0.1,0.00,2.00,0
1789369118258668602,0.0,0.0,0.00,0.00,0
1789369119288702086,0.1,0.0,7.17,0.00,0
1789369120318870947,0.3,0.0,0.13,0.00,0
1789369121347821265,0.0,0.6,0.00,2.94,0
1789369122377232584,0.1,0.0,14.00,0.00,0
1789369123405037594,0.0,0.0,0.00,0.00,0
1789369124432712694,0.1,0.0,0.75,0.00,0
1789369125462630376,0.0,0.0,0.00,0.00,0
1789369126492798093,0.0,0.1,0.00,8.50,0
1789369127522318923,0.0,0.6,0.00,0.38,0
1789369128552364770,0.0,0.0,0.00,0.00,0
1789369129582580423,0.0,0.0,0.00,0.00,0
1789369130612331731,0.0,0.0,0.00,0.00,0
1789369131641130022,0.0,0.1,0.00,8.50,0
1789369132670999420,0.0,0.4,0.00,4.95,0
1789369133700984387,0.2,0.0,1.00,0.00,0
1789369134730402310,0.0,0.0,0.00,0.00,0
1789369135760963091,0.0,0.0,0.00,0.00,0
1789369136791428818,0.0,0.2,14.00,8.50,0
1789369137822275111,0.0,0.5,0.00,1.23,0
1789369138852504828,0.0,0.0,0.00,0.00,0
1789369139882210242,0.0,0.0,0.00,0.00,0
1789369140912487778,0.0,0.0,0.00,0.00,0
1789369141942673294,0.0,0.2,0.00,8.50,0
1789369142972455575,0.0,0.4,0.00,1.46,0
1789369144002565763,0.0,0.0,0.00,0.00,0
1789369145033522350,0.0,0.0,0.00,0.00,0
1789369146063710226,0.0,0.0,0.00,0.00,0
1789369147093857208,0.2,0.1,4.67,8.50,0
1789369148121903170,0.0,0.4,0.00,0.15,0
1789369149149633384,0.0,0.0,10.50,0.00,0
1789369150178676831,0.1,0.0,14.00,0.00,0
1789369151209395060,0.0,0.0,14.00,0.00,0
1789369152240207432,0.0,0.2,14.00,9.00,0
1789369153270583049,0.0,0.5,0.00,1.41,0
1789369154300710098,0.0,0.0,3.75,0.00,0
1789369155330822378,0.0,0.0,0.00,0.00,0
1789369156360599464,0.0,0.2,14.00,9.00,0
1789369157390996902,0.0,0.0,0.00,0.00,0
1789369158421691555,0.0,0.4,0.00,1.49,0
1789369159452489168,0.0,0.0,0.00,0.00,0
1789369160494447012,0.0,0.0,0.00,0.00,0
1789369161566583852,0.0,0.1,0.00,8.50,0
1789369162594510803,0.1,0.0,2.33,0.00,0
1789369163623528541,0.0,0.4,0.00,1.73,0
1789369164654077917,0.0,0.0,0.00,0.00,0
1789369165683229576,0.0,0.0,0.00,0.00,0
1789369166713564500,0.0,0.2,0.00,8.50,0
1789369167743910091,0.0,0.0,0.00,0.00,0
1789369168774541417,0.0,0.5,0.00,1.43,0
1789369169804663013,0.0,0.0,0.00,0.00,0
1789369170835278322,0.0,0.0,14.00,0.00,0
1789369171864084652,0.0,0.1,0.00,8.50,0
1789369172894734987,0.0,0.0,0.00,0.00,0
1789369173924259053,0.0,0.4,4.67,1.64,0
1789369174949789661,0.0,0.0,0.00,0.00,0
1789369175978248868,0.0,0.0,0.00,0.00,0
1789369177008525888,0.0,0.2,0.00,8.50,0
1789369178038178574,0.0,0.0,0.00,0.00,0
1789369179067905081,0.0,0.5,1.00,1.42,0
1789369180097601295,0.0,0.0,0.00,0.00,0
1789369181127118606,0.0,0.0,0.00,0.00,0
1789369182157452621,0.0,0.1,0.00,8.50,0
1789369183187812974,0.0,0.0,0.00,0.00,0
1789369184218436338,0.0,0.4,0.00,1.59,0
1789369185249541928,0.0,0.0,0.00,0.00,0
1789369186279759088,0.0,0.0,0.00,0.00,0
1789369187310656344,0.0,0.1,0.00,8.50,0
1789369188341164915,0.0,0.0,0.00,0.00,0
1789369189370899903,0.0,0.4,0.00,1.69,0
1789369190400516029,0.0,0.0,0.00,0.00,0
1789369191430658367,0.0,0.2,5.00,1.50,0
1789369192461865163,0.0,0.0,0.00,0.00,0
1789369193492284895,0.0,0.0,0.00,0.00,0
1789369194522318930,0.0,0.4,0.00,1.62,0
1789369195553598429,0.0,0.0,1.40,0.00,0
1789369196584361393,0.0,0.1,0.00,9.00,0
1789369197614852286,0.0,0.0,0.00,0.00,0
1789369198644524831,0.0,0.0,7.00,0.00,0
1789369199672322160,0.0,0.4,0.00,1.61,0
1789369200700610951,0.1,0.0,0.14,14.00,0
1789369201728063541,0.0,0.3,0.00,9.00,0
1789369202756452799,0.0,0.0,0.00,0.00,0
1789369203784756453,0.0,0.0,0.00,0.00,0
1789369204812724706,0.0,0.7,0.00,0.83,0
1789369205840817189,0.0,0.0,0.00,0.00,0
1789369206868238145,0.0,0.2,0.00,8.50,0
1789369207895159796,0.0,0.0,0.00,0.00,0
1789369208920684089,0.0,0.0,0.00,0.00,0
1789369209944770674,0.0,0.6,0.00,1.23,0
1789369210970736144,0.0,0.0,14.00,0.00,0
1789369211996747182,0.0,0.2,0.00,9.00,0
1789369213022933634,0.0,0.0,0.00,0.00,0
1789369214049684706,0.0,0.0,14.00,0.00,0
1789369215075983284,0.0,0.5,0.00,1.31,0
1789369216102896057,0.0,0.0,7.00,0.00,0
1789369217132527592,0.0,0.6,0.00,2.00,0
1789369218162322402,0.0,0.0,0.00,0.00,0
1789369219190642316,0.0,0.0,14.00,0.00,0
1789369220219045673,0.0,0.9,0.00,0.71,0
1789369221246989167,0.1,0.0,7.67,0.00,0
1789369222274435850,0.0,0.3,0.00,8.50,0
1789369223302921702,0.0,0.0,0.00,0.00,0
1789369224330335491,0.0,0.0,0.00,14.00,0
1789369225357930896,0.0,0.6,13.00,1.08,0
1789369226397280382,0.0,0.2,0.00,9.00,0
1789369227495122692,0.0,0.0,0.00,0.00,0
1789369228522469587,3.5,0.0,0.11,0.00,0
1789369229549465991,0.0,0.0,0.00,0.00,0
1789369230576840490,0.0,0.5,0.00,1.29,0
1789369231605113127,0.6,0.2,0.53,8.50,0
1789369232635010569,15.0,0.1,0.10,0.50,0
1789369233665131006,0.0,0.0,0.00,0.00,0
1789369234694586199,0.0,0.0,7.00,0.00,0
1789369235723459521,0.0,0.6,0.00,1.16,0
1789369236752789010,0.0,0.3,0.00,8.50,0
1789369237782959474,0.0,0.0,0.00,0.00,0
1789369238812768217,0.0,0.0,0.00,0.00,0
1789369239842921602,0.0,0.0,0.00,0.00,0
1789369240872717551,0.0,0.7,0.00,1.03,0
1789369241902712850,0.0,0.1,0.00,9.00,0
1789369242932988622,1.0,0.0,0.10,0.00,0
1789369243962733109,0.0,0.0,0.00,0.00,0
1789369244992516827,0.0,0.0,0.00,0.00,0
1789369246022284219,0.0,0.5,0.00,1.51,0
1789369247051875926,0.0,0.2,1.00,8.50,0
1789369248081800937,0.0,0.0,0.50,0.00,0
1789369249111796344,0.0,0.0,0.00,0.00,0
1789369250141610835,0.0,0.0,0.00,0.00,0
1789369251171183088,0.0,0.5,0.00,1.40,0
1789369252200610614,0.0,0.1,0.00,8.50,0
1789369253230424454,0.0,0.0,0.00,0.00,0
1789369254260345221,0.0,0.0,2.43,0.00,0
1789369255290482227,0.0,0.0,0.00,0.00,0
1789369256320192148,0.0,0.4,0.00,1.83,0
1789369257349963688,0.0,0.2,0.00,8.50,0
1789369258379806395,0.0,0.0,0.00,0.00,0
1789369259409684666,0.0,0.2,7.00,1.00,0
1789369260439405555,0.0,0.0,0.00,0.00,8
1789369261469420398,0.0,0.5,0.00,1.43,0
1789369262498811196,0.0,0.0,0.00,0.00,0
1789369263528767821,0.0,0.0,0.00,0.00,0
