#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260914    15:57:17       0      6     38      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0     10      0 
 20260914    15:57:18       0      6     38      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260914    15:57:19       0      7     38      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260914    15:57:20       0      7     38      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260914    15:57:21       0      6     38      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260914    15:57:22       0      7     38      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260914    15:57:23       0      7     38      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260914    15:57:24       0     53     40      -      3      0      0      0      0      0   6500   1950      0      0    134      7      0      -      -      0      0      0 
 20260914    15:57:25       0     52     41      -      0      0      0      0      0      0   6500   1950      0      0    134      7      0      -      -      0      0      0 
 20260914    15:57:26       0     39     41      -      0      0      0      0      0      0   6500   1620      0      0    134      7      0      -      -      0      0      0 
 20260914    15:57:27       0     39     41      -      0      0      0      0      0      0   6500   1620      0      0    134      7      0      -      -      0      0      0 
 20260914    15:57:28       0     39     41      -      0      0      0      0      0      0   6500   1620      0      0    134      7      0      -      -      0      0      0 
 20260914    15:57:29       0     39     41      -      0      0      0      0      0      0   6500   1620      0      0    134      7      0      -      -      0      0      0 
 20260914    15:57:30       0     39     41      -      0      0      0      0      0      0   6500   1620      0      0    250      9      0      -      -      0      0      0 
 20260914    15:57:31       0     40     41      -      0      0      0      0      0      0   6500   1665      0      0   3302      9      0      -      -      0      0      0 
 20260914    15:57:32       0     49     42      -     28      1      0      0      0      0   6500   1920      0      0   3310      9      0      -      -      0      0      0 
 20260914    15:57:34       0     54     42      -     31      1      0      0      0      0   6500   1950      0      0   3318      9      0      -      -      0      0   2337 
 20260914    15:57:35       0     54     43      -     30      1      0      0      0      0   6500   1950      0      0   3326      9      0      -      -      0      0    919 
 20260914    15:57:36       0     53     43      -     33      1      0      0      0      0   6500   1950      0      0   3334      9      0      -      -      0      0   9136 
 20260914    15:57:37       0     53     43      -     45      2      0      0      0      0   6500   1950      0      0   3342      9      0      -      -      0      0      0 
 20260914    15:57:38       0     54     43      -     29      1      0      0      0      0   6500   1950      0      0   3350      9      0      -      -      0      0     10 
 20260914    15:57:39       0     54     43      -     26      1      0      0      0      0   6500   1950      0      0   3358      9      0      -      -      0      0  14307 
 20260914    15:57:40       0     53     43      -     26      1      0      0      0      0   6500   1950      0      0   3366      9      0      -      -      0      0      3 
 20260914    15:57:41       0     54     44      -     27      1      0      0      0      0   6500   1950      0      0   3374      9      0      -      -      0      3      0 
 20260914    15:57:42       0     39     43      -      0      0      0      0      0      0   6500   1620      0      0    134      7      0      -      -      0      1      1 
 20260914    15:57:45       0     40     43      -      0      0      0      0      0      0   6500   1620      0      0    134      7      0      -      -      0     68      1 
 20260914    15:57:46       0     17     42      -      0      0      0      0      0      0    810    900      0      0     15      5      0      -      -      0      0      6 
 20260914    15:57:47       0      8     42      -      0      0      0      0      0      0    405    375      0      0     15      5      0      -      -      0      0      1 
 20260914    15:57:48       0      8     41      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      1 
 20260914    15:57:50       0      7     41      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      1      1 
 20260914    15:57:51       0      7     41      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      1 
 20260914    15:57:52       0      6     41      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      1 
 20260914    15:57:53       0      7     41      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      2      1 
 20260914    15:57:54       0      7     41      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      1 
 20260914    15:57:55       0      7     40      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      1 
