#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260919    03:11:38       0      8     45      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    03:11:39       0      8     45      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    03:11:40       0      7     45      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    03:11:41       0     10     45      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    03:11:42       0     10     45      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    03:11:43       0     10     45      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    03:11:44       0      7     45      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      1      0 
 20260919    03:11:45       0      7     45      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      1      1 
 20260919    03:11:46       0      7     45      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      1      1 
 20260919    03:11:48       0      7     45      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0     10      1 
 20260919    03:11:49       0      7     45      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      1      1 
 20260919    03:11:50       0      8     45      -      1      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      1      1 
 20260919    03:11:51       0      7     45      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      1 
 20260919    03:11:52       0     43     46      -      2      0      0      0      0      0   6500   1620      0      0    134      7      0      -      -      0      1      1 
 20260919    03:11:53       0     42     47      -      0      0      0      0      0      0   6500   1620      0      0    238      7      0      -      -      0      4      2 
 20260919    03:11:54       0     42     47      -      0      0      0      0      0      0   6500   1620      0      0   5760      7      0      -      -      0      1      0 
 20260919    03:11:55       0     57     48      -     42      3      0      0      0      0   6500   1935      0      0   6988      7      0      -      -      0   5096    571 
 20260919    03:11:56       0     58     48      -      0      0      0      0      0      0   6500   1935      0      0   5770      7      0      -      -      0      0      0 
 20260919    03:11:57       0    223     55      -    100     55      0      0      0      0   6500   1890      0      0   6858      7      0      -      -      0     26     12 
 20260919    03:11:58       0    224     57      -    100     57      0      0      0      0   6500   1875      0      0   6858      7      0      -      -      0     19     10 
 20260919    03:11:59       0     55     51      -      0      0      0      0      0      0   6500   1920      0      0   6870      7      0      -      -      0      0      0 
 20260919    03:12:01       0     61     51      -      0      0      0      0      0      0   6500   1920      0      0   9224      7      0      -      -      0      0      0 
 20260919    03:12:02       0     43     50      -      0      0      0      0      0      0   6500   1620      0      0   9224      7      0      -      -      0      0      0 
 20260919    03:12:03       0     43     50      -      1      0      0      0      0      0   6500   1620      0      0   9240      7      0      -      -      0      3      0 
 20260919    03:12:04       0     48     50      -     43     33      0      0      0      0   6500   1740      0      0   9240      7      0      -      -      0      0      0 
 20260919    03:12:05       0     48     50      -      0      0      0      0      0      0   6500   1740      0      0   9240      7      0      -      -      0      1      0 
 20260919    03:12:06       0     43     50      -      0      0      0      0      0      0   6500   1620      0      0   9240      7      0      -      -      0      0      0 
 20260919    03:12:07       0     69     51      -     31      3      0      0      0      0   6500   1620      0      0   9240      7      0      -      -      0      0      0 
 20260919    03:12:08       0    138     54      -    100     12      0      0      0      0   6500   1920      0      0   9240      7      0      -      -      0      2      5 
 20260919    03:12:09       0    109     54      -    100     22      0      0      0      0   6500   1920      0      0   9240      7      0      -      -      0      0      0 
 20260919    03:12:10       0    149     55      -    100     22      0      0      0      0   6500   1920      0      0   9240      7      0      -      -      0      0      1 
 20260919    03:12:11       0    109     55      -    100     21      0      0      0      0   6500   1920      0      0   9240      7      0      -      -      0      1      2 
 20260919    03:12:12       0    166     55      -    100      6      0      0      0      0   6500   1920      0      0   9240      7      0      -      -      0      0      1 
 20260919    03:12:13       0    114     56      -    100     22      0      0      0      0   6500   1920      0      0   9240      7      0      -      -      0      0      1 
 20260919    03:12:14       0    175     56      -    100     22      0      0      0      0   6500   1905      0      0   9240      7      0      -      -      0      0      1 
 20260919    03:12:15       0    129     57      -    100     17      0      0      0      0   6500   1905      0      0   9240      7      0      -      -      0      0      0 
 20260919    03:12:16       0    206     57      -    100      0      0      0      0      0   6500   1905      0      0   9240      7      0      -      -      0      0      0 
 20260919    03:12:18       0    146     58      -    100     22      0      0      0      0   6500   1905      0      0   9240      7      0      -      -      0      0      0 
 20260919    03:12:19       0    192     58      -    100     20      0      0      0      0   6500   1905      0      0   9240      7      0      -      -      0      0      0 
 20260919    03:12:20       0    176     58      -    100      3      0      0      0      0   6500   1905      0      0   9240      7      0      -      -      0      0      0 
 20260919    03:12:21       0    194     59      -    100     22      0      0      0      0   6500   1905      0      0   9240      7      0      -      -      0     12      9 
 20260919    03:12:22       0    208     59      -    100     22      0      0      0      0   6500   1905      0      0   9240      7      0      -      -      0      4      1 
 20260919    03:12:23       0    147     60      -    100      9      0      0      0      0   6500   1905      0      0   9240      7      0      -      -      0      0      1 
 20260919    03:12:24       0    205     60      -    100      0      0      0      0      0   6500   1905      0      0   9240      7      0      -      -      0      1      1 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260919    03:12:25       0    205     61      -    100     21      0      0      0      0   6500   1890      0      0   9244     11      0      -      -      0    182     25 
 20260919    03:12:26       0    169     61      -    100      7      0      0      0      0   6500   1905      0      0   9244     11      0      -      -      0    181     25 
 20260919    03:12:27       0    209     61      -    100      0      0      0      0      0   6500   1905      0      0   9244     11      0      -      -      0    180     25 
 20260919    03:12:28       0    160     61      -    100     21      0      0      0      0   6500   1905      0      0   9244     11      0      -      -      0    180     25 
 20260919    03:12:29       0    205     62      -    100     18      0      0      0      0   6500   1905      0      0   9244     11      0      -      -      0    180     25 
 20260919    03:12:30       0    177     62      -    100      2      0      0      0      0   6500   1905      0      0   9244     11      0      -      -      0    181     25 
 20260919    03:12:31       0    199     62      -    100      0      0      0      0      0   6500   1890      0      0   9244     11      0      -      -      0    181     25 
