#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260919    02:59:34       0      8     63      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      1      1 
 20260919    02:59:35       0      8     62      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      1      1 
 20260919    02:59:36       0      8     62      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    02:59:38       0      7     61      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    02:59:39       0      8     61      -      1      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    02:59:40       0      7     61      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    02:59:41       0      7     60      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0     12 
 20260919    02:59:42       0      8     60      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    02:59:43       0      8     60      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    02:59:44       0      8     59      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    02:59:45       0      8     59      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    02:59:46       0      7     59      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    02:59:47       0     11     58      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260919    02:59:49       0      7     58      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260919    02:59:50       0     47     59      -      0      0      0      0      0      0   6500   1620      0      0    134      7      0      -      -      0      0      0 
 20260919    02:59:51       0     47     59      -      0      0      0      0      0      0   6500   1620      0      0   5760      7      0      -      -      0      0      0 
 20260919    02:59:52       0     48     59      -     22      1      0      0      0      0   6500   1620      0      0   5760      7      0      -      -      0   6892    796 
 20260919    02:59:53       0     62     61      -     25      2      0      0      0      0   6500   1905      0      0   7790      7      0      -      -      0     29      8 
 20260919    02:59:54       0    218     65      -     71     42      0      0      0      0   6500   1875      0      0   6858      7      0      -      -      0     28      8 
 20260919    02:59:55       0    227     67      -    100     58      0      0      0      0   6500   1845      0      0   6858      7      0      -      -      0     25     12 
 20260919    02:59:56       0    226     67      -    100     54      0      0      0      0   6500   1860      0      0   6858      7      0      -      -      0     39      7 
 20260919    02:59:57       0     60     62      -      0      0      0      0      0      0   6500   1890      0      0   6870      7      0      -      -      0      0      0 
 20260919    02:59:58       0     60     61      -      0      0      0      0      0      0   6500   1620      0      0   9224      7      0      -      -      0      0      0 
 20260919    02:59:59       0     48     61      -      0      0      0      0      0      0   6500   1620      0      0   9224      7      0      -      -      0      0      0 
 20260919    03:00:00       0     48     61      -      0      0      0      0      0      0   6500   1620      0      0   9250      9      0      -      -      0     30     24 
 20260919    03:00:01       0     59     61      -      0      0      0      0      0      0   6500   1905      0      0   9240      7      0      -      -      0      0      0 
 20260919    03:00:02       0     59     61      -      0      0      0      0      0      0   6500   1905      0      0   9240      7      0      -      -      0      0      0 
 20260919    03:00:03       0     47     60      -      0      0      0      0      0      0   6500   1620      0      0   9240      7      0      -      -      0      0      0 
 20260919    03:00:04       0    118     63      -    100      0      0      0      0      0   6500   1905      0      0   9240      7      0      -      -      0      0      0 
 20260919    03:00:06       0    120     64      -    100      0      0      0      0      0   6500   1890      0      0   9240      7      0      -      -      0      4      0 
 20260919    03:00:07       0    120     64      -    100      0      0      0      0      0   6500   1890      0      0   9240      7      0      -      -      0      1      0 
 20260919    03:00:08       0    120     64      -    100      0      0      0      0      0   6500   1890      0      0   9240      7      0      -      -      0      0      0 
 20260919    03:00:09       0    120     65      -    100     13      0      0      0      0   6500   1890      0      0   9240      7      0      -      -      0      0      0 
 20260919    03:00:10       0    120     65      -    100      0      0      0      0      0   6500   1890      0      0   9240      7      0      -      -      0      0      0 
 20260919    03:00:11       0    119     65      -    100      0      0      0      0      0   6500   1890      0      0   9240      7      0      -      -      0      0      0 
 20260919    03:00:12       0    120     65      -    100     18      0      0      0      0   6500   1890      0      0   9240      7      0      -      -      0      0      0 
 20260919    03:00:13       0    117     66      -    100     22      0      0      0      0   6500   1890      0      0   9240      7      0      -      -      0      0      0 
 20260919    03:00:14       0    119     66      -    100      2      0      0      0      0   6500   1890      0      0   9240      7      0      -      -      0      0      0 
