#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260919    02:28:39       0      7     47      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    02:28:40       0      7     47      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    02:28:41       0      8     47      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    02:28:42       0      7     47      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    02:28:43       0      7     46      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    02:28:44       0      7     46      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    02:28:45       0      7     46      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    02:28:46       0      7     46      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    02:28:47       0      7     46      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    02:28:49       0      7     46      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    02:28:50       0      7     46      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    02:28:51       0      8     46      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    02:28:52       0     12     46      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      1 
 20260919    02:28:53       0     42     47      -      0      0      0      0      0      0   6500   1620      0      0    134      7      0      -      -      0      0      0 
 20260919    02:28:54       0     42     48      -      0      0      0      0      0      0   6500   1620      0      0   5760      7      0      -      -      0      0      0 
 20260919    02:28:55       0     43     48      -     15      1      0      0      0      0   6500   1620      0      0   5760      7      0      -      -      0   6966    794 
 20260919    02:28:56       0     56     50      -     25      2      0      0      0      0   6500   1920      0      0   7790      7      0      -      -      0     29      8 
 20260919    02:28:57       0    216     54      -     78     45      0      0      0      0   6500   1890      0      0   6858      7      0      -      -      0     30     10 
 20260919    02:28:58       0    230     57      -    100     56      0      0      0      0   6500   1860      0      0   6858      7      0      -      -      0     20     10 
 20260919    02:28:59       0    230     57      -    100     56      0      0      0      0   6500   1890      0      0   6858      7      0      -      -      0     31     12 
 20260919    02:29:00       0     56     52      -      0      0      0      0      0      0   6500   1920      0      0   6870      7      0      -      -      0     24      8 
 20260919    02:29:01       0     56     52      -      0      0      0      0      0      0   6500   1920      0      0   8876      7      0      -      -      0      0      0 
 20260919    02:29:02       0     56     52      -      0      0      0      0      0      0   6500   1920      0      0   8876      7      0      -      -      0      0      0 
 20260919    02:29:03       0     43     51      -      0      0      0      0      0      0   6500   1620      0      0   8876      7      0      -      -      0      0      0 
 20260919    02:29:04       0    115     53      -     88      0      0      0      0      0   6500   1920      0      0   9548      7      0      -      -      0      0      0 
 20260919    02:29:05       0    117     54      -    100      0      0      0      0      0   6500   1920      0      0   9548      7      0      -      -      0      0      4 
 20260919    02:29:07       0    117     54      -    100      1      0      0      0      0   6500   1920      0      0   9548      7      0      -      -      0      0      0 
 20260919    02:29:08       0    117     55      -    100      5      0      0      0      0   6500   1920      0      0   9548      7      0      -      -      0      1      0 
 20260919    02:29:09       0    117     55      -    100     22      0      0      0      0   6500   1920      0      0   9548      7      0      -      -      0      0      0 
 20260919    02:29:10       0    118     56      -    100      0      0      0      0      0   6500   1920      0      0   9548      7      0      -      -      0      0      0 
 20260919    02:29:11       0    117     56      -    100      0      0      0      0      0   6500   1920      0      0   9548      7      0      -      -      0      0      0 
 20260919    02:29:12       0    115     56      -    100     11      0      0      0      0   6500   1920      0      0   9548      7      0      -      -      0      0      0 
 20260919    02:29:13       0    117     57      -    100     22      0      0      0      0   6500   1920      0      0   9548      7      0      -      -      0      0      0 
 20260919    02:29:14       0    116     57      -    100      1      0      0      0      0   6500   1920      0      0   9548      7      0      -      -      0      1      0 
 20260919    02:29:15       0    117     57      -    100      3      0      0      0      0   6500   1920      0      0   9548      7      0      -      -      0      0      4 
 20260919    02:29:16       0    115     58      -    100     19      0      0      0      0   6500   1920      0      0   9548      7      0      -      -      0      0      0 
 20260919    02:29:17       0    115     58      -    100     22      0      0      0      0   6500   1905      0      0   9548      7      0      -      -      0      0      0 
 20260919    02:29:18       0    112     58      -    100      0      0      0      0      0   6500   1905      0      0   9548      7      0      -      -      0      0      0 
 20260919    02:29:19       0    114     59      -    100     14      0      0      0      0   6500   1905      0      0   9548      7      0      -      -      0      0      0 
 20260919    02:29:20       0    111     59      -    100     22      0      0      0      0   6500   1905      0      0   9548      7      0      -      -      0      0      0 
 20260919    02:29:21       0    114     59      -     99     24      0      0      0      0   6500   1905      0      0   9548      7      0      -      -      0      0      0 
