timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/19 02:28:39.373, 0 %, 0 %, 15 MiB, 16384 MiB, 7.22 W, 47
2026/09/19 02:28:40.386, 0 %, 0 %, 15 MiB, 16384 MiB, 7.44 W, 47
2026/09/19 02:28:41.391, 0 %, 0 %, 15 MiB, 16384 MiB, 7.34 W, 47
2026/09/19 02:28:42.397, 0 %, 0 %, 15 MiB, 16384 MiB, 7.37 W, 47
2026/09/19 02:28:43.404, 0 %, 0 %, 15 MiB, 16384 MiB, 7.13 W, 47
2026/09/19 02:28:44.410, 0 %, 0 %, 15 MiB, 16384 MiB, 7.14 W, 46
2026/09/19 02:28:45.416, 0 %, 0 %, 15 MiB, 16384 MiB, 7.31 W, 46
2026/09/19 02:28:46.421, 0 %, 0 %, 15 MiB, 16384 MiB, 9.85 W, 46
2026/09/19 02:28:47.427, 0 %, 0 %, 15 MiB, 16384 MiB, 8.75 W, 46
2026/09/19 02:28:48.433, 0 %, 0 %, 15 MiB, 16384 MiB, 7.18 W, 46
2026/09/19 02:28:49.439, 0 %, 0 %, 15 MiB, 16384 MiB, 7.43 W, 46
2026/09/19 02:28:50.445, 0 %, 0 %, 15 MiB, 16384 MiB, 7.47 W, 46
2026/09/19 02:28:51.450, 0 %, 0 %, 15 MiB, 16384 MiB, 7.45 W, 46
2026/09/19 02:28:52.456, 0 %, 0 %, 18 MiB, 16384 MiB, 7.36 W, 46
2026/09/19 02:28:53.462, 0 %, 0 %, 134 MiB, 16384 MiB, 42.55 W, 47
2026/09/19 02:28:54.464, 0 %, 0 %, 5760 MiB, 16384 MiB, 42.68 W, 48
2026/09/19 02:28:55.466, 15 %, 1 %, 5760 MiB, 16384 MiB, 43.74 W, 48
2026/09/19 02:28:56.468, 25 %, 2 %, 7790 MiB, 16384 MiB, 56.73 W, 50
2026/09/19 02:28:57.474, 0 %, 0 %, 6858 MiB, 16384 MiB, 192.50 W, 53
2026/09/19 02:28:58.477, 100 %, 56 %, 6858 MiB, 16384 MiB, 219.73 W, 57
2026/09/19 02:28:59.479, 100 %, 55 %, 6858 MiB, 16384 MiB, 218.81 W, 58
2026/09/19 02:29:00.482, 0 %, 0 %, 6870 MiB, 16384 MiB, 55.97 W, 52
2026/09/19 02:29:01.484, 58 %, 47 %, 8876 MiB, 16384 MiB, 56.57 W, 52
2026/09/19 02:29:02.486, 0 %, 0 %, 8876 MiB, 16384 MiB, 58.07 W, 52
2026/09/19 02:29:03.488, 0 %, 0 %, 8876 MiB, 16384 MiB, 44.29 W, 51
2026/09/19 02:29:04.490, 0 %, 0 %, 8876 MiB, 16384 MiB, 43.69 W, 51
2026/09/19 02:29:05.492, 100 %, 1 %, 9548 MiB, 16384 MiB, 117.72 W, 54
2026/09/19 02:29:06.494, 100 %, 11 %, 9548 MiB, 16384 MiB, 116.77 W, 54
2026/09/19 02:29:07.497, 100 %, 22 %, 9548 MiB, 16384 MiB, 116.34 W, 55
2026/09/19 02:29:08.499, 100 %, 22 %, 9548 MiB, 16384 MiB, 114.70 W, 55
2026/09/19 02:29:09.501, 100 %, 21 %, 9548 MiB, 16384 MiB, 112.22 W, 56
2026/09/19 02:29:10.505, 100 %, 5 %, 9548 MiB, 16384 MiB, 179.80 W, 56
2026/09/19 02:29:11.510, 100 %, 0 %, 9548 MiB, 16384 MiB, 119.71 W, 58
2026/09/19 02:29:12.515, 100 %, 0 %, 9548 MiB, 16384 MiB, 119.64 W, 59
2026/09/19 02:29:13.517, 100 %, 0 %, 9548 MiB, 16384 MiB, 119.24 W, 57
