wall_ns,read_MBps,write_MBps,read_lat_ms,write_lat_ms,inflight
1789752385905613805,0.0,0.0,0.00,0.00,0
1789752386915529020,0.0,0.2,0.00,4.15,0
1789752387925372419,0.0,0.0,0.00,0.00,0
1789752388935318985,0.0,0.0,0.00,0.00,0
1789752389948943406,0.0,0.1,0.00,5.67,0
1789752390959206631,0.0,0.0,0.00,0.00,0
1789752391969324455,0.0,0.2,0.00,5.14,0
1789752392980046478,0.0,0.0,0.00,0.00,0
1789752393994351137,0.0,0.0,0.00,0.00,0
1789752395007903435,0.0,0.1,0.00,5.67,0
1789752396018576222,0.0,0.0,0.00,0.00,0
1789752397029378231,0.0,0.3,0.00,3.05,0
1789752398039522671,0.0,0.0,0.00,0.00,0
1789752399049625443,0.0,0.0,0.00,0.00,0
1789752400059967299,0.0,0.1,0.00,7.33,0
1789752401069934939,0.0,0.0,0.00,14.00,0
1789752402080946115,0.0,0.4,0.00,2.15,0
1789752403092165463,0.0,0.0,0.00,0.00,0
1789752404102302442,0.0,0.0,0.00,0.00,0
1789752405111846571,0.0,0.2,0.00,5.67,0
1789752406121240500,0.0,0.0,0.00,0.00,0
1789752407131177484,0.0,0.3,0.00,2.85,0
1789752408142194294,0.0,0.0,0.00,0.00,0
1789752409188723332,0.0,0.0,0.00,0.00,0
1789752410442704016,0.0,0.1,0.00,6.33,0
1789752411454311168,0.0,0.0,0.00,0.00,0
1789752412468259731,0.0,0.2,0.00,4.31,0
1789752413478349463,0.0,0.0,0.00,0.00,0
1789752414487911811,0.0,0.1,0.00,6.33,0
1789752415497577708,0.0,0.0,0.00,0.00,0
1789752416507188809,0.0,0.0,0.00,0.00,0
1789752417517328231,0.0,0.2,0.00,3.90,0
1789752418527161846,0.0,0.0,0.00,0.00,0
1789752419537030626,0.0,0.1,0.00,5.67,0
1789752420546746260,0.0,0.0,0.00,0.00,0
1789752421556405356,0.0,0.0,0.00,0.00,0
1789752422566252643,0.0,0.2,0.00,7.00,0
1789752423576103564,0.0,0.0,0.00,0.00,0
1789752424585827094,0.0,0.1,0.00,5.33,0
1789752425595294645,0.0,0.0,0.00,0.00,0
1789752426605107970,0.0,0.0,0.00,0.00,0
1789752427614471090,0.0,0.2,0.00,5.95,0
1789752428624116994,0.0,0.0,0.00,0.00,0
1789752429633671931,0.0,0.1,0.00,8.00,0
1789752430642950731,0.0,0.0,0.00,0.00,0
1789752431652518751,0.0,13.9,0.00,2.03,0
1789752432662204005,0.0,0.2,0.00,0.21,0
1789752433671860229,0.0,0.0,0.00,0.00,0
1789752434681578318,0.0,0.2,0.00,5.67,0
1789752435691171909,0.0,0.0,0.00,0.00,0
1789752436700989396,0.0,0.0,0.00,0.00,0
1789752437710582931,0.0,0.3,0.00,3.32,0
1789752438720067087,0.0,0.0,0.00,0.00,0
1789752439729700305,0.0,0.1,0.00,5.67,0
1789752440739110125,0.0,0.0,0.00,0.00,0
1789752441748735500,0.0,0.0,0.00,0.00,0
1789752442758281728,0.0,0.0,0.00,0.00,0
1789752443767831158,0.0,0.2,0.00,6.22,0
1789752444777630621,0.0,0.1,0.00,6.33,0
1789752445788011430,0.0,0.0,0.00,0.00,0
1789752446797649714,0.0,0.0,0.00,0.00,0
1789752447807446024,0.0,239.5,0.00,9.86,6
1789752448818684671,0.0,237.4,0.00,11.13,0
1789752449831535788,0.0,0.9,0.00,2.25,0
1789752450847032684,0.0,0.0,0.00,0.00,0
1789752451861861232,0.0,0.0,0.00,0.00,0
1789752452876336431,0.0,0.0,0.00,0.00,0
1789752453890485486,0.0,1.0,0.00,1.39,0
1789752454902294331,0.0,0.1,0.00,10.00,0
1789752455917728462,0.0,0.0,0.00,0.00,0
1789752456932367687,0.0,0.0,0.00,0.00,0
1789752457947419412,0.0,0.0,0.00,0.00,0
1789752458962519384,0.0,0.2,0.00,4.26,0
1789752459975498586,0.0,0.1,0.00,5.80,0
1789752461751488399,0.0,0.0,0.00,0.00,0
