wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789912863360507899,121643884,68,0,1216,0
1789912864494391672,121566728,272,0,1216,0
1789912865630731892,120989872,424,0,1216,0
1789912866769284331,120983384,548,0,1216,0
1789912867913992886,120980588,32,0,1216,0
1789912869054385459,120731028,244,0,1216,0
1789912870196343693,120386808,312,0,1216,0
1789912871334852687,120946380,532,0,1216,0
1789912872472171077,120941968,596,0,1216,0
1789912873611827595,120934848,272,0,1216,0
1789912874749579809,120708464,248,0,1216,0
1789912875887906682,120623896,496,0,1216,0
1789912877025172913,120555036,568,0,1216,0
1789912878158951299,120422000,12,0,11456,0
1789912879294723706,120161924,268,0,81100,0
1789912880427919726,120168896,512,0,81092,0
1789912881563724523,120078064,588,0,81092,0
1789912882697180114,120057500,644,0,81092,0
1789912883828401938,120078420,40,28,81092,0
1789912884961199292,119936580,140,0,81092,0
1789912886093767669,119876384,364,0,81092,0
1789912887234865909,118780240,652,32,81092,0
1789912888366919601,118724316,760,244,81096,0
1789912889499377967,118716204,7528,0,81096,0
1789912890631636824,118710584,14684,0,81096,0
1789912891764292927,118713240,21660,0,81096,0
1789912892896774914,118715512,28908,0,81096,0
1789912894029548584,118722432,25664,0,81096,0
1789912895161042243,118712500,32588,0,81096,0
1789912896293679159,118708412,39536,0,81096,0
1789912897427704466,118718980,46456,0,81096,0
1789912898559689300,118715728,6744,7328,81096,0
1789912899693090352,118279824,8644,0,502944,0
1789912900837673069,114319044,16664,0,4275400,0
1789912901979173860,114296164,25748,0,4275400,0
1789912903116263125,114293244,32932,0,4275400,0
1789912904248364900,114287360,39724,0,4275400,0
1789912905379469669,114290944,46512,0,4275400,0
1789912906511409627,114305036,53128,0,4275400,0
1789912907644665220,114317036,60464,0,4275400,0
1789912908777466780,114315760,67072,0,4275400,0
1789912909909332633,114317480,74124,0,4275400,0
1789912911041500169,114319136,81044,0,4275400,0
1789912912173495935,114320416,87892,0,4275400,0
1789912913313652704,114317128,94336,0,4275400,0
1789912914445074630,114311096,101792,0,4275400,0
1789912915578176824,114303156,108580,0,4275400,0
1789912916709357814,114308008,115604,0,4275400,0
1789912917841901473,114308364,122096,0,4275400,0
1789912918973936397,114309572,129228,0,4275400,0
1789912920105578478,114305796,121316,0,4275400,0
1789912921250134290,114305008,128708,0,4275400,0
1789912922382003518,114280252,140944,0,4275400,0
1789912923515536607,114286308,147552,0,4275400,0
1789912924647603623,114282500,3232,0,4275400,0
1789912925781279628,114288964,10292,0,4275400,0
1789912926913651499,114291632,17512,0,4275400,0
1789912928045749068,114288180,24260,0,4275400,0
1789912929177857620,114285160,31376,0,4275400,0
1789912930310157759,114284300,38304,0,4275400,0
1789912931443394709,114278296,44900,0,4275400,0
1789912932575291804,114277368,51948,0,4275400,0
1789912933707407374,114288516,58936,0,4275400,0
1789912934838207353,114283268,65744,0,4275400,0
1789912935969853367,114284608,72688,0,4275400,0
1789912937101478635,114280616,79532,0,4275400,0
1789912938232798181,114275408,86224,0,4275400,0
1789912939366726445,114281684,94144,0,4275400,0
1789912940508671231,114239916,103616,0,4275400,0
1789912941645638130,114272124,110300,0,4275400,0
1789912942778479914,114273696,117644,0,4275400,0
1789912943910673390,114266076,124696,0,4275400,0
1789912945042548893,114269548,115184,0,4275400,0
1789912946174187797,114265356,122812,0,4275400,0
1789912947306044686,114265096,129444,0,4275400,0
1789912948437465987,114267596,136400,0,4275400,0
1789912949569340724,114268716,143028,0,4275400,0
1789912950701821954,114270308,4720,44,4275400,0
1789912951833809065,114265548,11228,0,4275400,0
1789912952965045870,114266768,18464,0,4275400,0
1789912954097307421,114284892,25440,0,4275400,0
1789912955231418901,114283788,37068,0,4275400,0
1789912956373120084,114275832,43736,0,4275400,0
1789912957514766332,114286212,51256,0,4275400,0
1789912958651921517,114273504,58128,0,4275400,0
1789912959792190763,114274608,65256,0,4275400,0
1789912960934820065,114276248,72188,0,4275400,0
1789912962077667343,114270700,79184,0,4275400,0
1789912963218589466,114268648,86152,0,4275400,0
1789912964363853838,114270436,93068,0,4275400,0
1789912965495427264,114272376,100084,0,4275400,0
1789912966629063981,114265808,106732,0,4275400,0
1789912967762907945,110053576,110228,0,8469404,0
1789912968903600471,109975852,130088,0,8469704,0
1789912970041489047,109976096,137128,0,8469704,0
1789912971179755513,109981332,144312,0,8469704,0
1789912972314136329,109982776,151204,0,8469704,0
1789912973455492388,109973200,157676,0,8469704,0
1789912974598665305,109971196,165236,0,8469704,0
1789912975740164464,109975676,172308,4,8469704,0
1789912976882767196,109968492,173264,0,8469704,0
1789912978025154679,109970860,180252,0,8469704,0
1789912979168877476,109977828,187108,0,8469704,0
1789912980315159036,109975756,194272,0,8469704,0
1789912981461624749,109965984,49252,72032,8469704,0
1789912982606229306,109965800,12124,0,8469704,0
1789912983754049283,109969812,19312,0,8469704,0
1789912984900406977,109973820,26248,0,8469704,0
1789912986038509660,109971252,34172,0,8469704,0
1789912987170546931,109975968,40224,0,8469704,0
1789912988309996191,109976428,47016,0,8469704,0
1789912989454074665,109977356,54132,0,8469704,0
1789912990594465456,109978332,61048,0,8469704,0
1789912991738150799,109975028,68192,0,8469704,0
1789912992884525460,109971220,74160,72,8469704,0
1789912994028777314,109967068,81512,0,8469704,0
1789912995172211524,109962816,88224,0,8469704,0
1789912996312177411,109956320,95464,0,8469704,0
1789912997457849834,109953572,101336,0,8469704,0
1789912998600671792,109984272,108564,0,8469704,0
1789912999742205868,109984960,115404,0,8469704,0
1789913000885507574,109978368,122576,0,8469704,0
1789913002036146187,109982880,129820,0,8469704,0
1789913003173166946,109985192,136380,0,8469704,0
1789913004316432598,109982272,143352,0,8469704,0
1789913005464387983,109984748,149928,0,8469704,0
1789913006606631950,109982008,156792,0,8469704,0
1789913007750334087,109983784,158404,0,8469704,0
1789913008895319180,109980364,165004,0,8469704,0
1789913010037587622,109977388,172212,0,8469704,0
1789913011176206063,109970456,178876,0,8469704,0
1789913012318003237,109974764,186216,0,8469704,0
1789913013459584593,109977392,11360,0,8469704,0
1789913014605553055,109980772,18204,0,8469704,0
1789913015747959725,109985972,25176,0,8469704,0
1789913016879492381,109985676,32088,0,8469704,0
1789913018012003190,109983808,38160,0,8469704,0
1789913019143215732,109987180,44996,0,8469704,0
1789913020275201965,109985136,52188,0,8469704,0
1789913021405663145,109985496,58996,0,8469704,0
1789913022536196855,109984912,65964,0,8469704,0
1789913023667773830,109979464,72436,0,8469704,0
1789913024805482671,109986096,79488,0,8469704,0
1789913025943284773,109988748,108968,0,8469704,0
1789913027082879478,109991888,116136,0,8469704,0
1789913028214158219,109985804,122308,0,8469704,0
1789913029346274430,109979784,129088,0,8469704,0
1789913030477769005,109981400,136032,0,8469704,0
1789913031609164972,109976888,142904,0,8469704,0
1789913032741695024,109970364,149632,0,8469704,0
1789913033877958773,109967292,155848,0,8469704,0
1789913035021940821,109972516,163060,0,8469704,0
1789913036163005632,109967764,170068,0,8469704,0
1789913037306821678,109972064,177128,0,8469704,0
1789913038450546702,109972116,180456,0,8469704,0
1789913039594748445,109974520,187776,0,8469704,0
1789913040732510173,109976404,196260,0,8469704,0
1789913041869430229,109975712,203360,0,8469704,0
1789913043013155035,109978368,210528,0,8469704,0
1789913044153763761,109978488,9220,0,8469704,0
1789913045295429770,109977120,23088,0,8469704,0
1789913046428043435,109975420,30312,0,8469704,0
1789913047558214083,109973392,37188,0,8469704,0
1789913048687954667,109969032,43672,0,8469704,0
1789913049817895943,109969296,49240,0,8469704,0
1789913050948205556,109967648,56476,0,8469704,0
1789913052080602035,109965736,63312,0,8469704,0
1789913053211544650,109960604,70076,0,8469704,0
1789913054343074754,109967680,76092,0,8469704,0
1789913055475467542,109961620,83020,0,8469704,0
1789913056606256893,109962476,101428,0,8469704,0
1789913057737475821,109965552,108384,0,8469704,0
1789913058869727267,109963352,115556,0,8469704,0
1789913060002054156,109959156,122040,0,8469704,0
1789913061133550938,109960788,129052,0,8469704,0
1789913062264595606,109962612,135868,0,8469704,0
1789913063397720029,109965896,142572,0,8469704,0
1789913064528102811,109966364,149096,0,8469704,0
1789913065658579674,109965156,155276,0,8469704,0
1789913066788866170,109965740,162556,0,8469704,0
1789913067923931024,109965036,169532,0,8469704,0
1789913069066835784,109969072,176456,0,8469704,0
1789913070212684255,109970660,180180,0,8469704,0
1789913071357760473,109972060,187464,0,8469704,0
1789913072505741831,109969540,194436,0,8469704,0
1789913073650622076,109973528,201152,0,8469704,0
1789913074791577298,109968880,6340,72076,8469704,0
1789913075927712331,109975384,18004,0,8469704,0
1789913077058534045,109971692,25068,0,8469704,0
1789913078189798493,109972320,32024,0,8469704,0
1789913079321147466,109975420,38648,0,8469704,0
1789913080453099827,109968496,45340,0,8469704,0
1789913081584963350,109965004,51568,0,8469704,0
1789913082716024162,109959728,58196,0,8469704,0
1789913083847615805,109970380,65708,0,8469704,0
1789913084977692523,109970244,72368,0,8469704,0
1789913086121873406,109974076,77708,0,8469704,0
1789913087253004743,109976580,85320,0,8469704,0
1789913088385061011,109974728,91808,0,8469704,0
1789913089516681389,109979252,98996,0,8469704,0
1789913090647864180,109975100,105268,0,8469704,0
1789913091779245972,109977724,111912,0,8469704,0
1789913092910034988,109970848,119204,0,8469704,0
1789913094040453906,109967488,127116,0,8469704,0
1789913095171944776,109965408,133776,0,8469704,0
1789913096304370958,109971704,140264,0,8469704,0
1789913097435369686,109970392,147252,0,8469704,0
1789913098567771774,109967616,153844,0,8469704,0
1789913099699533208,109970648,160840,0,8469704,0
1789913100831763263,109969536,164480,332,8469704,0
1789913101962300429,109973224,171544,0,8469704,0
1789913103093591760,109971876,178556,0,8469704,0
1789913104225367639,109963976,185340,0,8469704,0
1789913105357253074,109966940,192368,0,8469704,0
1789913106489066671,109962444,10588,0,8469704,0
1789913107621005637,109959748,17736,0,8469704,0
1789913108751287740,109963916,23984,0,8469704,0
1789913109882512694,109958292,31148,0,8469704,0
1789913111015591422,109961732,38904,0,8469704,0
1789913112153459419,109960756,48240,0,8469704,0
1789913113284267921,109956356,55820,0,8469704,0
1789913114415437388,109962140,62768,0,8469704,0
1789913115546782453,109965832,69480,0,8469704,0
1789913116679455124,109963224,74344,0,8469704,0
1789913117810491528,109958096,81752,0,8469704,0
1789913118940862704,109961908,89044,0,8469704,0
1789913120072577166,109959684,95832,0,8469704,0
1789913121203309215,109956580,101732,76,8469704,0
1789913122336049175,109962256,109284,0,8469704,0
1789913123467387481,109953244,116416,0,8469704,0
1789913124599625276,109956032,123708,0,8469704,0
