procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
 4  0       546832     92277072      1276532     29445220    2    2 13337   489    0    1   1   1  96   2   0 2026-09-20 23:01:02
 3  0       546832     92185360      1276532     29445324    0    0     0   480 2668 4496   3   1  97   0   0 2026-09-20 23:01:03
 2  0       546832     92125232      1276532     29445368    0    0     0     0 5685 5487   5   8  88   0   0 2026-09-20 23:01:04
 2  0       546832     92075456      1276532     29445416    0    0     0     0 2893 4806   3   1  96   0   0 2026-09-20 23:01:05
 1  0       546832     91447744      1276540     29445468    0    0     0   140 3564 6047   1   1  98   0   0 2026-09-20 23:01:06
 2  0       546832     91512752      1276540     29445520    0    0     0     0 2587 4526   1   1  99   0   0 2026-09-20 23:01:07
 1  0       546832     91510016      1276540     29445572    0    0     0   528 2593 4832   0   0  99   0   0 2026-09-20 23:01:08
 7  0       546832     91085768      1276540     29445600    0    0     0     0 3024 4827   4   1  95   0   0 2026-09-20 23:01:09
 6  0       546832     90900256      1276540     29445656    0    0     0     0 5736 6847  20   1  80   0   0 2026-09-20 23:01:10
 1  0       546832     91477120      1276540     29445708    0    0     0   164 4535 5253   3   1  96   0   0 2026-09-20 23:01:11
 1  0       546832     91472160      1276540     29445756    0    0     0     0 2702 4591   1   0  99   0   0 2026-09-20 23:01:12
 0  0       546832     91473256      1276540     29445804    0    0     0   552 2781 4766   1   1  99   0   0 2026-09-20 23:01:13
 1  0       546832     91318440      1276540     29445848    0    0     0     0 2789 4629   2   1  98   0   0 2026-09-20 23:01:14
 2  0       546832     91199248      1276540     29445900    0    0     0     0 2862 4569   3   0  97   0   0 2026-09-20 23:01:15
 1  0       546832     91128576      1276540     29445948    0    0     0   176 2969 4501   3   0  96   0   0 2026-09-20 23:01:16
 1  0       546832     91090880      1276540     29445992    0    0     0     0 2804 5067   2   1  97   0   0 2026-09-20 23:01:17
18  0       546832     90883136      1276540     29525772    0    0     0   528 5182 6650   3   1  96   0   0 2026-09-20 23:01:18
 2  0       546832     90695248      1276540     29526028    0    0     0     0 4056 6369   3   0  96   0   0 2026-09-20 23:01:19
 1  0       546832     90700320      1276540     29526068    0    0     0     4 3546 5998   3   1  97   0   0 2026-09-20 23:01:20
 1  0       546832     90612304      1276540     29526112    0    0     0   188 3624 6025   3   1  97   0   0 2026-09-20 23:01:21
 2  0       546832     90585392      1276540     29526160    0    0     0     0 3306 5822   3   1  96   0   0 2026-09-20 23:01:22
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
 1  0       546832     90606208      1276540     29526212    0    0     0   600 4432 6676   3   0  96   0   0 2026-09-20 23:01:23
 1  0       546832     90613888      1276540     29526252    0    0     0     0 4635 5756   3   0  97   0   0 2026-09-20 23:01:24
 2  0       546832     90467920      1276540     29526372    0    0     0     0 3937 6327   3   0  97   0   0 2026-09-20 23:01:25
 1  0       546832     89344544      1276548     29526520    0    0     0   156 4117 6989   3   1  96   0   0 2026-09-20 23:01:26
 2  0       546832     89309232      1276556     29526848    0    0     0   480 3633 6285   3   0  97   0   0 2026-09-20 23:01:27
 2  0       546832     89254232      1276556     29530244    0    0     0  2592 4576 6097   3   1  96   0   0 2026-09-20 23:01:28
 2  0       546832     89236400      1276556     29536716    0    0     0     0 3998 6699   6   0  94   0   0 2026-09-20 23:01:29
 3  0       546832     89229632      1276556     29543844    0    0     0     0 4423 6602   6   0  94   0   0 2026-09-20 23:01:30
 3  0       546832     89217872      1276556     29550904    0    0     0     0 4106 6606   6   0  94   0   0 2026-09-20 23:01:31
 2  0       546832     89215512      1276556     29557764    0    0     0   376 3788 6463   6   0  94   0   0 2026-09-20 23:01:32
 2  0       546832     89211584      1276556     29565164    0    0     0     0 3951 6609   6   0  94   0   0 2026-09-20 23:01:33
 3  0       546832     89202368      1276556     29572156    0    0     0 10036 4122 6731   6   0  94   0   0 2026-09-20 23:01:34
 3  0       546832     89193840      1276556     29578428    0    0     0     0 3830 6788   6   0  94   0   0 2026-09-20 23:01:35
 4  0       546832     89182816      1276556     29584828    0    0     0     0 3706 5797   6   0  94   0   0 2026-09-20 23:01:36
 2  0       546832     89184208      1276560     29591296    0    0     0   276 4157 6393   6   0  94   0   0 2026-09-20 23:01:37
 3  0       546832     89177072      1276560     29598584    0    0     0     0 4027 6857   6   0  94   0   0 2026-09-20 23:01:38
 3  0       546832     89165136      1276560     29605048    0    0     0 51824 4654 6909   6   0  93   0   0 2026-09-20 23:01:39
 1  0       546832     85993232      1276560     32757164    0    0     0     0 4635 5478   2   2  95   0   0 2026-09-20 23:01:40
 0  0       546832     84744056      1276560     33816752    0    0     0     0 7436 30270   3   2  95   0   0 2026-09-20 23:01:41
 2  0       546832     84727200      1276568     33823588    0    0     0   304 4023 7073   2   1  97   0   0 2026-09-20 23:01:42
 2  0       546832     84709472      1276568     33830016    0    0     0     0 3968 6425   5   1  94   0   0 2026-09-20 23:01:43
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
 4  0       546832     84702224      1276568     33837004    0    0     0     0 3829 5909   5   1  94   0   0 2026-09-20 23:01:44
 2  0       546832     84699776      1276568     33843420    0    0     0     0 3900 6043   5   1  94   0   0 2026-09-20 23:01:45
 3  0       546832     84705064      1276568     33850408    0    0     0     0 4293 7662   6   1  93   0   0 2026-09-20 23:01:46
