Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
78.1,1834727487032,6649,275940365.0,3209.0,1581,17357320089,1757937854.3,cudaEventSynchronize
11.3,266398121930,37748,7057277.8,18007.5,4495,2536561912,54586842.6,cuMemcpyPeerAsync
7.6,179702558747,153425,1171273.0,5606.0,2735,470071784,19408737.9,cudaLaunchKernel
1.4,33400569127,29320,1139173.6,8775.0,4261,464437163,19271634.3,cuLaunchKernelEx
1.1,26502696289,37748,702095.4,36930.0,947,19446528,2290700.9,cuStreamSynchronize
0.3,6295545919,3726,1689625.9,7449.0,3166,460031780,27068954.1,cudaMemcpyAsync
0.1,2537202438,221,11480554.0,1831.0,848,2536777800,170642011.2,cuKernelGetFunction
0.0,70884077,221,320742.4,7146.0,5211,19306928,1493501.5,cuLaunchKernel
0.0,69648154,3339,20859.0,1982.0,851,4365709,277732.3,cudaEventRecordWithFlags_v11010
0.0,66230571,8,8278821.4,768523.5,28676,21658485,10972981.0,cuStreamCreateWithPriority
0.0,22034015,1,22034015.0,22034015.0,22034015,22034015,0.0,cuMemFree_v2
0.0,13140436,9,1460048.4,477034.0,32366,4521548,1625262.3,cuMemAlloc_v2
0.0,6958586,99,70288.7,50549.0,9448,193949,54966.8,cuMemcpyBatchAsync
0.0,6781452,6561,1033.6,961.0,254,18171,991.7,cudaStreamIsCapturing_v10000
0.0,4481698,8,560212.3,364746.0,161721,1543080,492331.3,cuMemHostRegister_v2
0.0,2499480,1292,1934.6,1362.0,416,18999,1401.4,cudaEventQuery
0.0,1759866,835,2107.6,1820.0,818,25176,1796.4,cudaEventCreateWithFlags
0.0,1735824,821,2114.3,1218.0,561,40238,2903.5,cudaEventDestroy
0.0,1154337,432,2672.1,2522.0,633,19135,1150.1,cudaStreamWaitEvent
0.0,961036,198,4853.7,5019.0,1592,26809,3887.8,cudaEventRecord
0.0,896236,47,19068.9,9421.0,3281,44650,15110.5,cudaHostAlloc
0.0,514668,6,85778.0,94033.5,48480,119899,29095.8,cuModuleLoadData
0.0,2660,1,2660.0,2660.0,2660,2660,0.0,cuProfilerStart
0.0,1322,1,1322.0,1322.0,1322,1322,0.0,cuLibraryGetKernel
0.0,1302,1,1302.0,1302.0,1302,1302,0.0,cuGetProcAddress_v2
