wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789788375028142053,120846056,436,0,1200,0
1789788376039043207,120794216,460,0,1200,0
1789788377049961731,120746640,196,0,1200,0
1789788378061539242,120744660,276,0,1200,0
1789788379075710467,120706124,456,0,1200,0
1789788380086595421,120183628,524,0,1200,0
1789788381097750055,120688316,536,0,1200,0
1789788382109124058,120688168,44,0,1200,0
1789788383123553949,120687468,204,0,1200,0
1789788384136391741,120597920,388,0,1200,0
1789788385148048658,120427804,408,0,1200,0
1789788386159550567,120359052,452,0,1200,0
1789788387170658311,120277564,44,0,1200,0
1789788388182079341,120159748,92,0,11440,0
1789788389192963602,119946868,336,0,81084,0
1789788390204234365,119960936,356,0,81076,0
1789788391216016709,119938560,400,0,81076,0
1789788392227133765,119904900,4,0,81076,0
1789788393237724984,119903148,276,0,81076,0
1789788394257114997,119901444,464,0,81076,0
1789788395267224176,119779980,488,0,81076,0
1789788396278487463,118638736,528,0,1171732,0
1789788397290472603,113900440,4,144,5899516,0
1789788398340614151,111203552,252,0,8469684,0
1789788399596839691,111177352,448,0,8469684,0
1789788400608150077,111142864,536,0,8469684,0
1789788401618574661,111142360,580,0,8469684,0
1789788402628643679,111140636,24,0,8469684,0
1789788403638693699,111139660,76,0,8469684,0
1789788404648643788,111138836,288,0,8469684,0
1789788405658830554,111137984,464,0,8469684,0
1789788406668727575,111136812,488,0,8469684,0
1789788407678641644,111135812,12,0,8469684,0
1789788408688490645,111138340,212,0,8469684,0
1789788409698432232,111137640,408,0,8469684,0
1789788410708379214,111136660,436,0,8469684,0
1789788411718219269,111136240,452,0,8469684,0
1789788412729640123,111063540,0,84,8469684,0
1789788413745245029,111062384,556,0,8469684,0
1789788414759391841,111062412,624,0,8469684,0
1789788415769997436,111062212,644,0,8469684,0
1789788416780497964,111061324,660,0,8469684,0
1789788417791531632,111060876,304,0,8469684,0
1789788418802483805,111059892,188,0,8469684,0
1789788419813224914,111061784,320,0,8469684,0
1789788420823716727,111062112,352,0,8469684,0
1789788421834103739,111060472,380,0,8469684,0
1789788422844987334,111060988,404,0,8469684,0
1789788423855057691,111061684,312,0,8469684,0
1789788424865139517,111061944,348,0,8469684,0
1789788425875316297,111062276,420,0,8469684,0
1789788426885749525,111062308,440,0,8469684,0
1789788427895755428,111062156,472,0,8469684,0
1789788428906089333,111061480,620,0,8469684,0
1789788429916200298,111061056,320,0,8469684,0
1789788430926189057,111060712,396,0,8469684,0
1789788431936525827,111059724,424,0,8469684,0
1789788432946910711,111057792,444,0,8469684,0
1789788433956967025,111057344,244,0,8469684,0
1789788434967339165,111038360,412,0,8469684,0
1789788435978327368,111038216,436,0,8469684,0
1789788436988784002,111036016,460,0,8469684,0
1789788437999145638,111035812,532,0,8469684,0
1789788439009584674,111035136,676,0,8469684,0
1789788440020028335,111034748,736,0,8469684,0
1789788441030294179,111034020,784,0,8469684,0
1789788442040713207,111034708,832,0,8469684,0
1789788443050733054,111034856,852,0,8469684,0
1789788444061133984,111034428,308,0,8469684,0
1789788445071598102,111035292,344,0,8469684,0
1789788446081871453,111035356,504,0,8469684,0
1789788447092127853,111035672,520,0,8469684,0
1789788448102295616,111035368,576,0,8469684,0
1789788449112491109,111034960,132,0,8469684,0
1789788450122502109,111034992,208,0,8469684,0
1789788451132412519,111035036,228,0,8469684,0
1789788452142786914,111034360,264,0,8469684,0
1789788453153754134,111032568,280,0,8469684,0
1789788454164422387,111032624,24,0,8469684,0
1789788455174680028,111031384,232,0,8469684,0
1789788456185127643,111031148,264,0,8469684,0
1789788457195626354,111030460,320,0,8469684,0
1789788458206101348,111031736,388,0,8469684,0
1789788459216557694,111031364,496,0,8469684,0
1789788460226961586,111031444,76,0,8469684,0
1789788461237196146,111029940,104,0,8469684,0
1789788462247428539,111028700,268,0,8469684,0
1789788463257782714,111029012,340,0,8469684,0
1789788464268342272,111029556,496,0,8469684,0
1789788465278344792,111030636,172,0,8469684,0
1789788466289146298,111031228,224,0,8469684,0
1789788467299984621,111031828,264,0,8469684,0
1789788468311118267,111030712,296,0,8469684,0
1789788469326984886,111030036,764,0,8469684,0
1789788470342477293,111029552,188,0,8469684,0
1789788471356937200,111028584,284,0,8469684,0
1789788472372100750,111027664,312,0,8469684,0
1789788473386146606,111026996,348,0,8469684,0
1789788474399200158,111028560,512,0,8469684,0
1789788475412996783,111026164,36,0,8469684,0
1789788476425435583,111026228,264,0,8469684,0
1789788477435704836,111027324,296,0,8469684,0
1789788478445667308,111027132,352,0,8469684,0
1789788479455886216,111026960,500,0,8469684,0
1789788480466467255,111026476,80,0,8469684,0
1789788481477465313,111026072,104,0,8469684,0
1789788482489421866,111024612,344,0,8469684,0
1789788483501851368,111024692,376,0,8469684,0
1789788484512632921,111024620,864,0,8469684,0
1789788485525026843,111026484,0,140,8469684,0
1789788486539465894,111027380,84,0,8469684,0
1789788487553905235,111028452,292,0,8469684,0
1789788488567565165,111029352,332,0,8469684,0
1789788489582171479,111026256,520,0,8469684,0
1789788490596339252,111027884,0,44,8469684,0
1789788491610535784,111026892,72,0,8469684,0
1789788492625273651,111025920,220,0,8469684,0
1789788493640139497,111026008,448,0,8469684,0
1789788494654749779,111025512,484,0,8469684,0
1789788495669240424,111026508,0,0,8469684,0
1789788496683232714,111026964,80,0,8469684,0
1789788497695649568,111026132,216,0,8469684,0
1789788498705847437,111026516,328,0,8469684,0
1789788499716790074,111025868,400,0,8469684,0
1789788500728115299,111027444,0,124,8469684,0
1789788501743525642,111027108,200,0,8469684,0
1789788502758124641,111026912,256,0,8469684,0
1789788503772537231,111026000,628,0,8469684,0
1789788504787074507,111026116,664,0,8469684,0
1789788505801801725,111026912,400,212,8469684,0
1789788506815614618,111026480,76,0,8469684,0
1789788507831000876,111026340,232,0,8469684,0
1789788508845180015,111025160,264,0,8469684,0
1789788509858870845,111023968,408,0,8469684,0
1789788510871905948,111023500,428,0,8469684,0
1789788511884952479,111023380,52,0,8469684,0
1789788512898409995,111025760,240,0,8469684,0
1789788513910728760,111025372,396,0,8469684,0
1789788514921830592,111025244,424,0,8469684,0
1789788515934333847,111025280,432,0,8469684,0
1789788516946925439,111024644,628,0,8469684,0
1789788517961854396,111025012,244,0,8469684,0
1789788518976340854,111023384,400,0,8469684,0
1789788519989866904,111023600,444,0,8469684,0
1789788521002580007,111023136,448,0,8469684,0
1789788522017193412,111024456,56,0,8469684,0
1789788523031719137,111023620,272,0,8469684,0
1789788524045315819,111023540,432,0,8469684,0
1789788525059471543,111025160,464,0,8469684,0
1789788526073705109,111022484,500,0,8469684,0
1789788527088230764,111022632,60,0,8469684,0
1789788528102184001,111023460,216,0,8469684,0
1789788529112553694,111023268,392,0,8469684,0
1789788530122899994,111024172,420,0,8469684,0
1789788531132930564,111024768,452,0,8469684,0
1789788532142966365,111024672,32,0,8469684,0
1789788533152927556,111025348,216,0,8469684,0
1789788534162998771,111024532,316,0,8469684,0
1789788535173527354,111024924,336,0,8469684,0
1789788536185547242,111030548,380,0,8469684,0
1789788537199744789,111031476,156,0,8469684,0
1789788538209905130,111030792,228,0,8469684,0
1789788539219968150,111030648,708,0,8469684,0
1789788540230031077,111030964,752,0,8469684,0
1789788541240153125,111030332,792,0,8469684,0
1789788542249924605,111029680,16,0,8469684,0
1789788543259905337,111029648,92,0,8469684,0
1789788544269816782,111028740,320,0,8469684,0
1789788545280690256,111028320,412,0,8469684,0
1789788546294938051,111027176,436,0,8469684,0
1789788547309782308,111027628,56,0,8469684,0
1789788548323790587,111027644,204,0,8469684,0
1789788549337732988,111029808,536,0,8469684,0
1789788550351895962,111029332,552,0,8469684,0
1789788551366836199,111030068,660,0,8469684,0
1789788552381082118,111028112,16,0,8469684,0
1789788553395202668,111028808,344,0,8469684,0
1789788554410469560,111028996,392,0,8469684,0
1789788555424672485,111030632,440,0,8469684,0
1789788556437628240,111030760,460,0,8469684,0
1789788557449939812,111030076,32,128,8469684,0
1789788558459464143,111029876,460,0,8469684,0
1789788559469686957,111030516,496,0,8469684,0
1789788560479933128,111030116,532,0,8469684,0
1789788561490052197,111028924,632,0,8469684,0
1789788562499946999,111029244,156,0,8469684,0
1789788563509743707,111028372,192,0,8469684,0
1789788564519661831,111027992,332,0,8469684,0
1789788565529836035,111028608,452,0,8469684,0
1789788566539727117,111029180,516,0,8469684,0
1789788567549538263,111028192,24,0,8469684,0
1789788568559153673,111027428,300,0,8469684,0
1789788569569085987,111026972,312,0,8469684,0
1789788570579173114,111025492,344,0,8469684,0
1789788571589222631,111025260,376,0,8469684,0
1789788572599772448,111025884,476,0,8469684,0
1789788573609876625,111026504,636,0,8469684,0
1789788574620050588,111025804,688,0,8469684,0
1789788575629915034,111026616,832,0,8469684,0
1789788576640205255,111024496,868,0,8469684,0
1789788577650502313,111024044,888,0,8469684,0
1789788578660336253,111023108,184,0,8469684,0
1789788579670716762,111021660,364,0,8469684,0
1789788580682220085,111021784,480,0,8469684,0
1789788581696788244,111021316,504,0,8469684,0
1789788582710210973,111020664,608,0,8469684,0
1789788583725368123,111020476,40,0,8469684,0
1789788584740526020,111021072,220,0,8469684,0
1789788585755576605,111023896,244,0,8469684,0
1789788586770279452,111025148,268,0,8469684,0
1789788587784498571,111024540,288,0,8469684,0
1789788588794644975,111023684,504,0,8469684,0
1789788589805039313,111024000,208,0,8469684,0
1789788590815014087,111022344,244,0,8469684,0
1789788591825024713,111021152,316,0,8469684,0
1789788592835084517,111020728,344,0,8469684,0
1789788593845122122,111019536,384,0,8469684,0
1789788594855369793,111020444,236,0,8469684,0
1789788595865433903,111020532,252,0,8469684,0
1789788596875638091,111020688,284,0,8469684,0
1789788597885301148,111021100,344,0,8469684,0
1789788598895215598,111021184,0,264,8469684,0
1789788599905341140,111020988,88,0,8469684,0
1789788600915814014,111022376,112,0,8469684,0
1789788601925825909,111023244,384,0,8469684,0
1789788602935630274,111021820,440,0,8469684,0
1789788603945700569,111020964,28,0,8469684,0
1789788604956013898,111019484,224,0,8469684,0
1789788605966350440,111024144,248,0,8469684,0
1789788606976626207,111023104,304,0,8469684,0
1789788607986703182,111022368,392,0,8469684,0
1789788608996896482,111022452,140,0,8469684,0
1789788610007015299,111022976,256,0,8469684,0
1789788611017550010,111024292,340,0,8469684,0
1789788612027676574,111024196,388,0,8469684,0
1789788613037594867,111024060,432,0,8469684,0
1789788614059318279,111024372,4,0,8469684,0
1789788615069835029,111023412,224,0,8469684,0
1789788616079962773,111023012,272,0,8469684,0
1789788617089790854,111022372,344,0,8469684,0
1789788618099810624,111023668,532,0,8469684,0
1789788619109643335,111024536,12,344,8469684,0
1789788620119513197,111025344,204,0,8469684,0
1789788621129472484,111023468,232,0,8469684,0
1789788622139819260,111023664,268,0,8469684,0
1789788623150186444,111022056,292,0,8469684,0
1789788624160685580,111021100,208,48,8469684,0
1789788625171039670,111020380,232,0,8469684,0
1789788626181010064,111020296,256,0,8469684,0
1789788627191156709,111018836,312,0,8469684,0
1789788628201239142,111018228,336,0,8469684,0
1789788629211346405,111017640,0,152,8469684,0
1789788630221462899,111017236,88,0,8469684,0
