wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789783986673005822,120828720,240,0,1216,0
1789783987683340116,120780208,440,0,1216,0
1789783988693500133,120730052,468,0,1216,0
1789783989704046152,120602876,172,0,1216,0
1789783990717970617,120668612,232,0,1216,0
1789783991732690413,120663432,380,0,1216,0
1789783992744191190,120172532,412,0,1216,0
1789783993754861731,120021428,444,0,1216,0
1789783994766733445,120628812,56,0,1216,0
1789783995782028385,120627132,96,0,1216,0
1789783996796071453,120625684,256,0,1216,0
1789783997810588892,120405080,440,0,1216,0
1789783998821546539,120324800,456,0,1216,0
1789783999832114395,120240412,24,0,1216,0
1789784000842565489,120126744,264,0,11456,0
1789784001853535142,119920388,456,0,80816,0
1789784002864536520,119936324,504,4,81092,0
1789784003876597471,119932936,600,0,81092,0
1789784004887745837,119868080,152,0,81092,0
1789784005898351497,119852560,88,0,81092,0
1789784006908581802,119851852,416,0,81092,0
1789784007919074099,119727148,440,0,81092,0
1789784008929926225,119422084,468,0,81092,0
1789784009941001146,118586084,36,0,81092,0
1789784010951746336,118546548,540,0,81092,0
1789784011962176626,118538716,1152,0,81092,0
1789784012973038720,118539328,1244,0,81092,0
1789784013983895188,118520548,1528,0,81092,0
1789784014994453634,118400700,16,0,81092,0
1789784016005384291,118381368,220,0,81092,0
1789784017016312990,118367752,428,0,81092,0
1789784018027339926,118351468,452,0,81092,0
1789784019037936575,118403404,704,0,81092,0
1789784020048112545,118404036,20,0,81092,0
1789784021058383407,118409404,224,0,81092,0
1789784022068970569,118535224,404,0,81092,0
1789784023079837192,116168836,460,0,2435764,0
1789784024090980912,114172812,1272,0,4275396,0
1789784025101513895,114176892,312,360,4275396,0
1789784026112185098,114175440,104,0,4275396,0
1789784027122948393,114173044,316,0,4275396,0
1789784028134067149,114155384,712,0,4275396,0
1789784029144876702,114033044,772,0,4275396,0
1789784030156071060,114012264,312,0,4275396,0
1789784031167038696,113996288,236,0,4275396,0
1789784032177879191,113980084,372,0,4275396,0
1789784033189651255,114035352,708,0,4275396,0
1789784034204783206,114032008,768,0,4275396,0
1789784035220658555,114040148,800,0,4275396,0
1789784036234327267,114172060,208,0,4275396,0
1789784037249914249,114169624,364,0,4275396,0
1789784038265880760,114168544,640,0,4275396,0
