wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789445736866147510,125877540,536,0,908,0
1789445737891606111,125819104,552,0,908,0
1789445738926198201,125750828,0,64,908,0
1789445739953388519,125746636,76,0,908,0
1789445740983140336,125746200,84,0,908,0
1789445742013025452,125716496,100,0,908,0
1789445743042892198,125650500,244,0,908,0
1789445744070693826,125527540,0,80,908,0
1789445745097596157,125389520,56,0,908,0
1789445746125074539,125320052,196,0,908,0
1789445747152989899,124686052,216,0,11148,0
1789445748180774442,124919816,228,0,155388,0
1789445749208591297,123175856,0,0,146328,0
1789445750237725470,119155080,64,0,146328,0
1789445751266974198,114915536,80,0,146316,0
1789445752297070872,110776348,216,0,146316,0
1789445753327269994,106187120,256,0,146316,0
1789445754355895081,102214276,296,0,146316,0
1789445755387421460,97776024,44,0,146316,0
1789445756416885853,93650184,80,0,146316,0
1789445757446152265,89418036,84,0,146316,0
1789445758474880756,85238136,104,0,146316,0
1789445759504135537,80965272,248,0,146316,0
1789445760532735627,76510080,56,0,146316,0
1789445761564419502,72368920,84,0,146316,0
1789445762593869614,67316512,224,0,146316,0
1789445763622922153,67417780,268,0,146316,0
1789445764650900967,67411584,304,0,146316,0
1789445765680084259,67417488,64,0,146316,0
1789445766708686569,67422632,188,0,146316,0
1789445767737783970,67431516,208,0,146316,0
1789445768765284409,67467368,212,0,146316,0
1789445769792985754,67496188,472,0,146316,0
1789445770824254222,67227792,64,0,146320,0
1789445771858358905,65997024,76,0,146320,0
1789445772891806650,65078948,220,0,146320,0
1789445773920687317,67515024,240,0,146320,0
1789445774952939172,67517332,704,0,146320,0
1789445775987318734,67516664,44,0,146320,0
1789445777020994487,67514964,200,0,146320,0
1789445778055389512,67515516,208,0,146320,0
1789445779089172450,67510488,232,0,146320,0
1789445780123908857,67507176,328,0,146320,0
1789445781158388800,67509836,60,0,146320,0
1789445782193519677,67508500,76,0,146320,0
1789445783228083042,67504072,228,0,146320,0
1789445784260425511,67511480,248,0,146320,0
1789445785293098181,67507184,396,0,146320,0
1789445786325087239,67504448,48,0,146320,0
1789445787359294842,67503660,192,0,146320,0
1789445788385241130,67505596,212,0,146320,0
1789445789418559838,67504488,340,0,146320,0
1789445790452989324,67501940,364,0,146320,0
1789445791488157475,67505176,52,0,146320,0
1789445792522539169,67502340,80,0,146320,0
1789445793556806153,67497460,216,0,146320,0
1789445794591152277,67504772,376,0,146320,0
1789445795624686275,67504688,400,0,146320,0
1789445796659083768,67502448,12,0,146320,0
1789445797694500710,67507056,72,0,146320,0
1789445798729601248,67503324,92,0,146320,0
1789445799764843201,67501324,104,0,146320,0
1789445800798692584,67505304,244,0,146320,0
1789445801832682215,67504264,12,76,146320,0
1789445802866160840,67502836,76,0,146320,0
1789445803901087670,67504980,216,0,146320,0
1789445804935636469,67503500,360,0,146320,0
1789445805969484452,67500488,384,0,146320,0
1789445807004026722,67507836,36,0,146320,0
1789445808038846693,67504824,80,0,146320,0
1789445809071990373,67503588,100,0,146320,0
1789445810103209359,67507336,228,0,146320,0
1789445811137457686,67505208,252,0,146320,0
1789445812169318328,67501068,36,0,146320,0
1789445813201008001,67500388,196,0,146320,0
1789445814230326622,67503792,212,0,146320,0
1789445815265311050,67501892,332,0,146320,0
1789445816299010174,67501552,364,0,146320,0
1789445817333376720,67503576,4,0,146320,0
1789445818367590496,67508256,184,0,146320,0
1789445819405810108,67529160,200,0,146320,0
1789445820435734031,67546012,332,0,146320,0
1789445821469937197,67541156,723508,0,146320,0
1789445822513042503,67529992,1864656,8592,146320,0
1789445823564828231,67543484,2933944,0,146320,0
1789445824598807489,67543788,4151408,0,146320,0
1789445825629125359,67531368,5348628,0,146320,0
1789445826657283405,67527576,6376940,0,146320,0
1789445827687822148,67530676,7236384,2636,146320,0
1789445828715643770,67539060,8087764,5556,146320,0
1789445829745698003,67529448,8850976,7772,146320,0
1789445830773478007,67505412,9684520,11608,146320,0
1789445831795194978,67508368,10284664,8412,146320,0
1789445832817817731,67526264,11224832,5992,146320,0
1789445833848891355,67515824,10776440,6952,146320,0
1789445834877758342,67502332,10554420,16276,146320,0
1789445835911690172,67518172,10276468,5920,146320,0
1789445836945063836,67509164,10936200,12456,146320,0
1789445837975185083,67511100,11161476,16448,146320,0
1789445839003010235,67504520,11321316,5656,146320,0
1789445840031010808,67505676,11448552,8192,146320,0
1789445841061032826,67494860,11475576,11460,146320,0
1789445842091832411,67495984,11536304,4640,146320,0
1789445843124853867,67496732,11563224,11672,146320,0
1789445844156550975,67505668,11659224,8192,146320,0
1789445845185321046,67494304,11742416,8512,146320,0
1789445846217984992,67488624,11743212,4932,146320,0
1789445847250406213,67479288,11752360,7360,146320,0
1789445848283689981,67487804,11726252,16384,146320,0
1789445849316823966,67465700,11789428,12896,146320,0
1789445850349484754,67460612,11761120,7524,146320,0
1789445851381685241,67452784,11762248,5740,146320,0
1789445852414114747,67469140,11789568,5864,146320,0
1789445853446585671,67462664,11774440,7408,146320,0
1789445854478670258,67457148,11755916,13532,146320,0
1789445855511870570,67453792,11726772,8244,146320,0
1789445856542485905,67447808,11729184,8556,146320,0
1789445857575282341,67442548,11748696,13252,146320,0
1789445858608838759,67448648,11728760,0,146320,0
1789445859641981322,67445352,11746240,6812,146320,0
1789445860674197413,67440180,11766196,11264,146320,0
1789445861705995023,67436348,11784984,8024,146320,0
1789445862736724997,67432680,11819544,7812,146320,0
1789445863769017240,67427116,11839764,8696,146320,0
1789445864801443508,67422828,11835748,7984,146320,0
1789445865833395138,67420784,11842012,12856,146320,0
1789445866865596887,67419204,11747800,12180,146320,0
1789445867896336319,67418584,11721524,4872,146320,0
1789445868922947397,67415400,11666900,8192,146320,0
1789445869953678075,67410348,11685616,7688,146320,0
1789445870987118857,67415508,11717852,7348,146320,0
1789445872019064528,67411588,11702180,11720,146320,0
1789445873051358193,67405712,11719592,7708,146320,0
1789445874084153517,67399844,11738944,4268,146320,0
1789445875115286815,67393500,11691624,6680,146320,0
1789445876148326655,67396948,11704064,13984,146320,0
1789445877180696299,67395180,11687696,8192,146320,0
1789445878213325795,67389148,11705392,6304,146320,0
1789445879257476014,67388924,11722184,5140,146320,0
1789445880289741983,67388112,11609692,24028,146320,0
1789445881318584964,67384488,11721036,6032,146320,0
1789445882351257231,67380156,11757600,12728,146320,0
1789445883383829607,67378764,11690772,21864,146320,0
1789445884416916711,67378964,11679692,14040,146320,0
1789445885445842140,67374464,11678000,4032,146320,0
1789445886478420923,67374628,11698960,8824,146320,0
1789445887510228265,67370436,11677820,23068,146320,0
1789445888543218510,67360536,11684832,7868,146320,0
1789445889575044201,67364692,11677236,15384,146320,0
1789445890608954717,67373628,11689412,7788,146320,0
1789445891641691401,67365852,11691640,12740,146320,0
1789445892672417321,67364892,11679796,12832,146320,0
1789445893705935340,67365092,11678328,8192,146320,0
1789445894738664685,67361768,11691276,8520,146320,0
1789445895772410409,67341892,11675644,8192,146320,0
1789445896804607367,67349892,11663980,6156,146320,0
1789445897836926782,67351088,11707688,7316,146320,0
1789445898868491405,67352176,11610532,8140,146320,0
1789445899916543811,67351296,11708748,6568,146320,0
1789445900947991700,67354636,11709584,7776,146320,0
1789445901978437791,67341284,11610160,6560,146320,0
1789445903007562486,67350640,11657768,7504,146320,0
1789445904038511793,67341188,11655508,8148,146320,0
1789445905071747813,67313376,11652548,9456,146320,0
1789445906101261500,67331368,11658136,6196,146320,0
1789445907133431892,67335160,11638404,14352,146320,0
1789445908165555178,67368012,11610196,8560,146320,0
1789445909195396271,67348876,11719668,12124,146320,0
1789445910229234490,67357148,11761560,6876,146320,0
1789445911491101376,67356444,12080796,4800,146320,0
1789445912522660427,67365176,12186700,6764,146320,0
1789445913553348288,67341264,11995848,10104,146320,0
1789445914584825427,67353700,11880752,7404,146320,0
1789445915617230251,67345768,11792104,5548,146320,0
1789445916650116439,67352288,11739840,7216,146320,0
1789445917679899000,67341472,11683068,7756,146320,0
1789445918712807963,67339372,11599564,7948,146320,0
1789445919745385974,67336728,11566984,22992,146320,0
1789445920776359261,67340136,11576828,8064,146320,0
1789445921809510125,67338124,11584780,7812,146320,0
1789445922841487869,67336204,11576212,8568,146320,0
1789445923875059044,67334476,11580400,4288,146320,0
1789445924909329874,67326408,11570488,10352,146320,0
1789445925940472538,67331820,11581996,5692,146320,0
1789445926973205051,67332640,11583988,7676,146320,0
1789445928003072333,67337732,11562900,3700,146320,0
1789445929035886019,67332540,11549452,7784,146320,0
1789445930068623655,67332228,11596040,8696,146320,0
1789445931100794633,67330208,11546708,3924,146320,0
1789445932132274956,67331568,11604928,9704,146320,0
1789445933164928770,67330244,11574412,10208,146320,0
1789445934196151915,67332764,11511612,13128,146320,0
1789445935226798784,67329448,11598652,6588,146320,0
1789445936258975003,67317932,11589828,8192,146320,0
1789445937287690346,67303864,11603300,7012,146320,0
1789445938319569557,67313872,11599732,7632,146320,0
1789445939352785430,67317996,11570360,7256,146320,0
1789445940382097172,67322724,11642268,6724,146320,0
1789445941411380504,67328720,11620660,7504,146320,0
1789445942443861741,67307288,11560212,8192,146320,0
1789445943476975742,67318484,11596328,7504,146320,0
1789445944510214841,67308656,11567656,7136,146320,0
1789445945542350244,67303016,11611292,8024,146320,0
1789445946574954900,67317508,11589920,11148,146320,0
1789445947608289769,67315780,11596064,6724,146320,0
1789445948637145003,67308056,11615048,11140,146320,0
1789445949667638242,67315388,11593464,6768,146320,0
1789445950698618126,67317492,11577952,9200,146320,0
1789445951731972221,67308328,11587656,8176,146320,0
1789445952763654433,67303992,11575368,7496,146320,0
1789445953795737682,67309184,11599524,10996,146320,0
1789445954827704556,67303796,11553612,11296,146320,0
1789445955858415293,67301604,11548296,36308,146320,0
