timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/15 13:15:35.895, 0 %, 0 %, 15 MiB, 16384 MiB, 8.28 W, 45
2026/09/15 13:15:36.908, 0 %, 0 %, 15 MiB, 16384 MiB, 7.44 W, 45
2026/09/15 13:15:37.914, 0 %, 0 %, 15 MiB, 16384 MiB, 7.46 W, 45
2026/09/15 13:15:38.920, 0 %, 0 %, 15 MiB, 16384 MiB, 7.49 W, 45
2026/09/15 13:15:39.927, 0 %, 0 %, 15 MiB, 16384 MiB, 7.34 W, 45
2026/09/15 13:15:40.933, 0 %, 0 %, 15 MiB, 16384 MiB, 7.28 W, 45
2026/09/15 13:15:41.939, 0 %, 0 %, 15 MiB, 16384 MiB, 7.09 W, 45
2026/09/15 13:15:42.946, 0 %, 0 %, 15 MiB, 16384 MiB, 7.31 W, 45
2026/09/15 13:15:43.952, 0 %, 0 %, 15 MiB, 16384 MiB, 7.07 W, 45
2026/09/15 13:15:44.958, 0 %, 0 %, 15 MiB, 16384 MiB, 6.92 W, 45
2026/09/15 13:15:45.964, 0 %, 0 %, 15 MiB, 16384 MiB, 6.86 W, 44
2026/09/15 13:15:46.974, 0 %, 0 %, 18 MiB, 16384 MiB, 7.13 W, 44
2026/09/15 13:15:47.980, 1 %, 0 %, 174 MiB, 16384 MiB, 41.48 W, 46
2026/09/15 13:15:48.987, 12 %, 1 %, 4428 MiB, 16384 MiB, 42.30 W, 47
2026/09/15 13:15:49.992, 21 %, 1 %, 4436 MiB, 16384 MiB, 42.08 W, 47
2026/09/15 13:15:50.997, 54 %, 2 %, 4444 MiB, 16384 MiB, 57.68 W, 48
2026/09/15 13:15:51.999, 30 %, 1 %, 4452 MiB, 16384 MiB, 57.82 W, 48
2026/09/15 13:15:53.001, 37 %, 2 %, 4460 MiB, 16384 MiB, 57.02 W, 48
2026/09/15 13:15:54.004, 46 %, 2 %, 4468 MiB, 16384 MiB, 44.86 W, 48
2026/09/15 13:15:55.008, 13 %, 1 %, 4474 MiB, 16384 MiB, 56.25 W, 48
2026/09/15 13:15:56.011, 37 %, 2 %, 4482 MiB, 16384 MiB, 57.88 W, 48
2026/09/15 13:15:57.014, 30 %, 1 %, 4490 MiB, 16384 MiB, 57.27 W, 48
2026/09/15 13:15:58.017, 16 %, 1 %, 4498 MiB, 16384 MiB, 48.50 W, 48
2026/09/15 13:15:59.021, 51 %, 2 %, 4506 MiB, 16384 MiB, 56.63 W, 48
2026/09/15 13:16:00.024, 30 %, 1 %, 4514 MiB, 16384 MiB, 56.44 W, 49
2026/09/15 13:16:01.028, 37 %, 2 %, 4522 MiB, 16384 MiB, 57.58 W, 49
2026/09/15 13:16:02.030, 38 %, 2 %, 4530 MiB, 16384 MiB, 46.22 W, 48
2026/09/15 13:16:03.034, 19 %, 1 %, 4536 MiB, 16384 MiB, 49.95 W, 48
2026/09/15 13:16:04.037, 0 %, 0 %, 4536 MiB, 16384 MiB, 49.45 W, 48
2026/09/15 13:16:05.041, 0 %, 0 %, 4536 MiB, 16384 MiB, 42.10 W, 48
2026/09/15 13:16:06.044, 0 %, 0 %, 4536 MiB, 16384 MiB, 42.31 W, 48
2026/09/15 13:16:07.047, 0 %, 0 %, 4536 MiB, 16384 MiB, 42.21 W, 48
2026/09/15 13:16:08.050, 0 %, 0 %, 4536 MiB, 16384 MiB, 42.53 W, 48
2026/09/15 13:16:09.053, 0 %, 0 %, 4536 MiB, 16384 MiB, 41.88 W, 48
2026/09/15 13:16:10.056, 0 %, 0 %, 6912 MiB, 16384 MiB, 41.96 W, 48
2026/09/15 13:16:11.059, 0 %, 0 %, 6912 MiB, 16384 MiB, 42.25 W, 48
2026/09/15 13:16:12.062, 0 %, 0 %, 6912 MiB, 16384 MiB, 42.82 W, 48
2026/09/15 13:16:13.066, 47 %, 2 %, 6912 MiB, 16384 MiB, 58.35 W, 49
2026/09/15 13:16:14.069, 0 %, 0 %, 6912 MiB, 16384 MiB, 56.47 W, 49
2026/09/15 13:16:15.071, 0 %, 0 %, 6912 MiB, 16384 MiB, 42.50 W, 48
2026/09/15 13:16:16.074, 0 %, 0 %, 6912 MiB, 16384 MiB, 42.49 W, 48
2026/09/15 13:16:17.076, 0 %, 0 %, 6912 MiB, 16384 MiB, 42.53 W, 48
2026/09/15 13:16:18.079, 0 %, 0 %, 6912 MiB, 16384 MiB, 42.12 W, 48
2026/09/15 13:16:19.081, 0 %, 0 %, 6912 MiB, 16384 MiB, 42.37 W, 48
2026/09/15 13:16:20.084, 0 %, 0 %, 6912 MiB, 16384 MiB, 42.33 W, 48
2026/09/15 13:16:21.086, 0 %, 0 %, 6912 MiB, 16384 MiB, 42.35 W, 48
2026/09/15 13:16:22.089, 0 %, 0 %, 6912 MiB, 16384 MiB, 42.31 W, 48
2026/09/15 13:16:23.091, 0 %, 0 %, 6912 MiB, 16384 MiB, 42.37 W, 48
2026/09/15 13:16:24.094, 0 %, 0 %, 6912 MiB, 16384 MiB, 42.05 W, 48
2026/09/15 13:16:25.096, 0 %, 0 %, 6912 MiB, 16384 MiB, 42.21 W, 48
2026/09/15 13:16:26.099, 0 %, 0 %, 6912 MiB, 16384 MiB, 42.12 W, 48
2026/09/15 13:16:27.101, 0 %, 0 %, 6912 MiB, 16384 MiB, 42.27 W, 48
2026/09/15 13:16:28.104, 0 %, 0 %, 6912 MiB, 16384 MiB, 42.25 W, 48
2026/09/15 13:16:29.106, 0 %, 0 %, 6912 MiB, 16384 MiB, 42.10 W, 48
2026/09/15 13:16:30.109, 0 %, 0 %, 6912 MiB, 16384 MiB, 7.84 W, 47
2026/09/15 13:16:31.115, 0 %, 0 %, 6912 MiB, 16384 MiB, 7.24 W, 46
2026/09/15 13:16:32.119, 0 %, 0 %, 6912 MiB, 16384 MiB, 8.68 W, 46
