wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789415671834807983,125962008,264,0,904,0
1789415672860953936,125916840,276,0,904,0
1789415673887571575,125858520,324,0,904,0
1789415674914608719,125831388,352,0,904,0
1789415675942310636,125830136,360,0,904,0
1789415676971604873,125801744,384,0,904,0
1789415677997483167,125798456,400,0,904,0
1789415679026842613,125645204,420,0,904,0
1789415680054586257,125481508,428,0,904,0
1789415681082659895,125409456,44,0,904,0
1789415682115466140,124962608,80,0,904,0
1789415683159301475,124646372,256,0,11144,0
1789415684186091646,125019116,268,0,146248,0
1789415685214054699,123707600,292,0,146324,0
1789415686246477481,119752540,192,0,146324,0
1789415687275807855,115374120,216,0,146312,0
1789415688303261002,111423160,256,0,146312,0
1789415689332157154,107227272,272,0,146312,0
1789415690360587935,102773804,300,0,146312,0
1789415691388413577,98801520,152,0,146312,0
1789415692417382605,94494276,220,0,146312,0
1789415693445289538,90460740,248,0,146312,0
1789415694473587098,86277780,280,0,146312,0
1789415695502211155,81823052,292,0,146312,0
1789415696531332235,77851816,24,72,146312,0
1789415697560767725,73416048,212,0,146312,0
1789415698589003368,69365336,228,0,146312,0
1789415699617242929,65211528,260,0,146312,0
1789415700645987717,60874600,272,0,146312,0
1789415701674667355,58731972,0,0,146312,0
1789415702701635916,58730800,332,0,146312,0
1789415703728655661,58736812,372,0,146312,0
1789415704756765655,58751000,392,0,146312,0
1789415705784640072,58766124,3952,0,146312,0
1789415706809826493,58792908,124,0,146312,0
1789415707836206635,58822096,180,0,146312,0
1789415708863117249,58818692,216,4,146316,0
1789415709893297895,57713108,240,0,146316,0
1789415710926917954,56485984,2208,0,146316,0
1789415711961222289,58841680,136,0,146316,0
1789415712995204366,58839768,192,0,146316,0
1789415714027629779,58835668,256,0,146316,0
1789415715060672017,58833364,264,0,146316,0
1789415716093235544,58839408,476,0,146316,0
1789415717126806374,58835392,168,0,146316,0
1789415718159315345,58831836,260,0,146316,0
1789415719189591303,58837268,292,0,146316,0
1789415720221453304,58833756,320,0,146316,0
1789415721255588132,58831888,468,0,146316,0
1789415722290270845,58827568,44,0,146316,0
1789415723322934179,58830292,204,0,146316,0
1789415724355713691,58826748,216,0,146316,0
1789415725386484860,58823216,264,0,146316,0
1789415726421068072,58828588,440,0,146316,0
1789415727455335524,58828968,52,0,146316,0
1789415728488339633,58827744,80,0,146316,0
1789415729521198364,58824884,228,0,146316,0
1789415730555177438,58824264,240,0,146316,0
1789415731589701692,58823544,444,0,146316,0
1789415732624142986,58829360,164,0,146316,0
1789415733658179663,58826448,212,0,146316,0
1789415734692696398,58825456,276,0,146316,0
1789415735727115114,58826636,292,0,146316,0
1789415736760677706,58828868,452,0,146316,0
1789415737795503851,58827632,32,76,146316,0
1789415738829779683,58826996,72,0,146316,0
1789415739863871626,58823548,204,0,146316,0
1789415740898318322,58823672,232,0,146316,0
1789415741932205322,58823252,392,0,146316,0
1789415742965061537,58821216,32,0,146316,0
1789415743998610392,58819408,200,0,146316,0
1789415745032264366,58821892,240,0,146316,0
1789415746062665798,58821352,408,0,146316,0
1789415747097405605,58817736,416,0,146316,0
1789415748131554647,58819960,192,0,146316,0
1789415749166216492,58820200,280,0,146316,0
1789415750199124244,58818276,320,0,146316,0
1789415751229196936,58815408,468,0,146316,0
1789415752263001026,58816964,504,0,146316,0
1789415753297397152,58815564,32,0,146316,0
1789415754331098693,58813096,72,0,146316,0
1789415755364845559,58820636,216,0,146316,0
1789415756399500799,58971336,388,0,146316,0
1789415757437311355,58993692,400,0,146316,0
1789415758468612525,59000048,24,0,146316,0
1789415759514406568,58992784,176,0,146316,0
1789415760548234643,58992592,192,0,146316,0
1789415761577947888,58996344,380,0,146316,0
1789415762605980467,58995464,412,0,146316,0
1789415763637004228,58983840,12,0,146316,0
1789415764670990697,58993016,192,0,146316,0
1789415765694983597,58994624,212,0,146316,0
1789415766728922827,58985104,146148,0,146316,0
1789415767762697989,58987800,1357700,0,146316,0
1789415768793835148,58986340,2372420,40,146316,0
1789415769819710910,58978544,3570380,0,146316,0
1789415770850256358,58985104,4781904,0,146316,0
1789415771880297507,58981280,5842324,0,146316,0
1789415772914297231,58983696,6570556,8116,146316,0
1789415773943726633,58983968,7379604,4776,146316,0
1789415774976962934,58965996,8170692,4900,146316,0
1789415776005458326,58986088,8752856,5556,146316,0
1789415777035997107,58970636,9691488,3376,146316,0
1789415778066263755,58978920,9238784,16156,146316,0
1789415779096860557,58968004,9104360,8208,146316,0
1789415780125519564,58962756,8953896,7224,146316,0
1789415781156465049,58966876,9457168,8004,146316,0
1789415782189905459,58963296,9888212,11848,146316,0
1789415783217759894,58957336,9952416,10496,146316,0
1789415784246362572,58958564,10100304,12368,146316,0
1789415785278546610,58943792,10095220,9904,146316,0
1789415786313335951,58946292,10176348,6900,146316,0
1789415787348655744,58941432,10163892,8472,146316,0
1789415788380807471,58942192,10309304,7332,146316,0
1789415789413431228,58941624,10356956,15700,146316,0
1789415790446968201,58940924,10412020,5628,146316,0
1789415791479217784,58935624,10327224,8192,146316,0
1789415792510245040,58931340,10471104,12536,146316,0
1789415793541632697,58930144,10501076,6656,146316,0
1789415794574233162,58927044,10437932,12800,146316,0
1789415795606473809,58920324,10349084,12444,146316,0
1789415796636913535,58917844,10401780,7836,146316,0
1789415797667083453,58922840,10490840,7916,146316,0
1789415798699383415,58914232,10475340,7156,146316,0
1789415799732460653,58914260,10458628,4848,146316,0
1789415800765581457,58896764,10437620,8360,146316,0
1789415801798768232,58890984,10377608,9524,146316,0
1789415802831003726,58888108,10279936,8248,146316,0
1789415803862305611,58886360,10148488,8192,146316,0
1789415804897045990,58878600,10344892,7584,146316,0
1789415805929270292,58879040,10320960,5728,146316,0
1789415806959474594,58885944,10402484,8192,146316,0
1789415807993459803,58902700,10387756,5656,146316,0
1789415809025617265,58898344,10368412,4100,146316,0
1789415810055578438,58896020,10377524,8076,146316,0
1789415811088667772,58893672,10258868,3720,146316,0
1789415812122318952,58894240,10319056,8192,146316,0
1789415813153808444,58883032,10423876,5400,146316,0
1789415814187606542,58882464,10375680,4216,146316,0
1789415815221061168,58884872,10367520,8192,146316,0
1789415816252484992,58884320,10234420,10708,146316,0
1789415817282592791,58896212,10411564,4232,146316,0
1789415818313717674,58888176,10361084,8192,146316,0
1789415819343997544,58880688,10340948,13588,146316,0
1789415820375578383,58879820,10297152,10160,146316,0
1789415821407935927,58876420,10234432,7224,146316,0
