timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/15 04:54:30.891, 0 %, 0 %, 15 MiB, 16384 MiB, 10.15 W, 50
2026/09/15 04:54:31.918, 0 %, 0 %, 15 MiB, 16384 MiB, 7.53 W, 50
2026/09/15 04:54:32.924, 0 %, 0 %, 15 MiB, 16384 MiB, 7.57 W, 50
2026/09/15 04:54:33.930, 0 %, 0 %, 15 MiB, 16384 MiB, 7.65 W, 50
2026/09/15 04:54:34.937, 0 %, 0 %, 15 MiB, 16384 MiB, 7.59 W, 50
2026/09/15 04:54:35.943, 0 %, 0 %, 15 MiB, 16384 MiB, 7.72 W, 49
2026/09/15 04:54:36.949, 1 %, 0 %, 15 MiB, 16384 MiB, 7.82 W, 49
2026/09/15 04:54:37.956, 0 %, 0 %, 15 MiB, 16384 MiB, 7.77 W, 49
2026/09/15 04:54:38.962, 0 %, 0 %, 15 MiB, 16384 MiB, 7.63 W, 49
2026/09/15 04:54:39.968, 0 %, 0 %, 15 MiB, 16384 MiB, 7.78 W, 49
2026/09/15 04:54:40.974, 0 %, 0 %, 15 MiB, 16384 MiB, 7.61 W, 49
2026/09/15 04:54:41.981, 0 %, 0 %, 16 MiB, 16384 MiB, 7.70 W, 49
2026/09/15 04:54:42.994, 0 %, 0 %, 134 MiB, 16384 MiB, 43.95 W, 50
2026/09/15 04:54:43.997, 0 %, 0 %, 134 MiB, 16384 MiB, 43.53 W, 51
2026/09/15 04:54:45.000, 0 %, 0 %, 4428 MiB, 16384 MiB, 44.06 W, 51
2026/09/15 04:54:46.003, 34 %, 1 %, 4434 MiB, 16384 MiB, 44.47 W, 51
2026/09/15 04:54:47.005, 15 %, 1 %, 4444 MiB, 16384 MiB, 58.33 W, 52
2026/09/15 04:54:48.007, 37 %, 2 %, 4450 MiB, 16384 MiB, 57.57 W, 52
2026/09/15 04:54:49.010, 44 %, 2 %, 4458 MiB, 16384 MiB, 50.58 W, 52
2026/09/15 04:54:50.012, 18 %, 1 %, 4466 MiB, 16384 MiB, 56.43 W, 52
2026/09/15 04:54:51.014, 37 %, 2 %, 4474 MiB, 16384 MiB, 56.22 W, 52
2026/09/15 04:54:52.017, 39 %, 2 %, 4480 MiB, 16384 MiB, 47.66 W, 52
2026/09/15 04:54:53.020, 12 %, 0 %, 4488 MiB, 16384 MiB, 56.87 W, 52
2026/09/15 04:54:54.022, 37 %, 2 %, 4496 MiB, 16384 MiB, 56.93 W, 52
2026/09/15 04:54:55.024, 34 %, 1 %, 4504 MiB, 16384 MiB, 51.26 W, 52
2026/09/15 04:54:56.027, 12 %, 0 %, 4512 MiB, 16384 MiB, 57.33 W, 52
2026/09/15 04:54:57.029, 37 %, 1 %, 4520 MiB, 16384 MiB, 57.11 W, 53
2026/09/15 04:54:58.031, 30 %, 1 %, 4526 MiB, 16384 MiB, 56.29 W, 53
2026/09/15 04:54:59.034, 11 %, 0 %, 4534 MiB, 16384 MiB, 53.61 W, 52
2026/09/15 04:55:00.036, 39 %, 2 %, 4542 MiB, 16384 MiB, 56.98 W, 53
2026/09/15 04:55:01.038, 30 %, 1 %, 4550 MiB, 16384 MiB, 56.01 W, 53
2026/09/15 04:55:02.042, 0 %, 0 %, 4552 MiB, 16384 MiB, 44.18 W, 52
2026/09/15 04:55:03.045, 0 %, 0 %, 4552 MiB, 16384 MiB, 44.47 W, 52
2026/09/15 04:55:04.048, 0 %, 0 %, 4552 MiB, 16384 MiB, 44.21 W, 52
2026/09/15 04:55:05.051, 0 %, 0 %, 4552 MiB, 16384 MiB, 44.10 W, 52
2026/09/15 04:55:06.054, 0 %, 0 %, 4552 MiB, 16384 MiB, 44.07 W, 52
2026/09/15 04:55:07.057, 0 %, 0 %, 4552 MiB, 16384 MiB, 44.65 W, 52
2026/09/15 04:55:08.060, 0 %, 0 %, 6928 MiB, 16384 MiB, 44.65 W, 52
2026/09/15 04:55:09.063, 0 %, 0 %, 6928 MiB, 16384 MiB, 44.06 W, 52
2026/09/15 04:55:10.066, 0 %, 0 %, 6928 MiB, 16384 MiB, 43.95 W, 52
2026/09/15 04:55:11.069, 0 %, 0 %, 6928 MiB, 16384 MiB, 44.24 W, 52
