procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
 4  0       548372     68120400        83112     59086412    2    3 13258   586    0    2   1   1  97   2   0 2026-09-15 06:14:04
 7  0       548372     68016416        83920     59103688    0    0 18056     0 3533 5744   3   1  97   0   0 2026-09-15 06:14:05
 3  0       548372     67952944        84668     59122332    0    0 19384   264 4138 6774   2   1  97   0   0 2026-09-15 06:14:06
 3  0       548372     67864496        85904     59155312    0    0 34204     0 5862 6817   4   8  88   0   0 2026-09-15 06:14:07
 2  0       548116     67798120        86480     59175196   40    0 20448     0 3941 5973   4   1  96   0   0 2026-09-15 06:14:08
 1  0       548116     67795664        86528     59175916    0    0   360     0 2488 3867   1   0  99   0   0 2026-09-15 06:14:09
 2  0       548116     67759888        86684     59200968    0    0 25320     0 3238 4451   1   0  98   0   0 2026-09-15 06:14:10
 2  0       548116     67729152        86980     59212280    0    0 11660   116 2667 4369   1   0  99   0   0 2026-09-15 06:14:11
 1  0       548116     67598376        86984     59220644    0    0  8140   316 2334 3798   1   0  98   0   0 2026-09-15 06:14:12
 1  0       548116     67531376        86984     59220656    0    0     0     0 2385 3723   3   0  97   0   0 2026-09-15 06:14:13
 2  0       548116     67396064        86984     59220668    0    0     0     0 2510 3639   3   0  97   0   0 2026-09-15 06:14:14
 3  0       548116     67306104        87256     59224452    0    0  4688     0 2921 4616   3   0  97   0   0 2026-09-15 06:14:15
 3  0       548116     66661096        87528     59249360    0    0 14708   136 9520 6629  21   2  78   0   0 2026-09-15 06:14:16
 1  0       548116     67024644        88752     59371156    0    0 122608   184 7487 9775   6   1  92   1   0 2026-09-15 06:14:17
 1  0       548116     66856312        89120     59515156    0    0  9064     0 7808 10273   3   1  95   0   0 2026-09-15 06:14:18
 2  0       548116     63245240        89132     59528872    0    0 13700     0 8108 13351   4   2  94   0   0 2026-09-15 06:14:19
