wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789593999360687271,124677016,0,0,1156,0
1789594000388678947,124628596,180,0,1156,0
1789594001414695039,124570848,184,0,1156,0
1789594002442966934,124546292,216,0,1156,0
1789594003473179998,124545824,220,0,1156,0
1789594004503153441,124513808,272,0,1156,0
1789594005531528830,124511460,96,0,1156,0
1789594006562049085,124328972,132,0,1156,0
1789594007590164340,124188172,132,0,1156,0
1789594008618235812,124123416,164,0,1156,0
1789594009644925469,123643952,0,0,1152,0
1789594010665987966,123362000,264,0,11236,0
1789594011694972509,123782676,296,0,85220,0
1789594012723196223,122486128,324,0,81028,0
1789594013753760273,118496584,380,0,81040,0
1789594014782122629,114188792,0,84,81028,0
1789594015811312610,110233544,28,0,81028,0
1789594016841218318,106097588,228,0,81028,0
1789594017870985820,101553128,228,0,81028,0
1789594018898823884,97580052,260,0,81028,0
1789594019927358513,93396268,8,0,81028,0
1789594020956111725,89323604,196,0,81028,0
1789594021986938123,85189700,204,0,81028,0
1789594023015402983,80608544,224,0,81028,0
1789594024042605595,76629400,240,0,81028,0
1789594025071038999,72414136,252,0,81028,0
1789594026100545693,68386636,116,0,81028,0
1789594027132050246,64297184,140,0,81028,0
1789594028160714123,59764920,152,0,81028,0
1789594029189268234,57428436,168,0,81028,0
1789594030216825851,57426560,184,0,81028,0
1789594031244838562,57430104,1696,0,81028,0
1789594032273661523,57428512,1720,0,81028,0
1789594033300743720,57450580,1736,0,81028,0
1789594034328976709,57449880,1748,0,81028,0
1789594035359763209,56542212,5384,92,81032,0
1789594036392990581,55336424,1932,4,81032,0
1789594037426807263,57482544,60,0,81032,0
1789594038459882258,57487444,300,0,81032,0
1789594039491743628,57489596,320,0,81032,0
1789594040525542854,57487180,348,0,81032,0
1789594041554600089,57470392,444,0,81032,0
1789594042581397329,57483672,32,0,81032,0
1789594043615325128,57486652,72,0,81032,0
1789594044648712332,57488412,84,0,81032,0
1789594045684392622,57488672,112,0,81032,0
1789594046719160409,57491688,244,0,81032,0
1789594047754408550,57490240,36,80,81032,0
1789594048788657613,57493680,64,0,81032,0
1789594049822231533,57491748,92,0,81032,0
1789594050853176666,57487852,156,0,81032,0
1789594051886467819,57497052,172,0,81032,0
1789594052921059902,57495328,8,72,81032,0
1789594053953276259,57497796,60,0,81032,0
1789594054987580333,57504956,84,0,81032,0
1789594056021291709,57502384,144,0,81032,0
1789594057052943508,57501900,160,0,81032,0
1789594058087825161,57502584,12,0,81032,0
1789594059121372502,57502908,68,0,81032,0
1789594060156545482,57502616,80,0,81032,0
1789594061191408077,57501388,136,0,81032,0
1789594062224825823,57502880,156,0,81032,0
1789594063259417189,57501824,172,0,81032,0
1789594064293780227,57501632,56,0,81032,0
1789594065330399584,57565912,120,0,81032,0
1789594066365447510,57559304,312,0,81032,0
1789594067399904121,57552156,340,0,81032,0
1789594068434664388,57558344,16,40,81032,0
1789594069469230064,57553884,156,0,81032,0
1789594070504010944,57555420,276,0,81032,0
1789594071539179811,57562996,296,0,81028,0
1789594072574470819,57558992,312,0,81028,0
1789594073608913008,57548776,220,0,81028,0
1789594074639398942,57570240,64,0,81028,0
1789594075672202832,57554644,116,0,81028,0
1789594076706462374,57558196,132,0,81028,0
1789594077738785824,57549884,144,0,81028,0
1789594078768434511,57537668,168,0,81028,0
1789594079801673701,57562744,60,0,81028,0
1789594080836020157,57554600,100,0,81028,0
1789594081867304449,57595264,124,0,81028,0
1789594082897718508,57658876,144,0,81028,0
1789594083931772812,57649856,4,0,81028,0
1789594084974696207,57669888,64,0,81028,0
1789594086009437276,57657336,136,0,81028,0
1789594087044113795,57684296,280,0,81028,0
1789594088078398702,57688064,300,0,81028,0
1789594089112890259,57665860,12,0,81028,0
1789594090145312249,57675512,184,0,81028,0
1789594091179144776,57674088,304,0,81028,0
1789594092211157373,57669196,328,0,81028,0
1789594093246297320,57675720,479756,0,81028,0
1789594094281454651,57665400,1660784,480,81028,0
1789594095311830426,57664832,2712148,0,81028,0
1789594096345947852,57656240,3917220,0,81028,0
1789594097377747743,57643356,5118988,0,81028,0
1789594098409194941,57650644,5968208,4388,81028,0
1789594099444603901,57650444,6681252,11712,81028,0
1789594100477344645,57654540,7328308,5140,81028,0
1789594101510598400,57651276,8008284,1472,81028,0
1789594102540864234,57645724,8696384,8200,81028,0
1789594103569186005,57646968,9549388,3000,81028,0
1789594104601968071,57634276,10492352,11264,81028,0
1789594105633239098,57628164,9809960,17688,81028,0
1789594106662858079,57627268,10571904,10656,81028,0
1789594107687673431,57627308,10907532,3608,81028,0
1789594108717512414,57623216,9930568,323584,81028,0
1789594109748836911,57622176,10149764,8340,81028,0
1789594110781373125,57623292,10765228,7992,81028,0
1789594111815189724,57621548,10908056,7576,81028,0
1789594112846944137,57616700,10929152,6376,81028,0
1789594113880513583,57609052,10892096,9304,81028,0
1789594114911556328,57617640,10694376,10740,81028,0
1789594115941898727,57618952,10827868,4232,81028,0
1789594116973680441,57618408,10788872,12348,81028,0
1789594118007026965,57613856,10696220,10576,81028,0
1789594119039614881,57615700,10680432,7560,81028,0
1789594120072411600,57617852,10685540,8544,81028,0
1789594121105723258,57626776,10672884,12276,81028,0
1789594122138274352,57617232,10648704,12728,81028,0
1789594123170899626,57610632,10614392,9680,81028,0
1789594124202755876,57610004,10605712,9176,81028,0
1789594125235224891,57608364,10535736,3052,81028,0
1789594126265607272,57602384,10435124,7756,81028,0
1789594127295258995,57598732,10458548,8276,81028,0
1789594128326292640,57599768,10460756,8192,81028,0
1789594129358301713,57598176,10469364,11748,81028,0
1789594130391810714,57598360,10494304,5680,81028,0
1789594131424921799,57595644,10479956,11200,81028,0
1789594132457886395,57591068,10406388,8088,81028,0
1789594133489840846,57580808,10410872,2692,81028,0
1789594134519878892,57622348,10431020,3568,81028,0
1789594135553515512,57616648,10448556,5508,81028,0
1789594136585465299,57593420,10456616,7540,81028,0
1789594137617756656,57592256,10485436,8192,81028,0
1789594138650896496,57591096,10497020,4828,81028,0
1789594139683234828,57593072,10497400,6956,81028,0
1789594140715367722,57588836,10439324,1572,81028,0
1789594141748317639,57587108,10364228,8192,81028,0
1789594142781116050,57583136,10332148,6696,81028,0
1789594143813375896,57579368,10330448,9856,81028,0
1789594144845794310,57580124,10306356,5992,81028,0
1789594145877962066,57580088,10280308,1836,81028,0
1789594146910182024,57596656,10264408,5584,81028,0
1789594147942611904,57588960,10267240,7916,81028,0
1789594148975026353,57584352,10237708,4256,81028,0
1789594150005971682,57577608,10234912,3052,81028,0
1789594151037767028,57591376,10262040,4684,81028,0
1789594152070972699,57576108,10251680,5892,81028,0
1789594153102586597,57559492,10251216,4220,81028,0
1789594154136243034,57578232,10293020,6984,81028,0
1789594155169069128,57584260,10294640,4328,81028,0
1789594156205890101,57582140,10301832,4320,81028,0
1789594157238335951,57549512,10297136,12828,81028,0
1789594158270964155,57575168,10269356,1072,81028,0
1789594159303706931,57553448,10258608,7064,81028,0
1789594160336211563,57577788,10177968,8236,81028,0
1789594161367994998,57561044,10150376,5140,81028,0
1789594162398381175,57544204,10139260,3824,81028,0
1789594163429367189,57551088,10096924,5016,81028,0
1789594164461461408,57556696,10076452,5560,81028,0
1789594165493612902,57556560,10095856,6680,81028,0
1789594166523621654,57554424,10101672,6192,81028,0
1789594167555668269,57547340,10102896,5572,81028,0
1789594168587740609,57556976,10125296,12276,81028,0
1789594169625959701,57553316,10096924,8092,81028,0
1789594170658088976,57548824,10075076,2176,81028,0
1789594171691102177,57544568,9995044,5256,81028,0
1789594172722326836,57504960,9987180,5920,81028,0
1789594173753137657,57542880,9892728,4516,81028,0
1789594174785450111,57534352,9906720,7748,81028,0
1789594175817990721,57505816,9903288,6036,81028,0
1789594176850771883,57527772,9885476,4664,81028,0
1789594177884202911,57532116,9870404,8192,81028,0
1789594178917031709,57531292,9892852,7720,81028,0
1789594179949188818,57534316,9913592,4772,81028,0
1789594180981237102,57533652,9885496,10712,81028,0
1789594182014118863,57534900,9869768,7172,81028,0
1789594183053003653,57520504,9813396,4128,81028,0
1789594184131595376,57473272,9863596,3700,81028,0
1789594185164205735,57525168,9889292,8192,81028,0
1789594186196003922,57399380,9906140,10580,81028,0
1789594187226906238,57517928,9912068,6048,81028,0
1789594188259672381,57475696,9883812,3064,81028,0
1789594189292659636,57516176,9863332,632,81028,0
1789594190324711794,57485720,9874092,7804,81028,0
1789594191357397550,57509240,9845704,8192,81028,0
1789594192390828676,57461768,9818920,7748,81028,0
1789594193423478109,57495260,9777580,2064,81028,0
1789594194455257877,57511300,9744648,8192,81028,0
1789594195488966476,57503844,9738880,3024,81028,0
1789594196521179346,57510932,9761644,11236,81028,0
1789594197554491700,57506400,9810240,12524,81028,0
1789594198586580957,57495912,9834948,2940,81028,0
1789594199618343420,57495220,9740056,5068,81028,0
