timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/17 06:26:38.415, 0 %, 0 %, 15 MiB, 16384 MiB, 6.58 W, 36
2026/09/17 06:26:39.425, 0 %, 0 %, 15 MiB, 16384 MiB, 6.50 W, 36
2026/09/17 06:26:40.431, 0 %, 0 %, 15 MiB, 16384 MiB, 6.53 W, 36
2026/09/17 06:26:41.437, 0 %, 0 %, 15 MiB, 16384 MiB, 6.69 W, 36
2026/09/17 06:26:42.443, 0 %, 0 %, 15 MiB, 16384 MiB, 6.62 W, 36
2026/09/17 06:26:43.450, 0 %, 0 %, 15 MiB, 16384 MiB, 6.49 W, 36
2026/09/17 06:26:44.456, 0 %, 0 %, 15 MiB, 16384 MiB, 6.73 W, 36
2026/09/17 06:26:45.462, 0 %, 0 %, 15 MiB, 16384 MiB, 6.61 W, 36
2026/09/17 06:26:46.468, 0 %, 0 %, 15 MiB, 16384 MiB, 6.72 W, 36
2026/09/17 06:26:47.474, 0 %, 0 %, 15 MiB, 16384 MiB, 6.66 W, 36
2026/09/17 06:26:48.480, 0 %, 0 %, 15 MiB, 16384 MiB, 6.65 W, 36
2026/09/17 06:26:49.486, 1 %, 0 %, 16 MiB, 16384 MiB, 8.54 W, 36
2026/09/17 06:26:50.492, 0 %, 0 %, 134 MiB, 16384 MiB, 39.33 W, 38
2026/09/17 06:26:51.494, 0 %, 0 %, 174 MiB, 16384 MiB, 39.03 W, 38
2026/09/17 06:26:52.498, 9 %, 0 %, 4364 MiB, 16384 MiB, 39.27 W, 39
2026/09/17 06:26:53.500, 27 %, 1 %, 4370 MiB, 16384 MiB, 54.24 W, 40
2026/09/17 06:26:54.502, 23 %, 1 %, 4378 MiB, 16384 MiB, 53.81 W, 40
2026/09/17 06:26:55.505, 50 %, 2 %, 4386 MiB, 16384 MiB, 54.49 W, 40
2026/09/17 06:26:56.507, 30 %, 1 %, 4394 MiB, 16384 MiB, 54.11 W, 41
2026/09/17 06:26:57.509, 19 %, 1 %, 4402 MiB, 16384 MiB, 44.07 W, 40
2026/09/17 06:26:58.511, 45 %, 2 %, 4410 MiB, 16384 MiB, 54.83 W, 41
2026/09/17 06:26:59.514, 30 %, 1 %, 4416 MiB, 16384 MiB, 54.25 W, 41
2026/09/17 06:27:00.516, 21 %, 1 %, 4424 MiB, 16384 MiB, 45.49 W, 41
2026/09/17 06:27:01.518, 51 %, 2 %, 4432 MiB, 16384 MiB, 54.60 W, 41
2026/09/17 06:27:02.521, 30 %, 1 %, 4440 MiB, 16384 MiB, 54.35 W, 41
