wall_ns,read_MBps,write_MBps,read_lat_ms,write_lat_ms,inflight
1789425280090373972,17.6,0.0,0.10,0.00,0
1789425281118142653,20.5,0.1,0.09,1.50,0
1789425282146275757,41.7,0.0,0.11,0.00,0
1789425283173925924,2.1,0.0,0.08,0.00,0
1789425284202956174,0.0,0.4,0.00,1.70,0
1789425285234749316,35.1,0.0,0.16,0.00,0
1789425286262305447,0.3,0.2,0.43,3.00,0
1789425287291497217,7.6,0.0,0.38,0.00,0
1789425288318856832,0.0,0.0,0.00,0.00,0
1789425289345921828,0.0,0.3,0.00,1.98,0
1789425290371416617,9.8,0.0,0.10,0.00,0
1789425291395711699,68.7,0.1,0.15,1.50,0
1789425292423310421,67.0,0.0,0.13,0.00,0
1789425293450761600,13.0,0.0,0.27,0.00,0
1789425294480013498,0.0,0.3,0.00,2.11,0
1789425295509602842,0.0,0.2,0.00,9.00,0
1789425296539285367,0.0,0.0,0.00,0.00,0
1789425297569483784,0.0,0.0,0.00,0.00,0
1789425298601662580,0.0,0.0,0.00,0.00,0
1789425299631286251,0.0,0.3,0.00,1.73,0
1789425300660625085,0.1,0.1,2.14,8.00,0
1789425301690273310,0.0,0.0,0.00,14.00,0
1789425302719257332,0.0,0.0,0.00,0.00,0
1789425303748918203,0.0,0.0,0.00,0.00,0
1789425304778605451,0.0,0.4,0.00,1.51,0
1789425305808413648,0.0,0.2,0.00,9.00,0
1789425306837485330,0.0,0.0,0.00,0.00,0
1789425307866812013,0.0,0.0,0.00,0.00,0
1789425308897359546,0.0,0.0,0.00,0.00,0
1789425309926856475,0.4,0.3,0.20,0.21,0
1789425310954104709,0.1,2.3,0.33,1.33,0
1789425311982963436,0.1,0.0,0.32,0.00,0
1789425313008196132,0.1,0.0,0.27,0.00,0
1789425314036691608,0.1,0.0,0.40,0.00,0
1789425315064269580,0.1,2.2,0.20,0.09,0
1789425316092299870,0.5,2.7,0.16,1.57,0
1789425317123223800,274.3,0.0,6.71,1.00,32
1789425318157124735,1165.1,0.0,6.88,0.00,33
1789425319190366190,862.9,0.0,6.96,0.00,0
1789425320219510147,899.2,2.6,6.85,4.06,28
1789425321253669233,991.8,0.4,6.58,2.00,36
1789425322288111273,1197.0,0.0,6.65,0.00,34
1789425323320433263,1191.3,0.0,6.62,0.00,33
1789425324355046009,1027.0,0.0,6.60,0.00,0
1789425325388098986,1197.6,0.0,6.50,0.00,34
1789425326418622356,1189.9,0.7,6.85,5.58,34
1789425327453512233,1066.7,0.0,6.31,0.00,34
1789425328488381969,1197.7,0.0,6.74,0.00,32
1789425329522581393,1195.3,0.0,6.67,0.00,35
1789425330553993509,1087.4,0.0,6.36,0.00,32
1789425331588860563,1189.8,0.5,6.76,5.81,34
1789425332622545349,1192.5,0.0,6.58,0.00,34
1789425333655170812,1131.3,0.0,6.64,0.00,0
1789425334685852053,1111.7,0.0,6.76,0.00,33
1789425335720670553,1197.8,0.0,6.57,0.00,33
1789425336754862861,1200.7,0.3,6.54,4.26,31
1789425337789624610,1075.7,0.0,6.75,0.00,32
1789425338822988517,1201.1,0.0,6.51,0.00,32
1789425339857651931,1188.2,0.0,6.53,0.00,34
1789425340891537133,1103.6,0.0,6.58,0.00,35
1789425341925790175,1202.3,0.5,6.73,5.24,35
1789425342960554985,1187.8,0.0,6.61,0.00,34
1789425343995362902,1103.2,0.0,6.56,0.00,33
1789425345029918048,1208.2,0.0,6.64,0.00,33
1789425346064649744,1205.6,0.0,6.55,0.00,34
1789425347100267900,1098.4,0.4,6.50,5.98,34
1789425348134750664,1195.3,0.0,6.82,0.00,32
1789425349169328963,1204.1,0.0,6.54,0.00,32
1789425350203955489,1107.3,0.0,6.56,0.00,33
1789425351238877089,1193.2,0.1,6.64,5.50,24
1789425352273808762,1210.9,0.4,6.58,5.41,33
1789425353307819160,1093.6,0.0,6.45,0.00,32
1789425354340357066,1175.3,0.0,6.88,0.00,33
1789425355374614477,1181.7,0.0,6.88,0.00,0
1789425356408508333,1099.4,0.1,6.19,17.50,32
1789425357441835891,1201.0,0.0,6.76,0.00,33
1789425358475244855,1190.8,0.2,6.64,4.87,32
1789425359507748464,1185.1,0.0,6.58,0.00,0
1789425360541764215,1090.8,0.0,6.66,0.00,34
1789425361576413499,1207.6,0.1,6.50,14.50,32
1789425362610408303,1193.0,0.2,6.72,4.93,37
1789425363643407498,1087.4,0.1,6.64,5.27,32
1789425364681110866,1196.7,0.0,6.54,0.00,30
1789425365713519218,1162.4,0.0,6.64,0.00,19
1789425366747277741,1027.8,0.1,6.46,2.00,32
1789425367781113324,1173.5,0.0,6.69,0.00,31
1789425368810657281,1175.2,0.3,6.63,5.31,32
1789425369841580821,1005.3,0.0,6.47,0.00,32
1789425370876598785,1185.0,0.0,6.63,0.00,34
1789425371910537212,1191.1,0.1,6.60,14.00,33
1789425372944708587,1048.0,15.6,6.47,4.78,64
1789425373975578515,1115.5,21.4,6.16,2.00,33
1789425375019282264,1167.7,0.0,6.40,0.00,30
1789425376051238187,1142.6,0.0,5.74,0.00,32
1789425377078573338,1009.9,0.2,6.05,14.50,26
1789425378110768449,1138.8,0.0,5.73,0.00,29
1789425379143994309,1124.8,11.9,5.78,5.32,29
1789425380174199005,907.7,56.7,6.11,6.80,39
1789425381205983792,824.9,179.0,8.26,7.93,31
1789425382237436155,874.3,135.5,8.14,7.37,33
1789425383270243165,873.9,162.9,7.63,6.44,30
1789425384299911877,889.4,320.3,6.26,3.75,29
1789425385329658404,1040.0,168.5,6.54,6.45,20
1789425386357857168,740.7,1031.6,6.63,13.87,31
1789425387386479679,797.9,981.6,6.07,6.31,3
1789425388415646342,725.2,894.9,7.96,13.14,29
1789425389450152974,717.9,197.6,8.64,6.63,30
1789425390482189413,548.4,337.1,8.17,4.25,14
1789425391512282657,446.9,396.3,8.57,5.05,31
1789425392544650787,444.0,309.6,9.37,4.54,34
1789425393577647511,418.6,374.3,8.39,1.88,20
1789425394609252677,418.8,384.2,13.68,10.70,3
1789425395641164509,408.0,437.8,10.74,6.00,14
1789425396673205910,371.2,455.7,8.49,4.66,5
1789425397702476387,448.2,393.7,9.34,5.19,4
1789425398733119769,416.8,386.8,9.82,5.68,17
1789425399766089956,409.7,386.0,8.97,3.78,24
1789425400798940535,408.0,339.1,10.13,6.26,20
1789425401831432336,392.5,405.0,8.21,3.58,39
1789425402864601851,432.6,345.6,8.58,4.60,13
1789425403897266442,406.8,439.5,9.17,5.20,15
1789425404929228768,404.0,330.5,9.82,5.30,38
1789425405962234602,294.5,459.5,14.97,15.94,32
1789425406994003280,506.5,297.5,9.00,4.81,21
1789425408028298735,401.9,471.7,10.05,6.56,10
1789425409061142168,394.3,468.5,11.98,7.91,31
1789425410095072201,409.1,374.5,7.89,4.10,37
1789425411128417411,424.9,372.3,9.22,5.80,16
1789425412161492970,381.3,364.0,12.97,10.94,39
1789425413193284194,377.2,372.9,9.54,3.37,42
1789425414226168017,386.9,384.9,10.16,4.81,17
1789425415257336899,318.6,401.5,9.87,5.02,3
1789425416281402426,447.6,404.7,9.21,5.72,9
1789425417312054163,404.2,372.5,9.04,4.52,6
1789425418344916892,399.9,398.3,9.30,4.45,4
1789425419377405812,378.4,386.4,9.26,4.76,19
1789425420411021116,377.0,379.2,8.66,4.05,7
1789425421443306148,372.1,406.5,9.94,5.14,1
1789425422474270679,399.9,375.0,10.23,6.19,26
1789425423509444746,392.4,380.2,13.02,10.93,17
1789425424539749621,383.6,440.0,12.03,9.82,3
1789425425561866104,425.6,396.4,9.59,5.59,5
1789425426594047666,401.1,395.9,7.41,2.83,18
1789425427627226717,395.6,395.3,8.49,4.41,21
1789425428659941583,403.5,413.8,7.46,3.20,9
1789425429690863697,387.4,334.2,8.85,3.80,28
1789425430720927957,368.5,409.2,9.02,4.53,41
1789425431754051536,379.9,358.5,8.93,4.33,8
