timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/15 07:34:39.116, 0 %, 0 %, 15 MiB, 16384 MiB, 7.60 W, 51
2026/09/15 07:34:40.127, 0 %, 0 %, 15 MiB, 16384 MiB, 7.64 W, 51
2026/09/15 07:34:41.134, 0 %, 0 %, 15 MiB, 16384 MiB, 7.76 W, 50
2026/09/15 07:34:42.140, 0 %, 0 %, 15 MiB, 16384 MiB, 7.78 W, 50
2026/09/15 07:34:43.147, 0 %, 0 %, 15 MiB, 16384 MiB, 7.91 W, 50
2026/09/15 07:34:44.153, 0 %, 0 %, 15 MiB, 16384 MiB, 7.71 W, 50
2026/09/15 07:34:45.159, 0 %, 0 %, 15 MiB, 16384 MiB, 7.69 W, 50
2026/09/15 07:34:46.165, 0 %, 0 %, 15 MiB, 16384 MiB, 7.52 W, 50
2026/09/15 07:34:47.171, 0 %, 0 %, 15 MiB, 16384 MiB, 7.58 W, 50
2026/09/15 07:34:48.177, 0 %, 0 %, 15 MiB, 16384 MiB, 7.57 W, 50
2026/09/15 07:34:49.183, 1 %, 0 %, 15 MiB, 16384 MiB, 8.09 W, 49
2026/09/15 07:34:50.189, 0 %, 0 %, 18 MiB, 16384 MiB, 9.98 W, 49
2026/09/15 07:34:51.195, 0 %, 0 %, 134 MiB, 16384 MiB, 43.77 W, 51
2026/09/15 07:34:52.197, 1 %, 0 %, 312 MiB, 16384 MiB, 43.63 W, 51
2026/09/15 07:34:53.207, 12 %, 1 %, 4428 MiB, 16384 MiB, 43.70 W, 51
2026/09/15 07:34:54.220, 8 %, 0 %, 4436 MiB, 16384 MiB, 49.54 W, 52
2026/09/15 07:34:55.223, 37 %, 2 %, 4444 MiB, 16384 MiB, 58.12 W, 52
2026/09/15 07:34:56.225, 33 %, 1 %, 4452 MiB, 16384 MiB, 57.05 W, 53
2026/09/15 07:34:57.227, 12 %, 0 %, 4460 MiB, 16384 MiB, 57.73 W, 53
2026/09/15 07:34:58.230, 37 %, 2 %, 4468 MiB, 16384 MiB, 57.30 W, 53
2026/09/15 07:34:59.233, 30 %, 1 %, 4474 MiB, 16384 MiB, 49.82 W, 53
2026/09/15 07:35:00.235, 10 %, 0 %, 4482 MiB, 16384 MiB, 53.71 W, 53
2026/09/15 07:35:01.239, 37 %, 2 %, 4490 MiB, 16384 MiB, 56.97 W, 53
2026/09/15 07:35:02.242, 30 %, 1 %, 4498 MiB, 16384 MiB, 55.89 W, 53
2026/09/15 07:35:03.251, 15 %, 1 %, 4506 MiB, 16384 MiB, 49.18 W, 53
2026/09/15 07:35:04.260, 45 %, 2 %, 4514 MiB, 16384 MiB, 56.83 W, 53
2026/09/15 07:35:05.263, 30 %, 1 %, 4522 MiB, 16384 MiB, 56.02 W, 53
2026/09/15 07:35:06.265, 21 %, 1 %, 4530 MiB, 16384 MiB, 46.78 W, 53
2026/09/15 07:35:07.268, 51 %, 2 %, 4536 MiB, 16384 MiB, 56.76 W, 53
2026/09/15 07:35:08.270, 30 %, 1 %, 4544 MiB, 16384 MiB, 56.50 W, 53
2026/09/15 07:35:09.272, 28 %, 1 %, 4552 MiB, 16384 MiB, 49.02 W, 53
2026/09/15 07:35:10.275, 0 %, 0 %, 4552 MiB, 16384 MiB, 44.80 W, 53
2026/09/15 07:35:11.277, 0 %, 0 %, 4552 MiB, 16384 MiB, 44.54 W, 53
2026/09/15 07:35:12.280, 0 %, 0 %, 4552 MiB, 16384 MiB, 44.46 W, 53
2026/09/15 07:35:13.282, 0 %, 0 %, 4552 MiB, 16384 MiB, 44.40 W, 53
2026/09/15 07:35:14.284, 0 %, 0 %, 4552 MiB, 16384 MiB, 44.51 W, 53
2026/09/15 07:35:15.287, 0 %, 0 %, 4552 MiB, 16384 MiB, 44.35 W, 53
2026/09/15 07:35:16.289, 0 %, 0 %, 6928 MiB, 16384 MiB, 44.42 W, 53
2026/09/15 07:35:17.291, 0 %, 0 %, 6928 MiB, 16384 MiB, 44.91 W, 53
2026/09/15 07:35:18.294, 0 %, 0 %, 6928 MiB, 16384 MiB, 44.47 W, 53
2026/09/15 07:35:19.296, 57 %, 2 %, 6928 MiB, 16384 MiB, 57.28 W, 53
2026/09/15 07:35:20.299, 0 %, 0 %, 6928 MiB, 16384 MiB, 55.79 W, 53
