wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789550883923832412,124884316,488,0,1176,0
1789550885166284539,124835912,568,0,1176,0
1789550886416120168,124771740,32,0,1176,0
1789550887676416928,124750216,364,0,1176,0
1789550888937593476,124752340,488,0,1176,0
1789550890193342109,124706772,568,0,1176,0
1789550891445422491,124527768,168,0,1176,0
1789550892701233455,124383176,284,0,1176,0
1789550893949957600,124316076,544,0,1180,0
1789550895191924692,123248400,644,0,1176,0
1789550896444972186,123683472,12,4,11416,0
1789550897696033461,123535676,752,0,48280,0
1789550898947545512,119111708,896,0,48292,0
1789550900202990940,114714440,980,0,48280,0
1789550901468528205,110855316,108,176,48280,0
1789550902724817604,107740652,2608,0,48280,0
1789550903974893966,104249504,2816,0,48280,0
1789550905218933795,100768856,2912,0,48280,0
1789550906480457325,97574684,2980,0,48280,0
1789550907726138813,94277176,1656,0,48280,0
1789550908990216915,90303084,1864,0,48280,0
1789550910242151876,86817740,1960,0,48280,0
1789550911486917118,83335896,2028,0,48280,0
1789550912746184969,79839032,1204,0,48280,0
1789550913993351359,76515120,1484,0,48280,0
1789550915255430050,73891808,1544,0,48280,0
1789550916507161427,71042624,1612,0,48280,0
1789550917752705583,67654068,972,0,48280,0
1789550918996045788,64182096,1244,0,48280,0
1789550920233261935,60825984,1328,0,48280,0
1789550921474806703,57293180,1396,0,48280,0
1789550922718542314,57216496,44,0,48280,0
1789550923993741121,56111916,344,0,48284,0
1789550925275260667,54814072,412,0,48284,0
1789550926529110523,57251952,1107476,0,48284,0
1789550927796413510,57252540,1697856,0,48284,0
1789550929075149219,57254468,2244440,0,48284,0
1789550930346127510,57263052,3412352,0,48284,0
1789550931628630470,57256608,3444952,0,48284,0
1789550932915436452,57263468,4524544,4776,48284,0
1789550934180154304,57257752,4292084,3364,48284,0
1789550935469907231,57257664,4949520,4228,48284,0
1789550936752824613,57256032,5675100,6976,48284,0
1789550938039527927,57253768,5532032,11716,48284,0
1789550939308254192,57250720,6722580,7148,48284,0
1789550940587517455,57252160,6754068,9460,48284,0
1789550941844208450,57246860,7706548,15248,48284,0
1789550943112801780,57248252,7953368,8192,48284,0
1789550944394208774,57255224,7707124,14812,48284,0
1789550945658826365,57253748,8847744,3716,48284,0
1789550946943754950,57250160,8641668,6672,48284,0
1789550948209293068,57248200,8941088,5188,48284,0
1789550949474226902,57242456,9071704,8364,48284,0
1789550950737213015,57237808,9160980,8576,48284,0
1789550952008077731,57235696,9109140,8280,48284,0
1789550953266051613,57230668,9222188,4664,48284,0
1789550954526739506,57228380,9542720,10288,48284,0
1789550955791404637,57232500,9418152,9984,48284,0
1789550957072266147,57219880,9260904,8256,48284,0
1789550958344122123,57211024,9338116,24204,48284,0
1789550959617105509,57203964,9501908,16296,48284,0
1789550960884635377,57226084,9603200,6428,48284,0
1789550962161127164,57218188,9625388,11856,48284,0
1789550963432632321,57162756,9652172,7868,48284,0
1789550964699563235,57246628,9700672,8192,48284,0
1789550965969239237,57253056,9574156,8320,48284,0
1789550967241792984,57254776,9392508,10848,48284,0
1789550968489863323,57065528,9366980,13300,48284,0
1789550969759670572,57284064,9447816,16264,48284,0
1789550971029805648,57313124,9485640,9656,48284,0
1789550972292512605,57320392,9357628,7968,48284,0
1789550973585042980,57315044,9234416,8220,48284,0
1789550974869564809,57315728,9387160,11880,48284,0
1789550976148057313,57319152,9503788,8148,48284,0
1789550977420037637,57312144,9467768,8192,48284,0
1789550978697606860,57306380,9289508,6672,48284,0
1789550979970953915,57300316,9348812,8084,48284,0
1789550981250371260,57303744,9523944,5900,48284,0
1789550982528486391,57291480,9582532,5828,48284,0
1789550983816176591,57290980,9497448,7348,48284,0
1789550985102703004,57289064,9336176,4756,48284,0
1789550986379041429,57289116,9465916,8176,48284,0
1789550987642038429,57278760,9516840,8572,48284,0
1789550988915646190,57285544,9565020,8192,48284,0
1789550990188679958,57285464,9404488,5032,48284,0
1789550991473070122,57287204,9320580,5168,48284,0
1789550992749431158,57284504,9404180,4920,48284,0
1789550994024995805,57275272,9485804,9224,48284,0
1789550995308226973,57276576,9366828,7832,48284,0
1789550996588100261,57282248,9195316,7776,48284,0
1789550997864365354,57282524,9248724,7808,48284,0
1789550999136338931,57275660,9421364,8192,48284,0
1789551000415401516,57263832,9520436,6544,48284,0
1789551001691981702,57268100,9349928,7368,48284,0
1789551002955404931,57265732,9177908,8088,48284,0
1789551004234171709,57267232,9351804,12480,48284,0
1789551005508271072,57266484,9486656,9208,48284,0
1789551006787369805,57238960,9480692,1456,48284,0
1789551008080588977,57245428,9141452,7752,48284,0
1789551009341291383,57257192,9021860,7560,48284,0
1789551010622314386,57253836,9300848,7612,48284,0
1789551011896436954,57248520,9446904,5960,48284,0
1789551013170577769,57247492,9467592,6356,48284,0
1789551014442600177,57240416,9289232,13592,48284,0
1789551015690059178,57250308,9265672,4416,48284,0
1789551016957337497,57254208,9444372,7680,48284,0
1789551018218315021,57248660,9534352,13524,48284,0
1789551019494330943,57247336,9548720,8100,48284,0
1789551020777336777,57244320,9424148,6008,48284,0
1789551022041482059,57249636,9458524,4380,48284,0
1789551023314230074,57245408,9540984,8424,48284,0
1789551024582268591,57237444,9624840,8416,48284,0
1789551025854257445,57241388,9690728,8088,48284,0
1789551027131286042,57240676,9702588,3248,48284,0
1789551028413123118,57242496,9712652,8512,48284,0
1789551029685306790,57234180,9736036,13904,48284,0
1789551030968465045,57243184,9517960,2108,48284,0
1789551032246943532,57242932,9451912,8088,48284,0
1789551033528257607,57232232,9528820,10672,48284,0
1789551034808850344,57243280,9578744,12728,48284,0
1789551036068804748,57236904,9630676,12660,48284,0
1789551037344192601,57239788,9406136,2108,48284,0
1789551038617088773,57242920,9383932,3584,48284,0
1789551039894092026,57243892,9474944,8192,48284,0
1789551041170627288,57227172,9544532,6444,48284,0
1789551042436393741,57229208,9587352,7300,48284,0
1789551043710418793,57226808,9418372,4620,48284,0
1789551044968345296,57238896,9420988,8440,48284,0
1789551046241573068,57241344,9631952,4932,48284,0
1789551047510404748,57234712,9775256,7292,48284,0
1789551048791120458,57252288,9785188,11924,48284,0
1789551050063284110,57241700,9641864,8192,48284,0
1789551051339910558,57250188,9520212,8888,48284,0
