#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260917    09:36:01       0      7     51      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260917    09:36:02       0      8     50      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260917    09:36:03       0      8     50      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260917    09:36:04       0      7     50      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260917    09:36:05       0      8     50      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260917    09:36:06       0      7     50      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260917    09:36:07       0      6     50      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260917    09:36:08       0      8     50      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260917    09:36:09       0      7     49      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      1 
 20260917    09:36:10       0      7     49      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260917    09:36:11       0      7     49      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260917    09:36:12       0      8     49      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260917    09:36:13       0      6     49      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260917    09:36:14       0      7     49      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260917    09:36:16       0      7     49      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260917    09:36:17       0      7     49      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260917    09:36:18       0      7     49      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260917    09:36:19       0      8     49      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260917    09:36:20       0      7     48      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260917    09:36:21       0      7     48      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260917    09:36:22       0     43     50      -      0      0      0      0      0      0   6500   1620      0      0    134      7      0      -      -      0      0      0 
 20260917    09:36:23       0     43     50      -      0      0      0      0      0      0   6500   1620      0      0   2978      7      0      -      -      0      4      0 
 20260917    09:36:24       0     43     51      -     30      1      0      0      0      0   6500   1620      0      0   4370      7      0      -      -      0      0      0 
 20260917    09:36:25       0     55     51      -     12      0      0      0      0      0   6500   1920      0      0   4378      7      0      -      -      0      0  14269 
