#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260915    03:37:37       0      7     50      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260915    03:37:38       0      7     50      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260915    03:37:39       0      7     50      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260915    03:37:40       0      7     50      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260915    03:37:41       0      7     50      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260915    03:37:42       0      7     50      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260915    03:37:43       0      7     49      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260915    03:37:44       0      7     49      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260915    03:37:45       0      7     49      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260915    03:37:46       0      7     49      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260915    03:37:47       0      8     49      -      1      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260915    03:37:48       0     48     50      -      2      0      0      0      0      0   7000   1620      0      0     58      7      0      -      -      0     18      0 
 20260915    03:37:49       0     43     51      -      0      0      0      0      0      0   6500   1620      0      0    134      7      0      -      -      0      0      0 
 20260915    03:37:51       0     43     51      -      0      0      0      0      0      0   6500   1620      0      0    302      7      0      -      -      0      0      0 
 20260915    03:37:52       0     44     51      -     20      1      0      0      0      0   6500   1620      0      0   4434      7      0      -      -      0     37   7992 
