timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/15 03:37:37.106, 0 %, 0 %, 15 MiB, 16384 MiB, 7.43 W, 50
2026/09/15 03:37:38.119, 0 %, 0 %, 15 MiB, 16384 MiB, 7.53 W, 50
2026/09/15 03:37:39.126, 0 %, 0 %, 15 MiB, 16384 MiB, 7.48 W, 50
2026/09/15 03:37:40.132, 0 %, 0 %, 15 MiB, 16384 MiB, 7.43 W, 50
2026/09/15 03:37:41.138, 0 %, 0 %, 15 MiB, 16384 MiB, 7.33 W, 50
2026/09/15 03:37:42.144, 0 %, 0 %, 15 MiB, 16384 MiB, 7.28 W, 50
2026/09/15 03:37:43.150, 0 %, 0 %, 15 MiB, 16384 MiB, 7.43 W, 50
2026/09/15 03:37:44.157, 0 %, 0 %, 15 MiB, 16384 MiB, 7.41 W, 49
2026/09/15 03:37:45.163, 0 %, 0 %, 15 MiB, 16384 MiB, 7.40 W, 49
2026/09/15 03:37:46.169, 0 %, 0 %, 15 MiB, 16384 MiB, 7.41 W, 49
2026/09/15 03:37:47.175, 0 %, 0 %, 15 MiB, 16384 MiB, 7.50 W, 49
2026/09/15 03:37:48.181, 0 %, 0 %, 15 MiB, 16384 MiB, 7.51 W, 49
2026/09/15 03:37:49.187, 0 %, 0 %, 134 MiB, 16384 MiB, 43.75 W, 50
2026/09/15 03:37:50.189, 0 %, 0 %, 134 MiB, 16384 MiB, 43.20 W, 51
2026/09/15 03:37:51.192, 0 %, 0 %, 4428 MiB, 16384 MiB, 43.75 W, 51
2026/09/15 03:37:52.194, 44 %, 2 %, 4434 MiB, 16384 MiB, 44.48 W, 51
2026/09/15 03:37:53.196, 18 %, 1 %, 4444 MiB, 16384 MiB, 56.26 W, 52
2026/09/15 03:37:54.199, 37 %, 2 %, 4450 MiB, 16384 MiB, 58.24 W, 52
2026/09/15 03:37:55.203, 34 %, 1 %, 4458 MiB, 16384 MiB, 48.92 W, 52
2026/09/15 03:37:56.206, 11 %, 0 %, 4466 MiB, 16384 MiB, 53.96 W, 52
2026/09/15 03:37:57.208, 45 %, 2 %, 4474 MiB, 16384 MiB, 56.72 W, 53
2026/09/15 03:37:58.210, 30 %, 1 %, 4480 MiB, 16384 MiB, 56.79 W, 53
2026/09/15 03:37:59.213, 29 %, 1 %, 4488 MiB, 16384 MiB, 50.06 W, 52
2026/09/15 03:38:00.215, 46 %, 2 %, 4498 MiB, 16384 MiB, 49.81 W, 53
2026/09/15 03:38:01.219, 16 %, 1 %, 4506 MiB, 16384 MiB, 56.25 W, 53
2026/09/15 03:38:02.222, 37 %, 2 %, 4512 MiB, 16384 MiB, 58.10 W, 53
2026/09/15 03:38:03.226, 30 %, 1 %, 4520 MiB, 16384 MiB, 57.55 W, 53
2026/09/15 03:38:04.229, 15 %, 1 %, 4528 MiB, 16384 MiB, 49.28 W, 53
2026/09/15 03:38:05.233, 53 %, 2 %, 4536 MiB, 16384 MiB, 57.02 W, 53
2026/09/15 03:38:06.236, 30 %, 1 %, 4542 MiB, 16384 MiB, 56.89 W, 53
2026/09/15 03:38:07.249, 28 %, 1 %, 4552 MiB, 16384 MiB, 57.56 W, 53
2026/09/15 03:38:08.251, 0 %, 0 %, 4552 MiB, 16384 MiB, 43.73 W, 53
2026/09/15 03:38:09.254, 0 %, 0 %, 4552 MiB, 16384 MiB, 43.79 W, 52
2026/09/15 03:38:10.256, 0 %, 0 %, 4552 MiB, 16384 MiB, 43.87 W, 52
2026/09/15 03:38:11.259, 0 %, 0 %, 4552 MiB, 16384 MiB, 43.74 W, 52
2026/09/15 03:38:12.261, 0 %, 0 %, 4552 MiB, 16384 MiB, 44.10 W, 52
2026/09/15 03:38:13.263, 0 %, 0 %, 4552 MiB, 16384 MiB, 44.33 W, 52
2026/09/15 03:38:14.266, 0 %, 0 %, 4552 MiB, 16384 MiB, 43.71 W, 52
2026/09/15 03:38:15.268, 0 %, 0 %, 6928 MiB, 16384 MiB, 43.63 W, 52
2026/09/15 03:38:16.270, 0 %, 0 %, 6928 MiB, 16384 MiB, 43.73 W, 53
2026/09/15 03:38:17.273, 0 %, 0 %, 6928 MiB, 16384 MiB, 44.11 W, 52
2026/09/15 03:38:18.275, 0 %, 0 %, 6928 MiB, 16384 MiB, 56.35 W, 53
2026/09/15 03:38:19.278, 0 %, 0 %, 6928 MiB, 16384 MiB, 56.47 W, 53
2026/09/15 03:38:20.280, 0 %, 0 %, 6928 MiB, 16384 MiB, 44.28 W, 53
2026/09/15 03:38:21.283, 0 %, 0 %, 6928 MiB, 16384 MiB, 43.84 W, 53
2026/09/15 03:38:22.286, 0 %, 0 %, 6928 MiB, 16384 MiB, 43.67 W, 53
2026/09/15 03:38:23.288, 0 %, 0 %, 6928 MiB, 16384 MiB, 43.60 W, 53
2026/09/15 03:38:24.291, 0 %, 0 %, 6928 MiB, 16384 MiB, 43.43 W, 53
2026/09/15 03:38:25.294, 0 %, 0 %, 6928 MiB, 16384 MiB, 43.72 W, 53
2026/09/15 03:38:26.297, 0 %, 0 %, 6928 MiB, 16384 MiB, 43.56 W, 53
2026/09/15 03:38:27.300, 0 %, 0 %, 6928 MiB, 16384 MiB, 43.65 W, 53
2026/09/15 03:38:28.303, 0 %, 0 %, 6928 MiB, 16384 MiB, 43.40 W, 53
2026/09/15 03:38:29.306, 0 %, 0 %, 6928 MiB, 16384 MiB, 43.85 W, 53
2026/09/15 03:38:30.309, 0 %, 0 %, 6928 MiB, 16384 MiB, 44.06 W, 53
2026/09/15 03:38:31.312, 0 %, 0 %, 6928 MiB, 16384 MiB, 44.08 W, 53
2026/09/15 03:38:32.315, 0 %, 0 %, 6928 MiB, 16384 MiB, 44.12 W, 53
2026/09/15 03:38:33.318, 0 %, 0 %, 6928 MiB, 16384 MiB, 44.62 W, 53
2026/09/15 03:38:34.321, 0 %, 0 %, 6928 MiB, 16384 MiB, 44.65 W, 53
2026/09/15 03:38:35.324, 0 %, 0 %, 6928 MiB, 16384 MiB, 33.93 W, 52
2026/09/15 03:38:36.331, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.81 W, 51
2026/09/15 03:38:37.337, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.67 W, 51
2026/09/15 03:38:38.343, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.52 W, 51
2026/09/15 03:38:39.350, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.65 W, 50
2026/09/15 03:38:40.356, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.71 W, 50
2026/09/15 03:38:41.363, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.70 W, 50
2026/09/15 03:38:42.369, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.69 W, 50
2026/09/15 03:38:43.376, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.68 W, 50
2026/09/15 03:38:44.382, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.60 W, 49
2026/09/15 03:38:45.388, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.45 W, 49
2026/09/15 03:38:46.394, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.50 W, 49
2026/09/15 03:38:47.401, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.46 W, 49
2026/09/15 03:38:48.407, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.43 W, 49
2026/09/15 03:38:49.413, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.52 W, 49
2026/09/15 03:38:50.419, 0 %, 0 %, 6928 MiB, 16384 MiB, 8.65 W, 49
2026/09/15 03:38:51.425, 0 %, 0 %, 6928 MiB, 16384 MiB, 9.20 W, 49
2026/09/15 03:38:52.430, 1 %, 0 %, 6928 MiB, 16384 MiB, 7.66 W, 48
2026/09/15 03:38:53.441, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.73 W, 48
2026/09/15 03:38:54.447, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.82 W, 48
2026/09/15 03:38:55.453, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.70 W, 48
2026/09/15 03:38:56.460, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.55 W, 48
2026/09/15 03:38:57.466, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.72 W, 48
2026/09/15 03:38:58.472, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.42 W, 48
2026/09/15 03:38:59.479, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.86 W, 48
2026/09/15 03:39:00.485, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.80 W, 48
2026/09/15 03:39:01.491, 0 %, 0 %, 6928 MiB, 16384 MiB, 8.01 W, 48
2026/09/15 03:39:02.497, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.76 W, 47
2026/09/15 03:39:03.503, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.79 W, 47
2026/09/15 03:39:04.510, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.67 W, 47
2026/09/15 03:39:05.516, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.63 W, 47
2026/09/15 03:39:06.522, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.48 W, 47
2026/09/15 03:39:07.528, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.44 W, 47
2026/09/15 03:39:08.534, 0 %, 0 %, 6928 MiB, 16384 MiB, 8.97 W, 47
2026/09/15 03:39:09.540, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.11 W, 47
2026/09/15 03:39:10.552, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.11 W, 47
2026/09/15 03:39:11.558, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.18 W, 47
2026/09/15 03:39:12.564, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.43 W, 47
2026/09/15 03:39:13.570, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.28 W, 46
2026/09/15 03:39:14.576, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.16 W, 46
2026/09/15 03:39:15.583, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.15 W, 46
2026/09/15 03:39:16.589, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.32 W, 46
2026/09/15 03:39:17.595, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.17 W, 46
2026/09/15 03:39:18.601, 0 %, 0 %, 6928 MiB, 16384 MiB, 6.97 W, 46
2026/09/15 03:39:19.611, 0 %, 0 %, 6928 MiB, 16384 MiB, 6.92 W, 46
2026/09/15 03:39:20.617, 0 %, 0 %, 6928 MiB, 16384 MiB, 6.91 W, 46
2026/09/15 03:39:21.624, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.10 W, 46
2026/09/15 03:39:22.630, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.19 W, 46
2026/09/15 03:39:23.636, 0 %, 0 %, 6928 MiB, 16384 MiB, 9.02 W, 46
2026/09/15 03:39:24.641, 0 %, 0 %, 6928 MiB, 16384 MiB, 8.05 W, 46
2026/09/15 03:39:25.647, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.31 W, 46
2026/09/15 03:39:26.657, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.24 W, 46
2026/09/15 03:39:27.664, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.15 W, 45
2026/09/15 03:39:28.670, 0 %, 0 %, 6928 MiB, 16384 MiB, 6.97 W, 45
2026/09/15 03:39:29.676, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.05 W, 45
2026/09/15 03:39:30.682, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.18 W, 45
2026/09/15 03:39:31.689, 0 %, 0 %, 6928 MiB, 16384 MiB, 7.23 W, 45
