wall_ns,read_MBps,write_MBps,read_lat_ms,write_lat_ms,inflight
1789599180182782077,14.8,0.0,0.10,0.00,0
1789599181210596098,20.0,0.1,0.09,2.00,0
1789599182237968116,42.6,0.0,0.11,0.00,0
1789599183265094475,1.2,0.0,0.09,0.00,0
1789599184295376050,0.0,0.0,14.00,0.00,0
1789599185325615107,37.4,0.0,0.17,0.00,0
1789599186354195402,0.6,0.0,0.41,1.50,0
1789599187384504594,7.5,0.0,0.41,0.00,0
1789599188412982665,0.0,0.6,0.00,2.60,0
1789599189441248215,0.0,0.0,0.00,0.00,0
1789599190469305460,8.8,0.0,0.09,0.00,0
1789599191496429052,66.6,0.1,0.15,1.50,0
1789599192522682925,68.0,0.0,0.13,0.00,0
1789599193550714217,13.0,0.2,0.27,0.07,0
1789599194580034281,0.0,0.0,14.00,0.00,0
1789599195609620028,0.0,0.2,0.00,8.50,0
1789599196648975934,0.0,0.0,0.00,0.00,0
1789599197674930279,0.0,0.0,0.00,0.00,0
1789599198704712246,0.0,0.2,0.00,2.95,0
1789599199736969034,0.0,0.0,0.00,0.00,0
1789599200766897267,0.1,0.1,0.94,8.50,0
1789599201796027464,0.0,0.0,0.00,0.00,0
1789599202825439485,0.0,0.0,0.00,0.00,0
1789599203855114559,0.0,0.2,0.00,5.95,0
1789599204885116905,0.0,0.0,0.00,0.00,0
1789599205914792696,0.0,0.1,0.00,8.50,0
1789599206942003836,0.0,0.0,0.00,0.00,0
1789599207970841978,2.1,0.0,1.09,0.00,0
1789599209000326349,0.0,0.3,7.00,0.05,0
1789599210030910820,0.5,0.0,0.18,0.00,0
1789599211058701544,0.1,1.5,0.22,1.20,0
1789599212087411160,0.1,0.0,0.21,0.00,0
1789599213114460979,0.1,0.0,0.22,0.00,0
1789599214141054237,0.1,1.4,0.19,0.07,0
1789599215169706428,0.1,0.0,0.17,0.00,0
1789599216198330326,0.2,3.6,0.15,1.00,0
1789599217225974971,0.3,0.0,1.00,0.00,0
1789599218256840950,970.0,0.0,6.87,0.00,38
1789599219291637943,1158.5,2.5,6.93,5.25,36
1789599220326637483,596.2,0.6,6.92,3.32,34
1789599221361916309,1021.4,1.6,6.46,11.00,35
1789599222397363423,1189.9,0.0,6.76,0.00,32
1789599223431184827,1205.4,0.0,6.49,0.00,31
1789599224464375383,1015.0,0.0,6.72,0.00,0
1789599225493091183,1178.6,1.7,6.78,0.10,33
1789599226527568677,1181.0,0.1,6.69,14.50,33
1789599227561675187,1160.7,0.0,6.28,0.00,0
1789599228592365377,1097.2,0.0,6.65,0.00,31
1789599229627115615,1185.1,0.1,6.78,1.05,33
1789599230661475951,1193.6,0.1,6.51,5.00,33
1789599231695927162,1054.2,0.0,6.59,0.00,34
1789599232730258519,1190.7,0.0,6.77,0.00,35
1789599233764866628,1195.1,0.0,6.57,0.00,33
1789599234799243798,1053.2,0.1,6.57,4.65,35
1789599235833523693,1217.0,0.0,6.45,14.50,33
1789599236867539458,1201.1,0.0,6.65,0.00,35
1789599237898129275,1057.1,0.0,6.69,0.00,34
1789599238932287930,1192.9,0.0,6.63,0.00,32
1789599239964589750,1189.7,0.4,6.71,5.27,32
1789599240999058745,1113.2,0.1,6.34,6.00,34
1789599242033998041,1197.2,0.0,6.73,0.00,33
1789599243069216104,1192.6,0.0,6.73,0.00,33
