timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/17 07:52:59.211, 0 %, 0 %, 15 MiB, 16384 MiB, 7.66 W, 49
2026/09/17 07:53:00.223, 0 %, 0 %, 15 MiB, 16384 MiB, 7.50 W, 49
2026/09/17 07:53:01.229, 0 %, 0 %, 15 MiB, 16384 MiB, 7.63 W, 49
2026/09/17 07:53:02.235, 0 %, 0 %, 15 MiB, 16384 MiB, 7.50 W, 49
2026/09/17 07:53:03.242, 0 %, 0 %, 15 MiB, 16384 MiB, 7.42 W, 49
2026/09/17 07:53:04.248, 0 %, 0 %, 15 MiB, 16384 MiB, 7.36 W, 49
2026/09/17 07:53:05.254, 0 %, 0 %, 15 MiB, 16384 MiB, 7.52 W, 48
2026/09/17 07:53:06.260, 0 %, 0 %, 15 MiB, 16384 MiB, 7.64 W, 48
2026/09/17 07:53:07.267, 0 %, 0 %, 15 MiB, 16384 MiB, 7.55 W, 48
2026/09/17 07:53:08.273, 0 %, 0 %, 15 MiB, 16384 MiB, 7.50 W, 48
2026/09/17 07:53:09.279, 0 %, 0 %, 15 MiB, 16384 MiB, 9.14 W, 48
2026/09/17 07:53:10.286, 0 %, 0 %, 16 MiB, 16384 MiB, 11.88 W, 48
2026/09/17 07:53:11.294, 0 %, 0 %, 134 MiB, 16384 MiB, 43.62 W, 49
2026/09/17 07:53:12.298, 0 %, 0 %, 238 MiB, 16384 MiB, 42.77 W, 50
2026/09/17 07:53:13.302, 7 %, 0 %, 4364 MiB, 16384 MiB, 43.72 W, 50
2026/09/17 07:53:14.305, 29 %, 1 %, 4370 MiB, 16384 MiB, 55.96 W, 51
2026/09/17 07:53:15.313, 22 %, 1 %, 4378 MiB, 16384 MiB, 57.06 W, 51
2026/09/17 07:53:16.316, 52 %, 2 %, 4386 MiB, 16384 MiB, 56.64 W, 51
2026/09/17 07:53:17.319, 30 %, 1 %, 4394 MiB, 16384 MiB, 56.52 W, 51
2026/09/17 07:53:18.322, 12 %, 0 %, 4402 MiB, 16384 MiB, 56.43 W, 52
2026/09/17 07:53:19.324, 38 %, 2 %, 4410 MiB, 16384 MiB, 56.40 W, 52
2026/09/17 07:53:20.327, 30 %, 1 %, 4416 MiB, 16384 MiB, 56.73 W, 52
2026/09/17 07:53:21.329, 13 %, 0 %, 4424 MiB, 16384 MiB, 50.24 W, 52
2026/09/17 07:53:22.331, 41 %, 2 %, 4432 MiB, 16384 MiB, 56.62 W, 52
2026/09/17 07:53:23.334, 30 %, 1 %, 4440 MiB, 16384 MiB, 56.69 W, 52
2026/09/17 07:53:24.336, 20 %, 1 %, 4448 MiB, 16384 MiB, 48.92 W, 52
2026/09/17 07:53:25.339, 51 %, 2 %, 4456 MiB, 16384 MiB, 57.04 W, 52
2026/09/17 07:53:26.344, 30 %, 1 %, 4462 MiB, 16384 MiB, 58.81 W, 52
2026/09/17 07:53:27.346, 26 %, 1 %, 4470 MiB, 16384 MiB, 52.28 W, 52
2026/09/17 07:53:28.349, 56 %, 2 %, 4478 MiB, 16384 MiB, 55.43 W, 52
2026/09/17 07:53:29.353, 30 %, 1 %, 4486 MiB, 16384 MiB, 56.38 W, 52
2026/09/17 07:53:30.359, 0 %, 0 %, 4488 MiB, 16384 MiB, 55.97 W, 52
2026/09/17 07:53:31.361, 0 %, 0 %, 4488 MiB, 16384 MiB, 43.97 W, 52
2026/09/17 07:53:32.363, 0 %, 0 %, 4488 MiB, 16384 MiB, 43.84 W, 52
2026/09/17 07:53:33.366, 0 %, 0 %, 4488 MiB, 16384 MiB, 43.49 W, 52
2026/09/17 07:53:34.368, 0 %, 0 %, 4488 MiB, 16384 MiB, 43.57 W, 52
2026/09/17 07:53:35.371, 0 %, 0 %, 4488 MiB, 16384 MiB, 43.55 W, 52
2026/09/17 07:53:36.373, 0 %, 0 %, 6864 MiB, 16384 MiB, 43.22 W, 52
2026/09/17 07:53:37.377, 0 %, 0 %, 6864 MiB, 16384 MiB, 43.00 W, 52
2026/09/17 07:53:38.380, 0 %, 0 %, 6864 MiB, 16384 MiB, 43.34 W, 52
2026/09/17 07:53:39.383, 0 %, 0 %, 6864 MiB, 16384 MiB, 43.21 W, 52
2026/09/17 07:53:40.386, 0 %, 0 %, 6864 MiB, 16384 MiB, 55.89 W, 52
2026/09/17 07:53:41.389, 0 %, 0 %, 6864 MiB, 16384 MiB, 55.84 W, 52
2026/09/17 07:53:42.392, 0 %, 0 %, 6864 MiB, 16384 MiB, 43.47 W, 52
2026/09/17 07:53:43.397, 0 %, 0 %, 6864 MiB, 16384 MiB, 43.56 W, 52
2026/09/17 07:53:44.400, 0 %, 0 %, 6864 MiB, 16384 MiB, 44.52 W, 52
2026/09/17 07:53:45.404, 0 %, 0 %, 6864 MiB, 16384 MiB, 44.57 W, 52
2026/09/17 07:53:46.407, 0 %, 0 %, 6864 MiB, 16384 MiB, 43.01 W, 52
2026/09/17 07:53:47.410, 0 %, 0 %, 6864 MiB, 16384 MiB, 42.80 W, 52
2026/09/17 07:53:48.413, 0 %, 0 %, 6864 MiB, 16384 MiB, 42.92 W, 52
2026/09/17 07:53:49.417, 0 %, 0 %, 6864 MiB, 16384 MiB, 43.14 W, 52
2026/09/17 07:53:50.419, 0 %, 0 %, 6864 MiB, 16384 MiB, 43.24 W, 52
2026/09/17 07:53:51.422, 0 %, 0 %, 6864 MiB, 16384 MiB, 43.06 W, 52
2026/09/17 07:53:52.426, 0 %, 0 %, 6864 MiB, 16384 MiB, 43.06 W, 52
2026/09/17 07:53:53.429, 0 %, 0 %, 6864 MiB, 16384 MiB, 43.37 W, 52
2026/09/17 07:53:54.433, 0 %, 0 %, 6864 MiB, 16384 MiB, 43.55 W, 52
2026/09/17 07:53:55.436, 0 %, 0 %, 6864 MiB, 16384 MiB, 43.63 W, 52
2026/09/17 07:53:56.439, 0 %, 0 %, 6864 MiB, 16384 MiB, 11.44 W, 51
2026/09/17 07:53:57.445, 0 %, 0 %, 6864 MiB, 16384 MiB, 7.66 W, 50
2026/09/17 07:53:58.450, 0 %, 0 %, 6864 MiB, 16384 MiB, 7.68 W, 50
2026/09/17 07:53:59.455, 0 %, 0 %, 6864 MiB, 16384 MiB, 7.65 W, 50
2026/09/17 07:54:00.460, 0 %, 0 %, 6864 MiB, 16384 MiB, 8.31 W, 49
2026/09/17 07:54:01.464, 0 %, 0 %, 6864 MiB, 16384 MiB, 10.06 W, 49
2026/09/17 07:54:02.469, 0 %, 0 %, 6864 MiB, 16384 MiB, 7.62 W, 49
2026/09/17 07:54:03.474, 0 %, 0 %, 6864 MiB, 16384 MiB, 7.70 W, 49
2026/09/17 07:54:04.479, 0 %, 0 %, 6864 MiB, 16384 MiB, 7.56 W, 49
2026/09/17 07:54:05.484, 0 %, 0 %, 6864 MiB, 16384 MiB, 7.44 W, 48
2026/09/17 07:54:06.489, 0 %, 0 %, 6864 MiB, 16384 MiB, 7.48 W, 48
2026/09/17 07:54:07.494, 0 %, 0 %, 6864 MiB, 16384 MiB, 7.53 W, 48
2026/09/17 07:54:08.498, 0 %, 0 %, 6864 MiB, 16384 MiB, 7.37 W, 48
