wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789567155244679059,125021364,12,0,1260,0
1789567156272258729,124971284,68,0,1260,0
1789567157300248674,124897296,92,0,1260,0
1789567158327756674,124886988,200,0,1260,0
1789567159357215973,124883984,216,0,1260,0
1789567160386255373,124853260,244,0,1260,0
1789567161416220137,124723556,72,0,1260,0
1789567162444823157,124566388,84,0,1260,0
1789567163473605047,124499168,168,0,1260,0
1789567164502189861,124058988,188,0,1260,0
1789567165525420952,123761996,12,84,11500,0
1789567166553283868,124131968,44,0,85668,0
1789567167580682286,122352828,84,0,81144,0
1789567168612369507,118394824,228,0,81132,0
1789567169641750572,114120344,244,0,81132,0
1789567170672621570,110144768,272,0,81132,0
1789567171703341002,106037176,48,0,81132,0
1789567172732562901,101893528,72,0,81132,0
1789567173764099703,97886216,160,0,81132,0
1789567174793129152,93440452,184,0,81132,0
1789567175822566660,89485028,192,0,81132,0
1789567176852069544,85395100,56,0,81132,0
1789567177881760205,80938972,140,0,81132,0
1789567178911994065,76968180,164,0,81132,0
1789567179943285577,72681956,184,0,81132,0
1789567180972952093,68722244,192,0,81132,0
1789567182003380407,64581720,68,0,81132,0
1789567183033380473,60035076,152,0,81132,0
1789567184062564070,57763008,168,0,81132,0
1789567185094141704,57574228,188,0,81136,0
1789567186128711684,56348784,212,0,81136,0
1789567187162171942,55384624,52,0,81136,0
1789567188191611254,57820588,893432,0,81136,0
1789567189224293376,57819604,1714348,0,81136,0
1789567190259064437,57820360,1714364,0,81136,0
1789567191293524787,57841580,2655304,15204,81136,0
1789567192325717735,57847712,3366928,0,81136,0
1789567193359914026,57845396,3367044,0,81136,0
1789567194392853969,57844924,4304640,0,81136,0
1789567195425261901,57846096,5081008,0,81136,0
1789567196457453939,57844664,5081260,0,81136,0
1789567197492386889,57840044,5545300,8192,81136,0
1789567198526446705,57842952,6215788,6664,81136,0
1789567199561021685,57839480,6432420,6720,81136,0
1789567200592172032,57828184,6158104,6768,81136,0
1789567201624229170,57829168,6774964,5304,81136,0
1789567202656276193,57833080,7394368,26456,81136,0
1789567203686216622,57829944,7125472,8608,81136,0
1789567204716416334,57833992,8056912,7936,81136,0
1789567205747498402,57831060,8481184,6780,81136,0
1789567206782178098,57829108,8324632,11796,81136,0
1789567207815702102,57834776,8645212,7796,81136,0
1789567208849882514,57832500,9319236,20392,81136,0
1789567209882335103,57827452,8760344,8192,81136,0
1789567210915639311,57827796,8851404,14240,81136,0
1789567211941056554,57835052,9284936,12788,81136,0
1789567212967617352,57810856,9393228,12224,81136,0
1789567213998034554,57816080,9257912,12,81136,0
1789567215032955475,57811420,9412344,8192,81136,0
1789567216065704935,57819372,9528688,8192,81136,0
1789567217098662627,57812868,9693612,15752,81136,0
1789567218132930439,57809536,9740124,7848,81136,0
1789567219166502021,57805056,9595932,8824,81136,0
1789567220198847836,57801472,9643184,15160,81136,0
1789567221231563599,57802476,9749212,16384,81136,0
1789567222263676051,57807692,9641116,32768,81136,0
1789567223293770408,57802804,9989140,9072,81136,0
1789567224323155427,57797952,10041420,7852,81136,0
1789567225356676579,57810308,10067256,10552,81136,0
1789567226390107635,57796892,10088904,15752,81136,0
1789567227417811901,57837312,10086136,7924,81136,0
1789567228451267359,57838584,9952120,8192,81136,0
1789567229484104675,57844892,9793440,8192,81136,0
1789567230517015498,57844028,9926984,8104,81136,0
1789567231550189364,57836080,10038264,16212,81136,0
1789567232583245561,57828428,10031316,16140,81136,0
1789567233614114211,57830776,10023532,8192,81136,0
1789567234647438563,57828188,9868684,16528,81136,0
1789567235679473231,57827320,9828580,8060,81136,0
1789567236708970867,57827700,9928376,8160,81136,0
1789567237741421951,57823024,9967616,12524,81136,0
1789567238773627852,57820020,10021908,7456,81136,0
1789567239816524661,57819540,9943040,8100,81136,0
1789567240850395460,57821176,9798444,7720,81136,0
1789567241884106464,57812932,9857820,3668,81136,0
1789567242916873558,57809924,9865584,8192,81136,0
1789567243946188475,57806048,10056224,8192,81136,0
1789567244980603939,57806352,10119716,8320,81136,0
1789567246014297818,57808692,9961736,8696,81136,0
1789567247047866992,57808468,9810792,8320,81136,0
1789567248082052663,57802456,9883112,11964,81136,0
1789567249114928176,57799364,9976376,5300,81136,0
1789567250147957585,57808840,9938776,15364,81136,0
1789567251177853043,57800856,10123176,13100,81136,0
1789567252212445150,57797700,9997460,8084,81136,0
1789567253242826046,57800368,9883684,7936,81136,0
1789567254275227469,57795584,9872284,7800,81136,0
1789567255309822454,57796880,9970152,7888,81136,0
1789567256341107155,57792132,10031880,8192,81136,0
1789567257373563055,57792852,9903992,15468,81136,0
1789567258405410691,57795584,9767924,8640,81136,0
1789567259437899007,57796672,9610080,10944,81136,0
1789567260467939443,57788684,9794900,8192,81136,0
1789567261501729473,57782508,9917160,5160,81136,0
1789567262537711859,57780192,10006088,9960,81136,0
1789567263567830880,57780280,9970764,11756,81136,0
1789567264601667192,57782968,9720428,8192,81136,0
1789567265635532111,57776288,9585272,8192,81136,0
1789567266669782119,57772656,9762324,7864,81136,0
1789567267704337887,57768684,9886160,8296,81136,0
1789567268736665093,57772104,9985400,6056,81136,0
1789567269768647428,57766904,9944004,8136,81136,0
1789567270803507751,57773072,9710144,4852,81136,0
1789567271837243365,57771144,9625964,5284,81136,0
1789567272949809444,57765492,9765660,8192,81136,0
1789567274016659774,57763892,9884232,13764,81136,0
1789567275047304175,57764176,9930816,9188,81136,0
1789567276076816044,57762180,9871692,4680,81136,0
1789567277110294003,57766864,9625940,16384,81136,0
1789567278141579365,57760456,9650076,16384,81136,0
1789567279176097554,57767832,9793668,15000,81136,0
1789567280209168011,57763556,9882364,13536,81136,0
1789567281240707548,57762220,9989704,8152,81136,0
1789567282272101429,57758016,9849436,4268,81136,0
1789567283305651194,57754488,9704384,5976,81136,0
1789567284339494521,57759116,9755796,10712,81136,0
1789567285369050312,57759412,9813884,6340,81136,0
1789567286402064219,57760440,9908856,8160,81136,0
1789567287434816821,57760304,9968232,3740,81136,0
1789567288466985181,57758064,9975496,8696,81136,0
1789567289508173890,57753212,10030900,11832,81136,0
1789567290541751166,57752956,10042072,7072,81136,0
1789567291572716601,57740856,9947888,6968,81136,0
1789567292606363926,57743856,9604152,8192,81136,0
1789567293638205118,57742156,9473452,7892,81136,0
1789567294671240259,57740632,9558664,9708,81136,0
1789567295706586117,57740712,9738688,11144,81136,0
1789567296739907902,57737444,9807056,15900,81136,0
1789567297772414020,57736540,9821648,8292,81136,0
1789567298804866998,57743308,9561052,15824,81136,0
1789567299835585844,57736804,9423480,6408,81136,0
1789567300868725349,57736672,9629124,9200,81136,0
1789567301899312336,57739308,9775480,5072,81136,0
1789567302930950322,57741320,9856960,8192,81136,0
1789567303962189077,57737024,9779436,4784,81136,0
1789567304995509865,57731448,9614816,11728,81136,0
1789567306022050682,57760444,9536504,4032,81136,0
1789567307054647200,57753428,9704248,6048,81136,0
1789567308087612324,57751080,9810040,7112,81136,0
