#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260915    16:02:30       0      7     55      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260915    16:02:31       0      8     55      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260915    16:02:32       0      8     54      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260915    16:02:33       0      7     54      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260915    16:02:34       0      7     54      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260915    16:02:35       0      7     54      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260915    16:02:36       0      7     53      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260915    16:02:37       0      7     53      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260915    16:02:38       0      7     53      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260915    16:02:39       0      7     53      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260915    16:02:40       0      7     53      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260915    16:02:42       0     49     53      -      0      0      0      0      0      0   6500   1620      0      0    134      7      0      -      -      0      0      0 
 20260915    16:02:43       0     45     54      -      0      0      0      0      0      0   6500   1620      0      0    134      7      0      -      -      0      0      0 
 20260915    16:02:44       0     45     54      -      0      0      0      0      0      0   6500   1620      0      0   2966      7      0      -      -      0      5      1 
 20260915    16:02:45       0     46     55      -     37      1      0      0      0      0   6500   1620      0      0   4434      7      0      -      -      0      0   1392 
 20260915    16:02:46       0     46     55      -     42      2      0      0      0      0   6500   1710      0      0   4442      7      0      -      -      0      0      0 
 20260915    16:02:47       0     57     55      -     30      1      0      0      0      0   6500   1920      0      0   4450      7      0      -      -      0     57  14839 
 20260915    16:02:48       0     59     55      -     12      0      0      0      0      0   6500   1920      0      0   4456      7      0      -      -      0    106  14242 
 20260915    16:02:49       0     57     55      -     19      1      0      0      0      0   6500   1920      0      0   4460      7      0      -      -      0      0   9021 
 20260915    16:02:50       0     46     55      -     37      1      0      0      0      0   6500   1620      0      0   4468      7      0      -      -      0      0      0 
 20260915    16:02:51       0     45     55      -     12      0      0      0      0      0   6500   1620      0      0   4472      7      0      -      -      0      0   2028 
 20260915    16:02:52       0     45     55      -     19      1      0      0      0      0   6500   1620      0      0   4478      7      0      -      -      0      0      0 
 20260915    16:02:53       0     45     54      -     16      1      0      0      0      0   6500   1635      0      0   4484      7      0      -      -      0      0      3 
 20260915    16:02:54       0     46     54      -     37      1      0      0      0      0   6500   1635      0      0   4490      7      0      -      -      0      0      0 
 20260915    16:02:55       0     45     54      -     19      1      0      0      0      0   6500   1620      0      0   4494      7      0      -      -      0      0   7216 
 20260915    16:02:56       0     45     54      -     23      1      0      0      0      0   6500   1620      0      0   4500      7      0      -      -      0      0      0 
