#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260918    00:38:18       0      9     57      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260918    00:38:19       0      8     57      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260918    00:38:20       0      9     57      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260918    00:38:21       0      7     56      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260918    00:38:22       0      7     56      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260918    00:38:23       0      7     56      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260918    00:38:24       0      7     55      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260918    00:38:25       0      8     55      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260918    00:38:26       0      8     55      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260918    00:38:27       0      7     55      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260918    00:38:29       0     10     55      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260918    00:38:30       0     46     56      -      0      0      0      0      0      0   6500   1620      0      0    134      7      0      -      -      0      2      0 
 20260918    00:38:31       0     49     57      -      3      0      0      0      0      0   6500   1620      0      0    302      7      0      -      -      0      0      0 
 20260918    00:38:32       0     47     57      -     37      1      0      0      0      0   6500   1620      0      0   4432      7      0      -      -      0      0      0 
 20260918    00:38:33       0     59     57      -     15      1      0      0      0      0   6500   1905      0      0   4440      7      0      -      -      0    153  15339 
 20260918    00:38:34       0     60     57      -     33      1      0      0      0      0   6500   1905      0      0   4448      7      0      -      -      0      0   4509 
 20260918    00:38:35       0     60     57      -     52      2      0      0      0      0   6500   1905      0      0   4454      7      0      -      -      0      3      0 
 20260918    00:38:36       0     57     58      -     30      1      0      0      0      0   6500   1905      0      0   4462      7      0      -      -      0      0      0 
 20260918    00:38:37       0     60     58      -     55      2      0      0      0      0   6500   1905      0      0   4470      7      0      -      -      0     29   3174 
 20260918    00:38:38       0     57     58      -     30      1      0      0      0      0   6500   1905      0      0   4480      7      0      -      -      0      0  14215 
 20260918    00:38:39       0     59     58      -     23      1      0      0      0      0   6500   1905      0      0   4486      7      0      -      -      0      1   4721 
 20260918    00:38:40       0     57     58      -     51      2      0      0      0      0   6500   1905      0      0   4494      7      0      -      -      0      0   7062 
 20260918    00:38:41       0     60     58      -     37      2      0      0      0      0   6500   1905      0      0   4504      7      0      -      -      0      0   5478 
 20260918    00:38:42       0     48     57      -     42      2      0      0      0      0   6500   1770      0      0   4510      7      0      -      -      0      0      0 
 20260918    00:38:43       0     59     58      -     16      1      0      0      0      0   6500   1905      0      0   4518      7      0      -      -      0      0  10414 
 20260918    00:38:44       0     60     58      -     30      1      0      0      0      0   6500   1905      0      0   4526      7      0      -      -      0      0      0 
 20260918    00:38:45       0     52     57      -     11      0      0      0      0      0   6500   1815      0      0   4534      7      0      -      -      0      0      0 
 20260918    00:38:47       0     61     58      -     38      2      0      0      0      0   6500   1905      0      0   4542      7      0      -      -      0      1      0 
 20260918    00:38:48       0     57     58      -     30      1      0      0      0      0   6500   1905      0      0   4552      7      0      -      -      0      1    902 
 20260918    00:38:49       0     46     57      -      0      0      0      0      0      0   6500   1620      0      0   4552      7      0      -      -      0      1      1 
 20260918    00:38:50       0     46     57      -      0      0      0      0      0      0   6500   1620      0      0   4552      7      0      -      -      0      1      1 
 20260918    00:38:51       0     46     57      -      0      0      0      0      0      0   6500   1620      0      0   4552      7      0      -      -      0      0      0 
 20260918    00:38:52       0     45     57      -      0      0      0      0      0      0   6500   1620      0      0   6928      7      0      -      -      0      0      1 
 20260918    00:38:53       0     45     57      -      0      0      0      0      0      0   6500   1620      0      0   6928      7      0      -      -      0      2      1 
 20260918    00:38:54       0     46     57      -      0      0      0      0      0      0   6500   1620      0      0   6928      7      0      -      -      0   8260    941 
 20260918    00:38:55       0     57     57      -      0      0      0      0      0      0   6500   1905      0      0   6928      7      0      -      -      0      2      1 
 20260918    00:38:56       0     55     57      -      0      0      0      0      0      0   6500   1620      0      0   6928      7      0      -      -      0      1      1 
 20260918    00:38:57       0     45     57      -      0      0      0      0      0      0   6500   1620      0      0   6928      7      0      -      -      0      1      1 
 20260918    00:38:58       0     45     57      -      0      0      0      0      0      0   6500   1620      0      0   6928      7      0      -      -      0      1      1 
 20260918    00:38:59       0     45     57      -      0      0      0      0      0      0   6500   1620      0      0   6928      7      0      -      -      0      1      1 
 20260918    00:39:00       0     45     57      -      0      0      0      0      0      0   6500   1620      0      0   6928      7      0      -      -      0      1      1 
 20260918    00:39:02       0     45     56      -      0      0      0      0      0      0   6500   1620      0      0   6928      7      0      -      -      0     11      1 
 20260918    00:39:03       0     45     57      -      0      0      0      0      0      0   6500   1620      0      0   6928      7      0      -      -      0     20      5 
 20260918    00:39:04       0     45     56      -      0      0      0      0      0      0   6500   1620      0      0   6928      7      0      -      -      0     14     11 
