timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/18 00:38:18.342, 0 %, 0 %, 18 MiB, 16384 MiB, 9.41 W, 57
2026/09/18 00:38:19.354, 0 %, 0 %, 18 MiB, 16384 MiB, 8.80 W, 57
2026/09/18 00:38:20.359, 0 %, 0 %, 18 MiB, 16384 MiB, 8.82 W, 57
2026/09/18 00:38:21.365, 0 %, 0 %, 18 MiB, 16384 MiB, 11.20 W, 56
2026/09/18 00:38:22.371, 0 %, 0 %, 18 MiB, 16384 MiB, 8.91 W, 56
2026/09/18 00:38:23.390, 0 %, 0 %, 18 MiB, 16384 MiB, 8.32 W, 56
2026/09/18 00:38:24.396, 0 %, 0 %, 18 MiB, 16384 MiB, 8.17 W, 56
2026/09/18 00:38:25.402, 0 %, 0 %, 18 MiB, 16384 MiB, 8.19 W, 55
2026/09/18 00:38:26.408, 0 %, 0 %, 18 MiB, 16384 MiB, 8.25 W, 55
2026/09/18 00:38:27.414, 0 %, 0 %, 18 MiB, 16384 MiB, 8.20 W, 55
2026/09/18 00:38:28.419, 0 %, 0 %, 18 MiB, 16384 MiB, 8.24 W, 55
2026/09/18 00:38:29.425, 0 %, 0 %, 18 MiB, 16384 MiB, 8.23 W, 55
2026/09/18 00:38:30.431, 0 %, 0 %, 134 MiB, 16384 MiB, 45.91 W, 56
2026/09/18 00:38:31.433, 1 %, 0 %, 302 MiB, 16384 MiB, 46.00 W, 57
2026/09/18 00:38:32.435, 30 %, 1 %, 4434 MiB, 16384 MiB, 46.21 W, 57
2026/09/18 00:38:33.438, 15 %, 1 %, 4440 MiB, 16384 MiB, 60.67 W, 57
2026/09/18 00:38:34.440, 33 %, 1 %, 4448 MiB, 16384 MiB, 60.46 W, 57
2026/09/18 00:38:35.445, 52 %, 2 %, 4454 MiB, 16384 MiB, 60.79 W, 58
2026/09/18 00:38:36.447, 30 %, 1 %, 4462 MiB, 16384 MiB, 57.95 W, 58
2026/09/18 00:38:37.449, 10 %, 0 %, 4470 MiB, 16384 MiB, 59.44 W, 58
2026/09/18 00:38:38.451, 37 %, 2 %, 4478 MiB, 16384 MiB, 59.27 W, 58
2026/09/18 00:38:39.453, 31 %, 1 %, 4486 MiB, 16384 MiB, 57.75 W, 58
2026/09/18 00:38:40.456, 12 %, 0 %, 4492 MiB, 16384 MiB, 60.23 W, 58
2026/09/18 00:38:41.458, 37 %, 2 %, 4500 MiB, 16384 MiB, 59.49 W, 58
2026/09/18 00:38:42.460, 34 %, 1 %, 4508 MiB, 16384 MiB, 50.11 W, 57
2026/09/18 00:38:43.463, 12 %, 0 %, 4516 MiB, 16384 MiB, 60.30 W, 58
2026/09/18 00:38:44.465, 37 %, 2 %, 4524 MiB, 16384 MiB, 59.22 W, 58
2026/09/18 00:38:45.468, 34 %, 1 %, 4532 MiB, 16384 MiB, 50.19 W, 57
2026/09/18 00:38:46.472, 12 %, 0 %, 4538 MiB, 16384 MiB, 60.37 W, 58
2026/09/18 00:38:47.474, 37 %, 2 %, 4546 MiB, 16384 MiB, 59.75 W, 58
2026/09/18 00:38:48.476, 20 %, 1 %, 4552 MiB, 16384 MiB, 49.18 W, 57
2026/09/18 00:38:49.478, 0 %, 0 %, 4552 MiB, 16384 MiB, 46.30 W, 57
2026/09/18 00:38:50.480, 0 %, 0 %, 4552 MiB, 16384 MiB, 46.23 W, 57
2026/09/18 00:38:51.482, 0 %, 0 %, 6928 MiB, 16384 MiB, 46.22 W, 57
2026/09/18 00:38:52.485, 0 %, 0 %, 6928 MiB, 16384 MiB, 46.28 W, 57
2026/09/18 00:38:53.487, 0 %, 0 %, 6928 MiB, 16384 MiB, 47.07 W, 57
2026/09/18 00:38:54.489, 0 %, 0 %, 6928 MiB, 16384 MiB, 46.29 W, 57
2026/09/18 00:38:55.491, 0 %, 0 %, 6928 MiB, 16384 MiB, 57.33 W, 57
2026/09/18 00:38:56.493, 0 %, 0 %, 6928 MiB, 16384 MiB, 57.56 W, 57
2026/09/18 00:38:57.495, 0 %, 0 %, 6928 MiB, 16384 MiB, 46.13 W, 57
2026/09/18 00:38:58.498, 0 %, 0 %, 6928 MiB, 16384 MiB, 46.00 W, 57
2026/09/18 00:38:59.500, 0 %, 0 %, 6928 MiB, 16384 MiB, 46.01 W, 57
2026/09/18 00:39:00.503, 0 %, 0 %, 6928 MiB, 16384 MiB, 46.08 W, 57
2026/09/18 00:39:01.506, 0 %, 0 %, 6928 MiB, 16384 MiB, 46.12 W, 56
2026/09/18 00:39:02.510, 0 %, 0 %, 6928 MiB, 16384 MiB, 45.99 W, 56
2026/09/18 00:39:03.513, 0 %, 0 %, 6928 MiB, 16384 MiB, 45.88 W, 57
2026/09/18 00:39:04.516, 0 %, 0 %, 6928 MiB, 16384 MiB, 45.79 W, 56
2026/09/18 00:39:05.518, 0 %, 0 %, 6928 MiB, 16384 MiB, 45.96 W, 56
2026/09/18 00:39:06.521, 0 %, 0 %, 6928 MiB, 16384 MiB, 45.98 W, 56
2026/09/18 00:39:07.525, 0 %, 0 %, 6928 MiB, 16384 MiB, 45.70 W, 56
2026/09/18 00:39:08.528, 0 %, 0 %, 6928 MiB, 16384 MiB, 46.66 W, 56
2026/09/18 00:39:09.531, 0 %, 0 %, 6928 MiB, 16384 MiB, 46.95 W, 56
2026/09/18 00:39:10.534, 0 %, 0 %, 6928 MiB, 16384 MiB, 46.20 W, 56
2026/09/18 00:39:11.537, 0 %, 0 %, 6928 MiB, 16384 MiB, 14.81 W, 55
