timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/15 02:15:09.855, 0 %, 0 %, 15 MiB, 16384 MiB, 8.17 W, 50
2026/09/15 02:15:10.867, 0 %, 0 %, 15 MiB, 16384 MiB, 7.22 W, 50
2026/09/15 02:15:11.874, 0 %, 0 %, 15 MiB, 16384 MiB, 7.38 W, 50
2026/09/15 02:15:12.880, 0 %, 0 %, 15 MiB, 16384 MiB, 7.22 W, 50
2026/09/15 02:15:13.887, 0 %, 0 %, 15 MiB, 16384 MiB, 7.41 W, 50
2026/09/15 02:15:14.893, 0 %, 0 %, 15 MiB, 16384 MiB, 7.39 W, 49
2026/09/15 02:15:15.899, 0 %, 0 %, 15 MiB, 16384 MiB, 7.51 W, 49
2026/09/15 02:15:16.906, 0 %, 0 %, 15 MiB, 16384 MiB, 7.38 W, 49
2026/09/15 02:15:17.912, 0 %, 0 %, 15 MiB, 16384 MiB, 7.66 W, 49
2026/09/15 02:15:18.918, 0 %, 0 %, 15 MiB, 16384 MiB, 7.64 W, 49
2026/09/15 02:15:19.925, 0 %, 0 %, 15 MiB, 16384 MiB, 7.43 W, 49
2026/09/15 02:15:20.931, 0 %, 0 %, 28 MiB, 16384 MiB, 20.51 W, 50
2026/09/15 02:15:21.936, 1 %, 0 %, 312 MiB, 16384 MiB, 43.80 W, 51
2026/09/15 02:15:22.940, 6 %, 0 %, 4430 MiB, 16384 MiB, 44.47 W, 51
2026/09/15 02:15:23.944, 37 %, 2 %, 4438 MiB, 16384 MiB, 56.11 W, 52
2026/09/15 02:15:24.948, 32 %, 1 %, 4444 MiB, 16384 MiB, 54.49 W, 52
2026/09/15 02:15:25.952, 12 %, 0 %, 4452 MiB, 16384 MiB, 57.48 W, 52
2026/09/15 02:15:26.954, 37 %, 2 %, 4460 MiB, 16384 MiB, 56.46 W, 52
2026/09/15 02:15:27.956, 30 %, 1 %, 4468 MiB, 16384 MiB, 55.95 W, 52
2026/09/15 02:15:28.959, 21 %, 1 %, 4476 MiB, 16384 MiB, 46.94 W, 52
2026/09/15 02:15:29.961, 56 %, 2 %, 4484 MiB, 16384 MiB, 57.00 W, 52
2026/09/15 02:15:30.963, 30 %, 1 %, 4490 MiB, 16384 MiB, 55.65 W, 52
2026/09/15 02:15:31.967, 35 %, 1 %, 4498 MiB, 16384 MiB, 57.08 W, 53
2026/09/15 02:15:32.971, 47 %, 2 %, 4506 MiB, 16384 MiB, 51.56 W, 52
2026/09/15 02:15:33.973, 16 %, 1 %, 4516 MiB, 16384 MiB, 56.08 W, 53
2026/09/15 02:15:34.975, 37 %, 2 %, 4522 MiB, 16384 MiB, 56.31 W, 53
2026/09/15 02:15:35.978, 34 %, 1 %, 4530 MiB, 16384 MiB, 53.64 W, 53
2026/09/15 02:15:36.980, 12 %, 0 %, 4538 MiB, 16384 MiB, 56.85 W, 53
2026/09/15 02:15:37.983, 40 %, 2 %, 4546 MiB, 16384 MiB, 56.76 W, 53
2026/09/15 02:15:38.985, 19 %, 1 %, 4552 MiB, 16384 MiB, 55.85 W, 53
2026/09/15 02:15:39.987, 0 %, 0 %, 4552 MiB, 16384 MiB, 43.79 W, 52
2026/09/15 02:15:40.989, 0 %, 0 %, 4552 MiB, 16384 MiB, 43.91 W, 52
2026/09/15 02:15:41.992, 0 %, 0 %, 4552 MiB, 16384 MiB, 43.75 W, 52
2026/09/15 02:15:42.994, 0 %, 0 %, 6928 MiB, 16384 MiB, 43.49 W, 52
2026/09/15 02:15:43.996, 0 %, 0 %, 6928 MiB, 16384 MiB, 43.65 W, 52
2026/09/15 02:15:44.999, 0 %, 0 %, 6928 MiB, 16384 MiB, 43.98 W, 52
2026/09/15 02:15:46.001, 7 %, 0 %, 6928 MiB, 16384 MiB, 44.78 W, 52
2026/09/15 02:15:47.003, 0 %, 0 %, 6928 MiB, 16384 MiB, 55.65 W, 53
2026/09/15 02:15:48.006, 0 %, 0 %, 6928 MiB, 16384 MiB, 50.53 W, 52
2026/09/15 02:15:49.010, 0 %, 0 %, 6928 MiB, 16384 MiB, 43.50 W, 52
2026/09/15 02:15:50.012, 0 %, 0 %, 6928 MiB, 16384 MiB, 43.92 W, 52
2026/09/15 02:15:51.015, 0 %, 0 %, 6928 MiB, 16384 MiB, 43.79 W, 52
