Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
49.5,18398008139,479734,38350.4,25742.0,5751,111906113,620626.9,cuMemcpyPeerAsync
31.3,11642620602,324,35934014.2,6028895.5,5505,235712061,57278470.7,cudaEventSynchronize
18.0,6684676219,479734,13934.1,9351.0,1464,162769374,668769.2,cuStreamSynchronize
0.4,132962638,4983,26683.3,22801.0,5676,1156384,24602.7,cudaLaunchKernel
0.2,80708224,5655,14272.0,10870.0,3230,328522,13437.7,cudaMemcpyAsync
0.2,73199788,2572,28460.3,27934.5,5422,3060755,61362.4,cuLaunchKernelEx
0.2,59414059,2252,26382.8,18453.0,6532,14073116,296430.9,cudaMemsetAsync
0.2,59001383,2891,20408.6,18533.0,5345,302450,17368.1,cuLaunchKernel
0.1,21994726,12104,1817.1,1331.0,290,35962,1706.7,cudaStreamIsCapturing_v10000
0.0,13379182,1932,6925.0,6023.0,1941,163768,4610.5,cudaStreamWaitEvent
0.0,10758275,1969,5463.8,5215.0,1319,44440,2232.9,cudaEventRecordWithFlags_v11010
0.0,5909640,2891,2044.2,1864.0,551,20947,875.4,cuKernelGetFunction
0.0,5493398,984,5582.7,5460.5,1810,54478,2266.2,cudaEventCreateWithFlags
0.0,5026623,982,5118.8,3125.5,1031,881289,28097.6,cudaEventDestroy
0.0,225799,1,225799.0,225799.0,225799,225799,0.0,cudaMalloc
0.0,102045,14,7288.9,8483.0,2000,10124,3058.9,cudaEventQuery
0.0,10871,1,10871.0,10871.0,10871,10871,0.0,cuCtxSynchronize
