Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
44.6,3434037006,2891,1187837.1,1224474.0,339294,6845214,943706.5,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2_tn_align8>(T1::Params)
37.2,2867599112,960,2987082.4,1289114.0,326367,14041179,3684055.7,kernel_unified_attention
10.6,813384407,560,1452472.2,1834151.0,338334,3067889,992028.2,turing_fp16_s1688gemm_fp16_256x64_sliced1x2_ldg8_f2f_tn
5.4,417710782,160,2610692.4,2643123.0,2416468,2844018,115158.0,turing_fp16_s1688gemm_fp16_256x64_ldg8_f2f_stages_32x1_tn
0.6,42997102,80,537463.8,541133.0,523805,574174,8559.8,turing_fp16_s1688gemm_fp16_256x64_sliced1x2_ldg8_relu_f2f_tn
0.5,37968578,80,474607.2,478141.5,433342,556862,28054.1,turing_fp16_s1688gemm_fp16_128x64_sliced1x2_ldg8_relu_f2f_tn
0.5,36549454,80,456868.2,464510.0,426526,491550,19042.1,turing_fp16_s1688gemm_fp16_256x64_ldg8_relu_f2f_stages_32x1_tn
0.2,14768881,960,15384.3,7936.0,7616,79039,18418.8,"void vllm::act_and_mul_kernel<c10::Half, __half2, &vllm::silu_kernel<c10::Half>, &vllm::packed_silu_kernel<__half2>, (bool)1, (bool)1, (bool)0, (bool)0>(T1 *, const T1 *, int, float, float, float)"
0.1,11189201,1920,5827.7,3584.0,3264,33568,5845.4,"std::enable_if<T2>(int)0&&vllm::_typeConvert<T1>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::Half, (int)8, (bool)1>(T1 *, long, T1 *, const T1 *, float, int, int)"
0.1,7630165,640,11922.1,13216.0,6656,17920,2973.7,reduce_segments
0.1,6942718,1,6942718.0,6942718.0,6942718,6942718,0.0,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)"
0.1,6062027,960,6314.6,5344.0,3904,21472,3127.9,"void vllm::rotary_embedding_kernel<c10::Half, c10::Half, (bool)1>(const long *, T1 *, T1 *, const T2 *, int, long, long, long, int, int, int, long, bool)"
0.0,1876309,960,1954.5,1600.0,1536,5056,882.2,reshape_and_cache_kernel_flash
0.0,157696,12,13141.3,13168.0,7904,17568,4363.4,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
0.0,146368,12,12197.3,13440.0,3648,16960,5073.9,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
