wall_ns,read_MBps,write_MBps,read_lat_ms,write_lat_ms,inflight
1789620428121988477,17.4,0.0,0.11,0.00,0
1789620429371392538,15.6,0.1,0.09,1.50,0
1789620430612193134,28.2,0.0,0.11,0.00,0
1789620431873756698,0.6,0.0,0.08,0.00,0
1789620433144894991,24.4,1.1,0.20,0.03,0
1789620434383057260,3.6,0.1,0.12,8.50,0
1789620435645506407,6.2,0.0,0.38,0.00,0
1789620436887206409,0.0,0.0,0.00,0.00,0
1789620438143225667,4.2,0.0,0.10,0.00,0
1789620439384686483,10.8,0.1,0.11,1.50,0
1789620440632829118,77.7,0.0,0.13,0.00,0
1789620441890579984,11.0,0.0,0.24,0.00,0
1789620443154867050,0.4,0.0,0.27,0.00,0
1789620444422814153,0.4,1.3,0.38,0.36,0
1789620445690909504,0.2,0.0,0.28,0.00,0
1789620446949113297,0.2,0.0,0.32,0.00,0
1789620448193691137,0.3,0.0,0.36,0.00,0
1789620449457179650,0.2,3.6,0.58,0.09,0
1789620450719650256,0.1,0.0,0.97,0.00,0
1789620451993449940,0.1,0.0,0.89,0.00,0
1789620453237695625,0.1,0.0,0.41,0.00,0
1789620454504783125,0.1,2.2,0.08,0.45,0
1789620455775118637,0.1,0.0,0.53,0.00,0
1789620457031832863,0.1,0.0,0.55,0.00,0
1789620458290901831,0.1,0.0,0.76,0.00,0
1789620459543459911,0.1,1.6,0.66,0.24,0
1789620460799455105,0.0,0.0,0.00,0.00,0
1789620462048722068,0.1,0.0,1.50,0.00,0
1789620463314314042,0.0,0.0,1.67,0.00,0
1789620464578495830,0.0,1.5,0.33,0.58,0
1789620465840939250,0.2,0.0,2.73,0.00,0
1789620467092771849,0.0,0.0,7.50,0.00,0
1789620468363531634,0.2,0.0,0.88,0.00,0
1789620469621093572,130.6,1.5,6.23,0.27,31
1789620470883250023,1152.8,0.0,6.80,0.00,32
1789620472140687681,666.6,0.0,6.84,0.00,34
1789620473415533922,1040.0,0.0,6.57,0.00,33
1789620474698716153,1100.2,33.7,6.21,5.12,27
1789620475976547235,1163.6,4.3,6.20,7.67,35
1789620477264004188,1081.3,0.0,6.58,0.00,33
1789620478560078674,1167.8,0.0,6.30,0.00,29
1789620479851421270,895.5,153.8,7.30,6.16,19
1789620481131430693,866.2,221.0,8.37,7.58,34
1789620482419478418,1094.7,138.4,7.33,7.64,38
1789620483709503593,1104.9,116.3,6.54,5.76,16
1789620484971627981,946.2,233.8,6.22,4.62,33
1789620486257833362,1029.2,192.3,6.88,1.89,34
1789620487638018912,1053.9,335.6,7.32,7.58,0
1789620488902887480,954.3,363.7,7.27,5.09,37
1789620490211012279,1083.5,164.6,6.60,6.28,27
1789620491490340321,929.5,571.5,7.52,8.74,0
1789620492750145157,894.7,434.7,7.50,4.24,36
1789620494028086428,1097.5,135.8,7.15,6.40,30
1789620495364696159,818.4,188.3,7.80,4.64,34
1789620496631544039,877.5,124.3,8.53,7.42,35
1789620497910624032,881.6,134.1,9.05,8.46,36
1789620499197979655,886.1,135.5,8.86,7.40,35
1789620500481431352,899.1,147.7,7.56,3.13,36
1789620501766663208,844.8,167.1,7.90,5.62,22
1789620503046154077,486.9,347.0,10.03,6.44,2
1789620504319765045,696.2,248.0,9.24,4.95,32
1789620505612869555,722.1,194.9,9.48,4.57,38
1789620506897327407,891.5,133.0,9.14,7.85,32
1789620508215173379,828.3,163.6,8.77,6.32,20
1789620509548476155,496.0,352.8,8.98,6.09,25
1789620510838644755,364.7,405.5,9.96,3.52,23
1789620512094120686,802.8,141.3,10.29,9.99,35
1789620513378645271,856.3,140.6,9.37,7.96,33
1789620514659397105,896.4,126.5,8.95,7.13,31
1789620515935332408,656.1,239.3,7.91,3.41,3
1789620517205776595,472.9,339.2,8.58,3.84,12
1789620518481902457,579.1,271.8,8.54,4.04,35
1789620519765683075,893.5,113.5,9.00,7.44,36
1789620521029617806,723.7,193.2,9.25,2.52,34
1789620522317438177,843.1,130.2,9.81,7.99,37
1789620523595131776,864.0,123.8,9.59,8.18,36
1789620524870037846,830.0,155.2,8.39,5.32,26
1789620526141122693,421.5,365.6,9.37,5.98,37
1789620527426562112,736.0,202.2,8.85,4.97,33
1789620528711610739,835.0,118.4,9.66,7.07,34
1789620529976930534,866.2,123.6,9.25,7.34,34
1789620531243557320,727.5,196.8,9.09,4.22,33
1789620532520805181,521.5,329.6,8.52,4.12,12
1789620533796573857,436.3,377.2,8.10,3.37,23
1789620535067253906,670.3,227.6,9.27,4.56,34
1789620536347881638,834.2,135.2,9.38,7.36,34
1789620537618114385,785.2,158.2,8.96,4.59,34
1789620538880554436,853.2,111.8,8.86,3.90,28
1789620540143719086,508.6,293.7,7.70,4.12,16
1789620541419825999,439.3,349.2,7.95,3.78,8
1789620542696927734,632.3,234.8,10.00,5.45,34
1789620543957457704,902.5,120.4,9.11,7.97,33
1789620545239535216,995.5,97.8,8.11,5.30,32
1789620546510749712,641.4,246.7,8.05,4.27,30
1789620547772792327,440.7,394.1,7.64,3.51,0
1789620549030728111,584.7,293.0,9.12,4.60,36
1789620550315668911,876.6,136.1,9.28,7.38,19
1789620551589991049,862.8,131.0,9.25,7.50,35
1789620552863398764,666.1,206.2,9.69,4.78,25
1789620554129293781,621.1,234.2,8.50,4.92,5
1789620555401844464,450.6,322.6,8.51,3.49,5
1789620556674767078,530.5,279.7,9.08,2.41,34
1789620557957188408,813.7,116.6,9.82,7.47,33
1789620559246500852,721.6,163.1,9.34,5.62,37
1789620560541615977,856.0,119.3,9.64,8.16,36
1789620561823246569,830.4,119.0,9.92,8.21,31
1789620563105365469,809.0,122.5,8.80,5.68,12
1789620564378432721,518.2,260.3,9.10,3.89,32
1789620565648422276,411.9,339.4,8.80,3.25,35
1789620566913332595,904.7,105.8,9.09,7.76,34
1789620568196503580,890.7,107.2,8.79,7.03,34
1789620569476645297,770.6,158.2,8.88,4.70,35
1789620570762750449,560.2,280.4,7.88,3.12,12
1789620572043723929,436.7,286.2,9.63,2.86,26
1789620573326151649,430.4,308.4,8.30,2.99,34
1789620574620941373,820.9,116.5,10.06,8.34,37
1789620575901936365,673.4,163.0,9.88,3.77,34
1789620577189055909,907.7,89.0,8.83,6.75,0
1789620578461813251,559.3,254.6,8.52,4.05,11
1789620579724980617,432.5,303.0,8.53,2.89,4
1789620581010114750,405.6,349.4,8.42,2.72,31
1789620582287355960,617.0,211.4,10.28,4.25,0
1789620583574435204,812.4,117.9,10.10,8.15,37
1789620584859668025,851.5,103.9,9.74,8.05,33
1789620586142785131,671.8,171.6,9.03,5.64,12
1789620587415992661,438.0,249.8,9.56,3.85,37
1789620588717647884,429.3,338.3,8.97,3.94,14
1789620589996232129,669.0,211.4,9.52,5.32,34
1789620591289063682,846.6,129.0,9.27,7.31,34
1789620592571481596,865.9,149.0,8.31,4.30,1
1789620593835541492,687.4,264.2,8.33,6.02,42
1789620595118590623,481.9,331.7,9.26,3.67,10
1789620596394561706,411.7,306.2,9.46,3.18,40
1789620597674490202,730.8,148.2,9.71,6.13,34
1789620598995408390,754.9,185.5,9.14,4.98,37
1789620600271372279,873.3,114.4,9.40,7.92,32
1789620601560300527,781.6,115.5,9.98,7.53,34
1789620602840299687,840.7,89.7,9.38,4.51,31
1789620604118594927,614.4,176.5,10.13,5.06,31
1789620605391482155,435.9,266.8,9.20,3.57,4
1789620606676590489,494.7,290.6,9.24,3.06,34
1789620607959789744,972.3,104.0,8.12,4.21,20
1789620609241267178,771.9,182.9,8.79,4.53,36
1789620610512866936,345.6,67.2,8.43,3.49,10
1789620613590928236,297.8,1201.0,10.05,0.39,14
1789620614873159571,212.6,415.5,7.78,1.30,4
1789620616138910007,117.2,497.1,10.07,0.41,17
1789620617405826620,291.3,446.6,8.98,1.94,27
1789620618671820787,638.6,256.4,11.74,13.65,37
1789620619938631110,732.8,172.4,9.46,4.36,36
1789620621224550305,878.5,116.5,9.33,7.66,31
1789620622505087982,860.2,120.2,8.80,7.37,31
1789620623783647820,802.9,117.7,9.35,7.23,16
1789620625124219235,653.8,194.7,9.95,4.44,34
1789620626422888154,814.4,121.8,9.75,7.78,36
1789620627709809950,873.0,92.4,9.18,7.54,36
1789620628991141434,699.7,165.3,9.31,5.16,0
1789620630255259800,725.6,118.8,10.09,7.33,19
1789620631532150568,703.0,155.1,9.73,4.26,33
