#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260917    13:47:07       0      7     45      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0     12      0 
 20260917    13:47:08       0      7     45      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260917    13:47:09       0      7     45      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260917    13:47:10       0      7     45      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260917    13:47:11       0      7     45      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260917    13:47:12       0      7     45      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260917    13:47:13       0      7     45      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260917    13:47:14       0      7     44      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260917    13:47:15       0      7     44      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260917    13:47:16       0      7     44      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260917    13:47:17       0      7     44      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260917    13:47:18       0      8     44      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260917    13:47:19       0     42     46      -      0      0      0      0      0      0   6500   1620      0      0    162      7      0      -      -      0      0      0 
 20260917    13:47:20       0     46     47      -      1      0      0      0      0      0   6500   1620      0      0    370      9      0      -      -      0     26     36 
 20260917    13:47:21       0     41     47      -     16      1      0      0      0      0   6500   1620      0      0   4394      7      0      -      -      0      0      0 
 20260917    13:47:23       0     43     47      -     37      1      0      0      0      0   6500   1635      0      0   4402      7      0      -      -      0      0      0 
 20260917    13:47:24       0     56     48      -     40      2      0      0      0      0   6500   1935      0      0   4408      7      0      -      -      0      0      0 
 20260917    13:47:25       0     55     48      -     18      1      0      0      0      0   6500   1935      0      0   4416      7      0      -      -      0      1   6376 
 20260917    13:47:26       0     50     48      -     37      1      0      0      0      0   6500   1830      0      0   4424      7      0      -      -      0      0      3 
