wall_ns,read_MBps,write_MBps,read_lat_ms,write_lat_ms,inflight
1789670967968458451,16.8,1.8,0.10,0.09,0
1789670968979500299,19.5,0.0,0.09,0.00,0
1789670969990345393,42.4,0.0,0.11,0.00,0
1789670971000959239,1.5,0.0,0.18,0.00,0
1789670972013019941,0.0,0.0,0.00,0.00,0
1789670973025347343,35.5,3.2,0.17,0.06,0
1789670974036575141,6.8,0.0,0.45,0.00,0
1789670975049548851,1.0,0.0,0.29,0.00,0
1789670976060306088,0.0,0.0,0.00,0.00,0
1789670977071069906,0.1,0.0,3.50,0.00,1
1789670978083392437,9.7,0.5,0.08,0.08,0
1789670979094532443,81.4,0.0,0.14,0.00,0
1789670980105290451,13.0,0.0,0.16,0.00,0
1789670981116349137,6.0,0.0,0.17,0.00,0
1789670982128650999,0.0,0.0,0.00,0.00,0
1789670983140408749,0.0,0.8,0.00,0.37,0
1789670984153753212,0.0,0.0,0.00,0.00,0
1789670985167966870,0.0,0.0,0.00,0.00,0
1789670986179868786,0.0,0.0,0.00,0.00,0
1789670987193202496,0.0,0.0,0.00,0.00,0
1789670988205176311,0.0,0.7,0.00,0.41,0
1789670989216846215,0.0,0.0,0.00,0.00,0
1789670990228462489,0.0,0.0,0.00,0.00,0
1789670991240588344,0.0,0.0,0.00,0.00,0
1789670992252199122,0.0,0.0,0.00,0.00,0
1789670993263611100,0.0,0.6,0.00,3.25,0
1789670994274619218,0.0,0.0,0.00,0.00,0
1789670995288269253,0.0,0.0,0.00,0.00,0
1789670996301472616,0.0,0.0,0.00,0.00,0
1789670997313231700,0.0,0.0,0.00,0.00,0
1789670998327574708,0.0,0.6,0.00,3.51,0
1789670999338762386,0.0,0.0,0.00,0.00,0
1789671000350726098,0.0,0.0,0.00,0.00,0
1789671001362095686,0.0,0.0,0.00,0.00,0
1789671002375486460,0.0,0.0,0.00,0.00,0
1789671003389324051,0.0,0.1,0.00,8.50,0
1789671004400942743,0.3,0.5,1.00,1.39,0
1789671005413789813,12.4,0.0,2.76,1.00,30
1789671006429692727,1292.3,0.0,6.64,0.00,33
1789671007441815656,1042.4,0.0,6.87,0.00,0
1789671008453321444,1063.1,0.2,5.86,17.00,33
1789671009465736395,1212.2,0.5,6.26,4.59,36
1789671010477962952,1273.4,0.0,6.37,0.00,36
1789671011489728735,1414.5,0.0,5.73,0.00,0
1789671012501300130,1313.2,0.0,6.19,0.00,37
1789671013513309862,1299.7,0.1,6.27,13.50,40
1789671014525051542,1137.1,296.7,6.45,3.75,37
1789671015537239960,1292.1,196.5,6.53,5.53,36
1789671016549173718,1264.8,197.6,6.73,5.73,38
1789671017561130573,1139.4,264.8,6.32,3.26,35
1789671018573701740,1159.5,189.2,7.20,6.27,36
1789671019605092826,1258.8,207.4,6.61,5.37,32
1789671020634041813,1213.7,225.7,6.69,5.30,0
1789671021647448210,1144.6,392.7,6.62,3.84,39
1789671022659176244,1202.0,213.5,6.78,5.24,35
1789671023670958164,1174.6,236.9,6.46,4.04,36
1789671024683349247,1108.4,376.5,6.63,3.02,37
1789671025695108787,1271.2,220.1,6.43,5.13,33
1789671026708007316,1269.2,218.2,6.39,5.16,36
1789671027721242300,1030.7,318.7,7.20,3.56,35
1789671028748446978,1206.5,171.5,6.94,4.52,36
1789671029760319617,1249.0,157.7,6.62,2.97,36
1789671030772569611,793.3,222.8,9.00,4.53,37
1789671031784466235,921.4,160.0,9.08,6.78,38
1789671032796696224,812.8,146.2,10.19,7.15,37
1789671033807708826,746.6,196.8,10.19,5.79,37
1789671034819051147,899.9,160.1,9.21,6.70,37
1789671035830568267,699.5,169.4,10.70,6.00,37
1789671036842745574,912.5,148.2,9.39,7.41,36
1789671037854615639,847.2,142.9,9.53,4.86,37
1789671038865967756,678.0,188.4,10.46,5.86,28
1789671039876980883,492.4,282.0,10.34,3.82,28
1789671040888758848,535.4,276.9,10.42,4.03,36
1789671041900425378,871.2,137.4,9.64,6.99,37
1789671042913122223,906.8,121.6,8.76,4.06,37
1789671043924390872,890.8,114.8,9.58,7.18,10
1789671044936315268,571.5,271.0,9.16,3.32,2
1789671045947114987,510.0,271.5,11.39,4.41,26
1789671046958932316,393.1,347.9,12.35,3.01,36
1789671047970242796,375.6,364.3,12.87,2.70,26
1789671048981430368,742.0,224.4,9.55,2.92,36
1789671049992605994,939.4,159.8,8.74,6.39,37
1789671051004750918,810.5,236.0,8.50,4.61,23
1789671052015599592,941.9,145.4,8.99,6.84,37
1789671053026506549,1011.5,153.2,8.46,6.95,36
1789671054038289757,855.8,228.3,8.17,5.24,29
1789671055050204180,551.0,287.2,9.52,3.62,21
1789671056061440294,407.4,346.2,9.47,2.41,1
1789671057086831327,448.3,394.7,10.47,2.67,14
1789671058097815665,878.3,134.4,9.64,7.75,36
