#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260918    03:49:27       0      7     50      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260918    03:49:28       0      8     50      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260918    03:49:29       0      7     50      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260918    03:49:30       0      7     50      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260918    03:49:31       0      7     50      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260918    03:49:32       0      7     50      -      1      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260918    03:49:33       0      7     50      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260918    03:49:34       0      7     50      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260918    03:49:35       0      7     49      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260918    03:49:36       0      7     49      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260918    03:49:37       0      9     49      -      0      0      0      0      0      0    405    300      0      0     18      5      0      -      -      0      0      0 
 20260918    03:49:38       0     43     51      -      0      0      0      0      0      0   6500   1620      0      0    134      7      0      -      -      0      0      0 
 20260918    03:49:39       0     44     51      -      0      0      0      0      0      0   6500   1620      0      0    238      7      0      -      -      0      0      0 
 20260918    03:49:40       0     52     52      -     12      0      0      0      0      0   6500   1860      0      0   4370      7      0      -      -      0      0      0 
 20260918    03:49:42       0     57     53      -     37      2      0      0      0      0   6500   1920      0      0   4376      7      0      -      -      0     36   1628 
 20260918    03:49:43       0     56     53      -     50      2      0      0      0      0   6500   1920      0      0   4384      7      0      -      -      0      6      0 
 20260918    03:49:44       0     58     53      -     37      2      0      0      0      0   6500   1920      0      0   4392      7      0      -      -      0    110  14225 
 20260918    03:49:45       0     48     53      -     44      2      0      0      0      0   6500   1845      0      0   4400      7      0      -      -      0      0      0 
 20260918    03:49:46       0     58     53      -     27      1      0      0      0      0   6500   1920      0      0   4408      7      0      -      -      0      0      0 
 20260918    03:49:47       0     57     53      -     37      2      0      0      0      0   6500   1920      0      0   4416      7      0      -      -      0      0      0 
 20260918    03:49:48       0     54     53      -      9      0      0      0      0      0   6500   1875      0      0   4424      7      0      -      -      0      0    579 
 20260918    03:49:49       0     57     53      -     38      1      0      0      0      0   6500   1920      0      0   4432      7      0      -      -      0     19      0 
 20260918    03:49:50       0     56     53      -     30      1      0      0      0      0   6500   1920      0      0   4442      7      0      -      -      0      0  14315 
 20260918    03:49:51       0     44     53      -     46      2      0      0      0      0   6500   1905      0      0   4450      7      0      -      -      0     22   7212 
 20260918    03:49:52       0     56     54      -     25      1      0      0      0      0   6500   1920      0      0   4458      7      0      -      -      0      0  14298 
 20260918    03:49:53       0     58     54      -     37      2      0      0      0      0   6500   1920      0      0   4466      7      0      -      -      0      0   5594 
 20260918    03:49:54       0     56     54      -     46      2      0      0      0      0   6500   1920      0      0   4474      7      0      -      -      0     16  14282 
 20260918    03:49:55       0     57     54      -     38      2      0      0      0      0   6500   1920      0      0   4482      7      0      -      -      0      1   6055 
 20260918    03:49:56       0     57     54      -     30      1      0      0      0      0   6500   1920      0      0   4488      7      0      -      -      0      0   7058 
 20260918    03:49:57       0     46     53      -     22      1      0      0      0      0   6500   1665      0      0   4498      7      0      -      -      0      0      0 
 20260918    03:49:58       0     57     54      -     52      2      0      0      0      0   6500   1920      0      0   4506      7      0      -      -      0      0      0 
 20260918    03:49:59       0     56     54      -     11      0      0      0      0      0   6500   1920      0      0   4514      7      0      -      -      0      0      0 
 20260918    03:50:01       0     58     54      -     38      2      0      0      0      0   6500   1920      0      0   4522      7      0      -      -      0      0      0 
 20260918    03:50:02       0     58     54      -     41      2      0      0      0      0   6500   1920      0      0   4528      7      0      -      -      0      0      0 
 20260918    03:50:03       0     57     54      -     30      1      0      0      0      0   6500   1920      0      0   4536      7      0      -      -      0      0   6802 
 20260918    03:50:04       0     58     54      -     38      2      0      0      0      0   6500   1920      0      0   4544      7      0      -      -      0    106  14171 
 20260918    03:50:05       0     56     55      -      0      0      0      0      0      0   6500   1920      0      0   6920      7      0      -      -      0      0      0 
 20260918    03:50:06       0     45     54      -      0      0      0      0      0      0   6500   1620      0      0   6920      7      0      -      -      0      0      0 
 20260918    03:50:07       0     45     54      -      0      0      0      0      0      0   6500   1620      0      0   6920      7      0      -      -      0   8141    932 
 20260918    03:50:08       0     57     54      -      0      0      0      0      0      0   6500   1920      0      0   6920      7      0      -      -      0      0      0 
 20260918    03:50:09       0     53     54      -      0      0      0      0      0      0   6500   1620      0      0   6920      7      0      -      -      0      0      0 
 20260918    03:50:10       0     45     54      -      0      0      0      0      0      0   6500   1620      0      0   6920      7      0      -      -      0      0      0 
 20260918    03:50:11       0     44     54      -      0      0      0      0      0      0   6500   1620      0      0   6920      7      0      -      -      0      0      0 
 20260918    03:50:12       0     45     54      -      0      0      0      0      0      0   6500   1620      0      0   6920      7      0      -      -      0      0      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260918    03:50:13       0     44     54      -      0      0      0      0      0      0   6500   1620      0      0   6920      7      0      -      -      0      0      0 
 20260918    03:50:14       0     44     54      -      0      0      0      0      0      0   6500   1620      0      0   6920      7      0      -      -      0      0      0 
 20260918    03:50:15       0     45     54      -      0      0      0      0      0      0   6500   1620      0      0   6920      7      0      -      -      0      0      0 
 20260918    03:50:16       0     44     54      -      0      0      0      0      0      0   6500   1620      0      0   6920      7      0      -      -      0      0      0 
 20260918    03:50:17       0     44     54      -      0      0      0      0      0      0   6500   1620      0      0   6920      7      0      -      -      0      0      0 
 20260918    03:50:18       0     45     54      -      0      0      0      0      0      0   6500   1620      0      0   6920      7      0      -      -      0      0      0 
 20260918    03:50:20       0     44     54      -      0      0      0      0      0      0   6500   1620      0      0   6920      7      0      -      -      0      0      0 
 20260918    03:50:21       0     45     54      -      0      0      0      0      0      0   6500   1620      0      0   6920      7      0      -      -      0      0      0 
 20260918    03:50:22       0     44     54      -      0      0      0      0      0      0   6500   1620      0      0   6920      7      0      -      -      0      0      0 
 20260918    03:50:23       0     45     54      -      0      0      0      0      0      0   6500   1620      0      0   6920      7      0      -      -      0      6      6 
 20260918    03:50:24       0      9     53      -      0      0      0      0      0      0    405    375      0      0   6920      7      0      -      -      0      0      0 
 20260918    03:50:25       0      9     52      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      0      0 
 20260918    03:50:26       0      9     52      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      0      0 
 20260918    03:50:27       0      9     52      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      0      0 
 20260918    03:50:28       0      9     52      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      0      0 
 20260918    03:50:29       0      7     51      -      1      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      1      0 
 20260918    03:50:30       0      7     51      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      1      1 
 20260918    03:50:31       0      7     51      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      1      1 
 20260918    03:50:32       0      7     51      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      1      1 
 20260918    03:50:33       0      7     51      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      1      1 
 20260918    03:50:35       0      7     51      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      1      1 
 20260918    03:50:36       0      7     50      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      1      1 
 20260918    03:50:37       0      7     50      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      0      1 
 20260918    03:50:38       0      8     50      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      1      1 
 20260918    03:50:39       0      7     50      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      1      1 
 20260918    03:50:40       0      7     50      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      2      1 
 20260918    03:50:41       0      7     50      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      1      1 
 20260918    03:50:42       0      7     50      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      0      1 
 20260918    03:50:43       0      7     49      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      2      1 
 20260918    03:50:45       0      7     49      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      4      1 
 20260918    03:50:46       0      7     49      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      2      1 
 20260918    03:50:47       0      7     49      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      1      1 
 20260918    03:50:48       0      7     49      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0     12      1 
 20260918    03:50:49       0      8     49      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      2      1 
 20260918    03:50:50       0      7     49      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      1      1 
 20260918    03:50:51       0      7     49      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      0      1 
 20260918    03:50:52       0      7     49      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      1      1 
 20260918    03:50:53       0      7     49      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      0      1 
 20260918    03:50:54       0      7     49      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      2      1 
 20260918    03:50:56       0      7     48      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      0      1 
 20260918    03:50:57       0      7     48      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      1      1 
 20260918    03:50:58       0      7     48      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      1      1 
 20260918    03:50:59       0      7     48      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      6      5 
 20260918    03:51:00       0      7     48      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      1      1 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260918    03:51:01       0      8     48      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      0      1 
 20260918    03:51:02       0      7     48      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      3      2 
 20260918    03:51:03       0      7     48      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      1      1 
 20260918    03:51:04       0      7     48      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      1      1 
 20260918    03:51:05       0      7     48      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      0      1 
 20260918    03:51:07       0      7     47      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      0      1 
 20260918    03:51:08       0      7     47      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      1      1 
 20260918    03:51:09       0      7     47      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      1      1 
 20260918    03:51:10       0      7     47      -      0      0      0      0      0      0    405    300      0      0   6920      7      0      -      -      0      0     15 
