Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
79.8,140235796371,640,219118431.8,120545839.5,1934167,657067134,239775983.8,kernel_unified_attention
11.8,20682896695,720,28726245.4,25844842.5,5755940,55668906,21303013.0,turing_fp16_s1688gemm_fp16_256x128_ldg8_f2f_tn
5.2,9086638359,240,37860993.2,37837579.0,33722331,43143455,1535571.7,turing_fp16_s1688gemm_fp16_128x256_ldg8_f2f_tn
1.7,2929879036,320,9155872.0,9488662.0,7410978,10204350,744410.9,turing_fp16_s1688gemm_fp16_256x128_ldg8_relu_f2f_tn
0.9,1535625773,1287,1193182.4,1227014.0,340921,6846959,961957.3,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2_tn_align8>(T1::Params)
0.3,586679044,640,916686.0,796463.5,7680,1960306,914711.0,"void vllm::act_and_mul_kernel<c10::Half, __half2, &vllm::silu_kernel<c10::Half>, &vllm::packed_silu_kernel<__half2>, (bool)1, (bool)1, (bool)0, (bool)0>(T1 *, const T1 *, int, float, float, float)"
0.3,492479819,1280,384749.9,330169.0,3328,834765,383612.1,"std::enable_if<T2>(int)0&&vllm::_typeConvert<T1>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::Half, (int)8, (bool)1>(T1 *, long, T1 *, const T1 *, float, int, int)"
0.1,141731192,640,221455.0,187772.0,4992,470678,217442.0,"void vllm::rotary_embedding_kernel<c10::Half, c10::Half, (bool)1>(const long *, T1 *, T1 *, const T2 *, int, long, long, long, int, int, int, long, bool)"
0.0,34598052,640,54059.5,45215.0,1567,117661,52792.2,reshape_and_cache_kernel_flash
0.0,6913506,1,6913506.0,6913506.0,6913506,6913506,0.0,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)"
0.0,3322155,320,10381.7,10368.0,9472,13567,530.8,reduce_segments
