Start (ns),End (ns),Duration (ns),DurChild (ns),DurNonChild (ns),Name,PID,TID,Lvl,NumChild,RangeId,ParentId,RangeStack,NameTree
34968584,253267954983,253232986399,252628233091,604753308,:phase:cold_fill,1246522,1246522,0,8,14,,:14,:phase:cold_fill
139688745,33901497337,33761808592,21605336,33740203256,:step:cold_fill #0 running=8,1246522,1246522,1,460,23,14,:14:23,--:step:cold_fill #0 running=8
572675883,572771893,96010,0,96010,:weight_h2d L2 160MiB,1246522,1246522,2,0,26,23,:14:23:26,----:weight_h2d L2 160MiB
572801892,572842932,41040,0,41040,:weight_h2d L2 0MiB,1246522,1246522,2,0,27,23,:14:23:27,----:weight_h2d L2 0MiB
572866436,572901734,35298,0,35298,:weight_h2d L2 128MiB,1246522,1246522,2,0,28,23,:14:23:28,----:weight_h2d L2 128MiB
572923942,572957334,33392,0,33392,:weight_h2d L2 924MiB,1246522,1246522,2,0,29,23,:14:23:29,----:weight_h2d L2 924MiB
572979532,573024082,44550,0,44550,:weight_h2d L2 462MiB,1246522,1246522,2,0,30,23,:14:23:30,----:weight_h2d L2 462MiB
573046066,573079184,33118,0,33118,:weight_h2d L2 0MiB,1246522,1246522,2,0,31,23,:14:23:31,----:weight_h2d L2 0MiB
573099529,573131954,32425,0,32425,:weight_h2d L2 0MiB,1246522,1246522,2,0,32,23,:14:23:32,----:weight_h2d L2 0MiB
576969503,577038978,69475,0,69475,:weight_h2d L3 160MiB,1246522,1246522,2,0,35,23,:14:23:35,----:weight_h2d L3 160MiB
577066980,577107074,40094,0,40094,:weight_h2d L3 0MiB,1246522,1246522,2,0,36,23,:14:23:36,----:weight_h2d L3 0MiB
577129289,577165005,35716,0,35716,:weight_h2d L3 128MiB,1246522,1246522,2,0,37,23,:14:23:37,----:weight_h2d L3 128MiB
577185097,577218751,33654,0,33654,:weight_h2d L3 924MiB,1246522,1246522,2,0,38,23,:14:23:38,----:weight_h2d L3 924MiB
577238685,577271654,32969,0,32969,:weight_h2d L3 462MiB,1246522,1246522,2,0,39,23,:14:23:39,----:weight_h2d L3 462MiB
577302168,577336616,34448,0,34448,:weight_h2d L3 0MiB,1246522,1246522,2,0,40,23,:14:23:40,----:weight_h2d L3 0MiB
577356920,577390280,33360,0,33360,:weight_h2d L3 0MiB,1246522,1246522,2,0,41,23,:14:23:41,----:weight_h2d L3 0MiB
580387857,580455437,67580,0,67580,:weight_h2d L4 0MiB,1246522,1246522,2,0,44,23,:14:23:44,----:weight_h2d L4 0MiB
580484896,580524374,39478,0,39478,:weight_h2d L4 0MiB,1246522,1246522,2,0,45,23,:14:23:45,----:weight_h2d L4 0MiB
580559289,580595333,36044,0,36044,:weight_h2d L4 0MiB,1246522,1246522,2,0,46,23,:14:23:46,----:weight_h2d L4 0MiB
583534755,583600905,66150,0,66150,:weight_h2d L5 160MiB,1246522,1246522,2,0,49,23,:14:23:49,----:weight_h2d L5 160MiB
583628196,583667377,39181,0,39181,:weight_h2d L5 0MiB,1246522,1246522,2,0,50,23,:14:23:50,----:weight_h2d L5 0MiB
583701731,583738490,36759,0,36759,:weight_h2d L5 128MiB,1246522,1246522,2,0,51,23,:14:23:51,----:weight_h2d L5 128MiB
583760201,583793606,33405,0,33405,:weight_h2d L5 924MiB,1246522,1246522,2,0,52,23,:14:23:52,----:weight_h2d L5 924MiB
583813909,583846510,32601,0,32601,:weight_h2d L5 462MiB,1246522,1246522,2,0,53,23,:14:23:53,----:weight_h2d L5 462MiB
583866113,583899510,33397,0,33397,:weight_h2d L5 0MiB,1246522,1246522,2,0,54,23,:14:23:54,----:weight_h2d L5 0MiB
583921306,583954604,33298,0,33298,:weight_h2d L5 0MiB,1246522,1246522,2,0,55,23,:14:23:55,----:weight_h2d L5 0MiB
1305942389,1398289240,92346851,92253593,93258,:weight_ssd_read layer004/self_attn.qkv_proj.weight.bin 160MiB,1246522,1258195,0,1,57,,:57,:weight_ssd_read layer004/self_attn.qkv_proj.weight.bin 160MiB
1306010920,1398264513,92253593,91873961,379632,:cuFileRead,1246522,1258195,1,1,60,57,:57:60,--:cuFileRead
1306053257,1397927218,91873961,0,91873961,:cuFileHandleNVFS,1246522,1258195,2,0,63,60,:57:60:63,----:cuFileHandleNVFS
1306058862,1395065394,89006532,0,89006532,:cuFileHandleNVFS,1246522,1247446,0,0,66,,:66,:cuFileHandleNVFS
1306081629,1451271296,145189667,145121266,68401,:weight_ssd_read layer004/self_attn.o_proj.weight.bin 128MiB,1246522,1258197,0,1,67,,:67,:weight_ssd_read layer004/self_attn.o_proj.weight.bin 128MiB
1306120936,1451242202,145121266,74741713,70379553,:cuFileRead,1246522,1258197,1,1,70,67,:67:70,--:cuFileRead
1306171023,1398233664,92062641,0,92062641,:cuFileHandleNVFS,1246522,1247444,0,0,74,,:74,:cuFileHandleNVFS
1306173221,1380914934,74741713,0,74741713,:cuFileHandleNVFS,1246522,1258197,2,0,78,70,:67:70:78,----:cuFileHandleNVFS
1306173522,1381122544,74949022,0,74949022,:cuFileHandleNVFS,1246522,1247445,0,0,79,,:79,:cuFileHandleNVFS
1306186209,1395705532,89519323,0,89519323,:cuFileHandleNVFS,1246522,1247447,0,0,82,,:82,:cuFileHandleNVFS
1306197673,1769429059,463231386,463154281,77105,:weight_ssd_read layer004/mlp.gate_up_proj.weight.bin 924MiB,1246522,1258194,0,1,83,,:83,:weight_ssd_read layer004/mlp.gate_up_proj.weight.bin 924MiB
1306235925,1769390206,463154281,390285929,72868352,:cuFileRead,1246522,1258194,1,1,86,83,:83:86,--:cuFileRead
1306278464,1696564393,390285929,0,390285929,:cuFileHandleNVFS,1246522,1258194,2,0,89,86,:83:86:89,----:cuFileHandleNVFS
1306302151,1813942450,507640299,507569552,70747,:weight_ssd_read layer004/mlp.down_proj.weight.bin 462MiB,1246522,1258196,0,1,90,,:90,:weight_ssd_read layer004/mlp.down_proj.weight.bin 462MiB
1306340083,1813909635,507569552,222163565,285405987,:cuFileRead,1246522,1258196,1,1,93,90,:90:93,--:cuFileRead
1306382542,1528546107,222163565,0,222163565,:cuFileHandleNVFS,1246522,1258196,2,0,96,93,:90:93:96,----:cuFileHandleNVFS
1381150600,1441994855,60844255,0,60844255,:cuFileHandleNVFS,1246522,1247445,0,0,99,,:99,:cuFileHandleNVFS
1395091808,1451127599,56035791,0,56035791,:cuFileHandleNVFS,1246522,1247446,0,0,102,,:102,:cuFileHandleNVFS
1395733977,1738687776,342953799,0,342953799,:cuFileHandleNVFS,1246522,1247447,0,0,105,,:105,:cuFileHandleNVFS
1398262491,1748575473,350312982,0,350312982,:cuFileHandleNVFS,1246522,1247444,0,0,108,,:108,:cuFileHandleNVFS
1442020027,1769358729,327338702,0,327338702,:cuFileHandleNVFS,1246522,1247445,0,0,111,,:111,:cuFileHandleNVFS
1451157557,1628182158,177024601,0,177024601,:cuFileHandleNVFS,1246522,1247446,0,0,114,,:114,:cuFileHandleNVFS
1628225807,1768123304,139897497,0,139897497,:cuFileHandleNVFS,1246522,1247446,0,0,117,,:117,:cuFileHandleNVFS
1738709868,1813800971,75091103,0,75091103,:cuFileHandleNVFS,1246522,1247447,0,0,120,,:120,:cuFileHandleNVFS
1817815859,1817908826,92967,0,92967,:weight_h2d L6 160MiB,1246522,1246522,2,0,123,23,:14:23:123,----:weight_h2d L6 160MiB
1817938789,1817980498,41709,0,41709,:weight_h2d L6 0MiB,1246522,1246522,2,0,124,23,:14:23:124,----:weight_h2d L6 0MiB
1818004050,1818040453,36403,0,36403,:weight_h2d L6 128MiB,1246522,1246522,2,0,125,23,:14:23:125,----:weight_h2d L6 128MiB
