procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
 3  0       572656    106975928        96948     18517384    2    3 15111   606    1    1   1   1  96   2   0 2026-09-17 13:17:19
 2  0       572656    106886080        97668     18531044    0    0 14188     0 4473 8022   2   1  97   0   0 2026-09-17 13:17:20
 3  0       572656    106830712        98308     18549044    0    0 18556   400 5459 9426   3   1  96   0   0 2026-09-17 13:17:21
 1  0       572656    106742880        99276     18579532    0    0 31564     0 6724 20179   4   8  88   0   0 2026-09-17 13:17:22
 1  0       572656    106697112        99580     18589184    0    0  9644     0 4442 7409   3   1  96   0   0 2026-09-17 13:17:23
 1  0       572656    106692384        99608     18589432    0    0   176   216 3546 6275   1   1  98   0   0 2026-09-17 13:17:24
 0  1       572656    106656128        99748     18617280    0    0 28132     0 3883 6778   1   1  98   0   0 2026-09-17 13:17:25
 0  0       572656    106631328        99908     18624996    4    0  7668     0 4141 7083   1   1  98   0   0 2026-09-17 13:17:26
 0  0       572656    106499088        99912     18633164    0    0  8140   600 3776 6669   2   1  98   0   0 2026-09-17 13:17:27
 2  0       572656    106399104        99912     18633208    0    0     0     0 3729 6501   3   1  96   0   0 2026-09-17 13:17:28
 2  0       572656    106293072        99920     18633232    0    0     0   152 3297 5829   3   0  96   0   0 2026-09-17 13:17:29
 3  0       572656    106216048       100188     18637460    4    0  4676     0 3982 7297   3   1  97   0   0 2026-09-17 13:17:30
 4  0       572656    105182744       100336     18643088    0    0  5528     0 7688 9910  21   2  77   0   0 2026-09-17 13:17:31
 2  0       572656    105235712       102992     18695092    0    0 44448   564 8137 10995   8   1  91   0   0 2026-09-17 13:17:32
 1  0       572656    105360816       103816     18823772    0    0 59724     0 9301 12412   3   2  95   0   0 2026-09-17 13:17:33
 4  0       572656    103365600       104192     18837384    0    0 13844   188 10092 16922   3   2  95   0   0 2026-09-17 13:17:34
 1  0       572656     99737136       104552     18838648    0    0   360     0 9114 15338   4   2  94   0   0 2026-09-17 13:17:35
 1  0       572656     95873424       104752     18839172    0    0   200     0 9606 15654   2   2  96   0   0 2026-09-17 13:17:36
 1  0       572656     91713632       104752     18839216    0    0     0   548 9011 15761   2   3  96   0   0 2026-09-17 13:17:37
 1  0       572656     88147728       104996     18839736    0    0   244     0 9502 16042   2   2  96   0   0 2026-09-17 13:17:38
 1  0       572656     84240888       105260     18840340    0    0   248  2032 8974 15209   2   2  96   0   0 2026-09-17 13:17:39
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
 2  0       572656     80753280       105652     18840776    0    0   392     0 9006 15459   2   2  96   0   0 2026-09-17 13:17:40
