timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/17 11:05:17.450, 0 %, 0 %, 18 MiB, 16384 MiB, 6.72 W, 34
2026/09/17 11:05:18.461, 0 %, 0 %, 18 MiB, 16384 MiB, 6.95 W, 34
2026/09/17 11:05:19.467, 0 %, 0 %, 18 MiB, 16384 MiB, 6.78 W, 34
2026/09/17 11:05:20.472, 0 %, 0 %, 18 MiB, 16384 MiB, 8.79 W, 34
2026/09/17 11:05:21.478, 0 %, 0 %, 18 MiB, 16384 MiB, 6.95 W, 34
2026/09/17 11:05:22.484, 0 %, 0 %, 18 MiB, 16384 MiB, 6.64 W, 34
2026/09/17 11:05:23.490, 0 %, 0 %, 18 MiB, 16384 MiB, 6.42 W, 34
2026/09/17 11:05:24.496, 0 %, 0 %, 18 MiB, 16384 MiB, 6.44 W, 34
2026/09/17 11:05:25.503, 0 %, 0 %, 18 MiB, 16384 MiB, 6.48 W, 34
2026/09/17 11:05:26.509, 0 %, 0 %, 18 MiB, 16384 MiB, 6.42 W, 34
2026/09/17 11:05:27.515, 0 %, 0 %, 18 MiB, 16384 MiB, 6.64 W, 34
2026/09/17 11:05:28.521, 0 %, 0 %, 18 MiB, 16384 MiB, 6.78 W, 34
2026/09/17 11:05:29.527, 0 %, 0 %, 18 MiB, 16384 MiB, 6.69 W, 34
2026/09/17 11:05:30.532, 0 %, 0 %, 162 MiB, 16384 MiB, 38.79 W, 36
2026/09/17 11:05:31.535, 1 %, 0 %, 266 MiB, 16384 MiB, 39.46 W, 36
2026/09/17 11:05:32.537, 31 %, 1 %, 4396 MiB, 16384 MiB, 40.24 W, 37
2026/09/17 11:05:33.539, 22 %, 1 %, 4404 MiB, 16384 MiB, 52.22 W, 38
2026/09/17 11:05:34.542, 26 %, 1 %, 4410 MiB, 16384 MiB, 53.75 W, 38
2026/09/17 11:05:35.545, 50 %, 2 %, 4418 MiB, 16384 MiB, 52.73 W, 38
2026/09/17 11:05:36.547, 30 %, 1 %, 4424 MiB, 16384 MiB, 52.19 W, 38
2026/09/17 11:05:37.551, 6 %, 0 %, 4434 MiB, 16384 MiB, 53.62 W, 39
2026/09/17 11:05:38.554, 37 %, 2 %, 4442 MiB, 16384 MiB, 53.68 W, 39
2026/09/17 11:05:39.557, 33 %, 1 %, 4448 MiB, 16384 MiB, 52.80 W, 39
2026/09/17 11:05:40.561, 12 %, 0 %, 4456 MiB, 16384 MiB, 52.44 W, 39
2026/09/17 11:05:41.563, 37 %, 2 %, 4464 MiB, 16384 MiB, 52.89 W, 39
2026/09/17 11:05:42.565, 35 %, 1 %, 4470 MiB, 16384 MiB, 51.15 W, 39
2026/09/17 11:05:43.567, 12 %, 0 %, 4480 MiB, 16384 MiB, 52.52 W, 39
2026/09/17 11:05:44.570, 31 %, 1 %, 4486 MiB, 16384 MiB, 54.09 W, 40
2026/09/17 11:05:45.572, 56 %, 2 %, 4494 MiB, 16384 MiB, 53.59 W, 40
2026/09/17 11:05:46.575, 30 %, 1 %, 4502 MiB, 16384 MiB, 52.74 W, 40
2026/09/17 11:05:47.577, 22 %, 1 %, 4508 MiB, 16384 MiB, 54.52 W, 40
