wall_ns,read_MBps,write_MBps,read_lat_ms,write_lat_ms,inflight
1789643106548592360,18.8,0.0,0.11,0.00,0
1789643107559571499,20.1,0.0,0.09,0.00,0
1789643108569857031,43.1,0.4,0.11,0.04,0
1789643109580094598,1.1,0.1,0.09,1.50,0
1789643110591001562,0.0,0.0,0.00,0.00,0
1789643111604619215,1.1,0.0,0.36,0.00,0
1789643112616389783,35.0,0.0,0.15,0.00,0
1789643113630244207,0.2,0.3,3.75,0.05,0
1789643114640836975,0.0,0.1,0.00,8.50,0
1789643115651658253,0.0,0.0,0.00,0.00,0
1789643116662684478,4.5,0.0,0.11,0.00,0
1789643117674025991,14.4,0.0,0.18,0.00,0
1789643118684896728,78.5,0.3,0.12,0.03,0
1789643119695746309,13.2,0.4,0.27,1.50,0
1789643120706892483,0.3,0.0,0.24,0.00,0
1789643121720294188,0.3,0.0,0.38,0.00,0
1789643122733988339,0.4,0.0,0.21,0.00,0
1789643123745501609,0.4,0.6,0.22,0.05,0
1789643124759491553,0.3,2.0,0.24,12.17,0
1789643125770319400,0.5,0.0,0.19,0.00,0
1789643126781583050,0.1,0.0,0.53,0.00,0
1789643127793254616,0.0,0.0,0.00,0.00,0
1789643128804981680,0.2,2.1,0.31,0.31,0
1789643129816898554,0.1,1.1,0.10,11.50,0
1789643130828918513,0.1,0.0,0.86,0.00,0
1789643131843263643,0.1,0.0,0.49,0.00,0
1789643132857771417,0.2,0.0,0.42,0.00,0
1789643133869304776,0.1,1.1,0.06,0.56,0
1789643134880679078,0.1,1.0,0.52,1.00,0
1789643135892249199,0.1,0.0,0.55,0.00,0
1789643136903897839,0.1,0.0,0.50,0.00,0
1789643137915568768,0.1,0.0,0.67,0.00,0
1789643138927091007,0.1,1.0,1.45,0.08,0
1789643139938583639,0.1,0.9,0.88,1.67,0
1789643140950213900,0.4,0.0,0.71,0.00,0
1789643141961653923,0.1,0.0,1.07,0.00,0
1789643142973402784,0.0,0.0,1.50,0.00,0
1789643143984627902,0.0,1.0,1.00,0.61,0
1789643144996155599,0.3,0.6,0.89,1.33,0
1789643146007272107,0.2,0.0,3.75,0.00,0
1789643147018948268,1201.9,0.0,6.53,0.00,35
1789643148031189997,1146.8,0.0,7.00,0.00,0
1789643149042765450,913.5,0.9,5.89,4.62,18
1789643150054916602,1244.3,0.1,5.95,13.50,35
1789643151067858266,1261.8,2.0,6.43,8.67,36
1789643152079295269,1400.7,0.0,5.98,0.00,0
1789643153091228812,1309.9,0.0,5.74,0.00,36
