wall_ns,read_MBps,write_MBps,read_lat_ms,write_lat_ms,inflight
1789629966752569790,17.4,0.0,0.10,0.00,0
1789629967762747204,19.1,0.0,0.09,0.00,0
1789629968773203679,37.9,2.8,0.11,0.06,0
1789629969783611614,1.1,2.7,0.08,1.71,0
1789629970794928499,0.0,0.0,0.00,0.00,0
1789629971806869922,35.9,0.0,0.17,0.00,0
1789629972818234322,0.2,0.0,0.43,0.00,0
1789629973832675974,7.7,4.0,0.37,0.19,0
1789629974842769888,0.0,0.0,3.75,0.00,0
1789629975852696443,0.0,0.0,0.00,0.00,0
1789629976862354809,10.5,0.0,0.10,0.00,0
1789629977872551186,44.9,0.0,0.13,0.00,0
1789629978883508406,55.2,1.7,0.13,1.00,0
1789629979895111300,13.9,0.0,0.29,0.00,0
1789629980908997644,0.0,0.0,14.00,0.00,0
1789629981919836023,0.0,0.0,0.00,0.00,0
1789629982931243508,0.0,0.0,0.00,0.00,0
1789629983941687817,0.0,2.2,0.00,0.27,0
1789629984952207416,0.0,0.0,0.00,0.00,0
1789629985963760481,0.0,0.0,0.00,0.00,0
1789629986973577640,0.1,0.0,1.41,0.00,0
1789629987984122804,0.0,0.0,0.00,0.00,0
1789629988994995365,0.0,0.1,0.00,8.50,0
1789629990007294935,0.0,0.4,0.00,0.26,0
1789629991020558723,0.0,0.0,0.00,0.00,0
1789629992031471912,0.0,0.0,0.00,0.00,0
1789629993045011447,0.0,0.0,0.00,0.00,0
1789629994055906913,0.0,0.1,7.50,10.33,0
1789629995066893214,0.0,0.2,0.00,14.00,0
1789629996078894814,0.0,0.0,0.00,0.00,0
1789629997090319514,0.0,0.0,0.00,0.00,0
1789629998101499269,0.0,0.0,0.00,0.00,0
1789629999112533903,0.0,0.1,0.00,8.50,0
1789630000122903841,0.0,0.4,0.00,1.37,0
1789630001133673413,0.0,0.0,0.00,0.00,0
1789630002143820954,0.0,0.0,0.00,0.00,0
1789630003154436064,0.3,0.0,0.28,0.00,0
1789630004164315710,0.1,0.9,0.22,2.33,0
1789630005174049706,0.5,1.0,0.29,0.66,0
1789630006185061568,1026.8,0.0,6.73,0.00,36
1789630007196618883,1277.1,0.0,6.72,0.00,35
1789630008207739979,725.0,0.0,6.30,0.00,34
1789630009218475942,1241.0,0.4,5.78,12.50,37
1789630010229245038,1429.5,0.7,5.74,0.50,36
1789630011240656321,1465.5,0.0,5.75,0.00,35
1789630012251800495,1293.3,0.0,5.80,0.00,37
1789630013262376494,1461.7,0.0,5.66,0.00,35
1789630014273586282,1351.8,0.1,5.54,6.50,37
1789630015284541677,1435.7,0.3,5.89,4.80,35
1789630016295525546,1464.9,0.0,5.65,0.00,35
1789630017306638419,1341.6,0.0,5.81,0.00,36
1789630018317779099,1410.3,0.0,6.01,0.00,36
1789630019328786458,1464.6,0.1,5.53,11.67,35
1789630020339500331,1341.0,0.4,5.89,4.95,34
1789630021361772662,1471.7,0.2,5.63,7.17,34
1789630022378633048,1260.2,20.0,5.88,5.16,42
1789630023409709580,1454.8,10.1,5.39,0.81,36
1789630024421534068,1428.9,0.1,5.88,8.80,34
1789630025433519364,1275.2,0.4,5.62,4.50,37
1789630026457429947,1468.9,0.0,5.75,5.00,37
1789630027469228898,1423.5,0.0,5.71,0.00,0
1789630028480001358,1253.5,0.0,5.96,0.00,34
1789630029490991172,1485.1,0.1,5.58,10.00,35
1789630030502761441,1262.8,0.1,5.96,4.69,41
1789630031514640501,1398.4,0.3,6.08,5.16,35
1789630032526199122,1507.3,0.0,5.50,0.00,35
1789630033537623668,1292.5,0.0,5.91,0.00,34
1789630034549152229,1445.2,0.1,5.78,14.00,4
1789630035560868195,1454.0,0.0,5.62,0.00,33
1789630036572699276,1325.9,0.3,5.91,0.04,36
1789630037584398818,1436.3,0.0,5.88,0.00,27
1789630038596301529,1340.3,0.0,5.53,5.00,34
1789630039607582779,1414.6,0.1,5.98,9.50,34
1789630040630708997,1487.4,0.0,5.56,5.38,35
1789630041678938667,1224.5,0.3,5.85,1.46,35
1789630042693566131,1483.0,0.0,5.57,5.00,36
1789630043705092498,1346.3,0.0,6.28,5.00,32
1789630044716676117,1288.0,0.1,5.63,8.40,35
1789630045727703009,1459.3,0.0,5.70,0.00,35
1789630046739425829,1353.4,0.3,5.39,2.63,34
1789630047763490049,1362.2,0.0,6.20,0.00,33
1789630048774623863,1473.3,0.1,5.64,7.00,37
1789630049785164485,1315.1,0.0,5.74,0.00,35
1789630050796083056,1415.3,0.0,6.00,4.00,34
1789630051807037242,1435.2,0.3,5.76,5.67,35
1789630052817628166,1372.4,0.0,5.60,0.00,36
1789630053828522583,1387.8,0.1,6.00,15.50,35
1789630054839417453,1333.9,0.3,5.70,4.41,36
1789630055850512803,1407.5,0.0,5.98,4.00,26
1789630056862225729,1428.6,0.0,5.88,5.00,35
1789630057873699773,1295.9,0.0,5.44,6.00,37
1789630058889374823,1413.6,0.1,5.98,9.67,35
1789630059905091491,1389.1,0.0,6.00,5.00,36
1789630060916982709,1252.7,0.3,5.71,0.46,36
1789630061928678078,1383.7,0.0,6.11,0.00,35
1789630062941265258,1437.1,0.0,5.56,0.00,0
1789630063952349692,1315.5,0.1,5.80,9.00,34
1789630064963643182,1487.4,0.0,5.56,2.00,35
1789630065974678968,1301.7,0.3,5.77,4.81,35
1789630066985987591,1452.1,0.0,5.71,2.75,34
1789630067997444879,1454.4,0.0,5.75,4.00,36
1789630069008564193,1302.9,0.1,5.74,8.25,35
1789630070019960623,1397.0,0.0,6.08,0.00,35
1789630071031707777,1391.0,0.4,5.91,5.17,35
1789630072043359816,1283.1,0.0,5.97,0.00,34
1789630073055473856,1408.6,0.0,5.92,4.00,34
1789630074066810055,1320.1,0.1,5.73,14.50,38
1789630075078139961,1232.5,0.0,6.73,0.00,35
1789630076089759609,1232.2,20.1,6.59,5.71,34
1789630077100732069,1087.2,268.0,6.70,2.43,2
1789630078112219997,1043.2,509.7,7.11,3.73,36
1789630079123922133,1083.3,449.2,5.99,2.84,39
1789630080135237570,898.4,1020.8,7.09,5.28,8
1789630081146544272,724.3,1285.4,8.40,6.27,51
1789630082170754442,873.9,468.0,8.50,8.06,40
1789630083181468783,662.6,308.9,8.36,3.55,11
1789630084192723584,484.4,405.1,8.17,2.99,34
1789630085204070949,464.3,432.2,8.28,2.56,19
1789630086214443569,466.3,412.8,9.35,3.26,5
