wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789629966752569790,124269480,3160,0,1252,0
1789629967762747204,124226644,3176,0,1252,0
1789629968773203679,124144904,16,0,1252,0
1789629969783611614,124123264,2808,0,1252,0
1789629970794928499,124122308,2944,0,1252,0
1789629971806869922,124091848,2964,0,1252,0
1789629972818234322,124092024,3000,0,1252,0
1789629973832675974,123910504,0,64,1252,0
1789629974842769888,123768464,60,0,1252,0
1789629975852696443,123699972,192,0,1252,0
1789629976862354809,123229100,216,0,1256,0
1789629977872551186,122962356,252,0,11492,0
1789629978883508406,123476564,2048,0,81124,0
1789629979895111300,120336040,2088,0,81136,0
1789629980908997644,116406428,2104,0,81124,0
1789629981919836023,112608464,2116,0,81124,0
1789629982931243508,108188280,2140,0,81124,0
1789629983941687817,104353300,188,504,81124,0
1789629984952207416,100393552,188,0,81124,0
1789629985963760481,95935804,208,0,81124,0
1789629986973577640,91955964,248,0,81124,0
1789629987984122804,88011312,280,0,81124,0
1789629988994995365,83702944,400,0,81124,0
1789629990007294935,79731684,64,0,81124,0
1789629991020558723,75593576,84,0,81124,0
1789629992031471912,71484756,100,0,81124,0
1789629993045011447,67477488,120,0,81124,0
1789629994055906913,63176116,192,0,81124,0
1789629995066893214,59267508,44,0,81124,0
1789629996078894814,55120068,212,0,81124,0
1789629997090319514,50605424,308,0,81124,0
1789629998101499269,46717080,348,0,81124,0
1789629999112533903,42729704,460,0,81124,0
1789630000122903841,38324420,196,0,81124,0
1789630001133673413,34355312,228,0,81124,0
1789630002143820954,30371372,260,0,81124,0
1789630003154436064,27368472,280,0,81124,0
1789630004164315710,27366232,1164,0,81124,0
1789630005174049706,27365456,20,0,81128,0
1789630006185061568,26395144,72,0,81128,0
1789630007196618883,25065156,212,0,81128,0
1789630008207739979,27445488,268,0,81128,0
1789630009218475942,27444292,720,0,81128,0
1789630010229245038,27453312,0,0,81128,0
1789630011240656321,27456532,64,0,81128,0
1789630012251800495,27460408,192,0,81128,0
1789630013262376494,27457968,216,0,81128,0
1789630014273586282,27465700,288,0,81128,0
1789630015284541677,27460712,0,4,81128,0
1789630016295525546,27462100,56,0,81128,0
1789630017306638419,27461660,76,0,81128,0
1789630018317779099,27435328,224,0,81128,0
1789630019328786458,27439292,388,0,81128,0
1789630020339500331,27451584,96,12,81128,0
1789630021361772662,27475260,180,0,81128,0
1789630022378633048,27422312,200,160,81124,0
1789630023409709580,27578976,228,0,81124,0
1789630024421534068,27575940,376,0,81124,0
1789630025433519364,27578244,104,60,81124,0
1789630026457429947,27598584,224,0,81124,0
1789630027469228898,27599344,244,0,81124,0
1789630028480001358,27602392,276,0,81124,0
1789630029490991172,27602016,376,0,81124,0
1789630030502761441,27598712,360,24,81124,0
