procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
 6  0       714444    108334344       131656     17138920    2    3 15175   605    0    1   1   1  96   2   0 2026-09-17 16:26:05
 2  0       714444    108235360       132556     17156724    8    0 18024     0 4590 7715   3   1  97   0   0 2026-09-17 16:26:06
 2  0       714444    108171880       134256     17175152    0    0 19764     0 4956 8387   2   0  97   0   0 2026-09-17 16:26:07
 2  0       714444    108052344       135472     17212736   12    0 39172  2848 7701 9874   5   7  88   0   0 2026-09-17 16:26:08
 1  0       714444    108027688       135728     17214500    0    0  1180  2752 3235 5758   2   0  97   0   0 2026-09-17 16:26:09
 1  0       714444    108026688       135728     17214524    0    0     0     0 2976 5634   0   0  99   0   0 2026-09-17 16:26:10
 1  0       714444    107958448       136164     17251356    0    0 37140     0 3821 6635   1   0  98   0   0 2026-09-17 16:26:11
 1  1       714444    107959968       136164     17251392    0    0    20     0 3110 5574   1   0  99   0   0 2026-09-17 16:26:12
 1  0       714444    107782544       136176     17259528    0    0  8120  4100 3546 5434   2   0  98   0   0 2026-09-17 16:26:13
 1  0       714444    107627088       136176     17259588    4    0    44     0 3012 5308   3   0  97   0   0 2026-09-17 16:26:14
 1  0       714444    107558832       136176     17259604    0    0     0     0 2852 4884   3   0  97   0   0 2026-09-17 16:26:15
 3  0       714444    107103400       136812     17269412    0    0 10836     0 5822 7913  16   1  83   0   0 2026-09-17 16:26:16
 2  1       714444    106774920       137984     17317048    0    0 38168     0 6338 8710   7   1  91   0   0 2026-09-17 16:26:17
 1  0       714444    107219872       138992     17452212    0    0 65520  1800 10178 11852   4   1  95   0   0 2026-09-17 16:26:18
 2  0       714188    104647936       139000     17466356  208    0 14392     0 9579 17053   4   2  94   0   0 2026-09-17 16:26:19
 1  0       714188    100612752       139000     17466500    8    0     8     0 8663 16268   3   2  95   0   0 2026-09-17 16:26:20
 1  0       714188     96917040       139000     17466508    0    0     0     0 7986 15010   1   2  97   0   0 2026-09-17 16:26:21
 1  0       714188     92987968       139000     17466528    0    0     0     0 8869 15113   1   2  97   0   0 2026-09-17 16:26:22
 1  0       714188     88736704       139012     17466540    0    0     0   132 8318 14959   1   2  96   0   0 2026-09-17 16:26:23
 1  0       714188     84904416       139012     17466556    0    0     0  2164 8546 14903   1   2  97   0   0 2026-09-17 16:26:24
 1  0       714188     80851904       139012     17466568    0    0     0     0 8480 14950   1   2  97   0   0 2026-09-17 16:26:25
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
 1  0       714188     76572384       139012     17466584  116    0   116     0 8968 16141   2   2  96   0   0 2026-09-17 16:26:26
 1  0       714188     72667800       139012     17466600    0    0     0     0 8352 15051   1   2  97   0   0 2026-09-17 16:26:27
 2  2       714188     68695680       139016     17466616    0    0     0   120 9110 15003   1   2  97   0   0 2026-09-17 16:26:28
 1  0       714188     64409344       139020     17466580    0    0     0   376 8293 15007   1   2  97   0   0 2026-09-17 16:26:29
 1  0       714188     60452112       139020     17466604    0    0     0     0 8290 14891   1   2  97   0   0 2026-09-17 16:26:30
 1  0       714188     56457048       139020     17466616    0    0     0     0 8662 14765   1   2  97   0   0 2026-09-17 16:26:31
 1  0       714188     52175256       139020     17466632    0    0     0     0 8495 14851   1   2  97   0   0 2026-09-17 16:26:32
 1  2       714188     48236448       139028     17466652    8    0     8    76 9371 15002   2   2  96   0   0 2026-09-17 16:26:33
 2  0       714188     44256508       139032     17466672    0    0     0   160 8739 14575   1   2  97   0   0 2026-09-17 16:26:34
 3  0       714188     39932092       139032     17466684    0    0     0     0 8307 14706   1   2  97   0   0 2026-09-17 16:26:35
 1  0       714188     36015464       139032     17466716    0    0     0     0 8717 14731   1   2  97   0   0 2026-09-17 16:26:36
 1  0       714188     31918352       139032     17466736    0    0     0     0 8457 14618   1   2  97   0   0 2026-09-17 16:26:37
 1  1       714188     27664560       139040     17466868    0    0     0   100 8538 14834   1   2  97   0   0 2026-09-17 16:26:38
 2  0       714188     23796740       139040     17466884    0    0     0   436 8532 14509   1   2  97   0   0 2026-09-17 16:26:39
 1  0       714188     19749828       139040     17466900    0    0     0     0 8271 14657   1   2  97   0   0 2026-09-17 16:26:40
 1  0       714188     15525196       139040     17466916    0    0     0     0 7867 14499   1   2  97   0   0 2026-09-17 16:26:41
 1  0       714188     11579056       139040     17466928    0    0     0     0 8390 14578   1   2  97   0   0 2026-09-17 16:26:42
 1  0       714188     18211728       139392     10348160    0    0   340   904 8605 14912   1   3  97   0   0 2026-09-17 16:26:43
 0  0       714188     21640948       139412      6920116    0    0   276     0 7972 14620   0   1  98   0   0 2026-09-17 16:26:44
 0 18       714188     20656716       139548      7457040    4    0 540012  1008 11236 19642   1   1  84  14   0 2026-09-17 16:26:45
 2 16       714188     18091132       139548      8742304    0    0 1284096     0 14971 24537   2   3  64  31   0 2026-09-17 16:26:46
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
 0 18       714188     19197764       139548      9443596    0    0 701440     0 11793 20104   3   2  77  19   0 2026-09-17 16:26:47
 2 17       714188     17953396       139564     10692080    0    0 1247804   448 14599 23668   3   2  63  31   0 2026-09-17 16:26:48
 4 14       714188     16506984       139564     12132528   24    0 1440896     0 15232 24742   3   2  63  32   0 2026-09-17 16:26:49
 1 17       714188     15026764       139564     13626256    0    0 1494580   700 15692 25052   4   1  59  36   0 2026-09-17 16:26:50
 1 17       714188     13650596       139568     15004272    0    0 1376572     0 14831 23926   3   2  62  33   0 2026-09-17 16:26:51
 0 18       714188     12199344       139568     16457984    0    0 1454144     0 15267 24651   3   2  58  37   0 2026-09-17 16:26:52
 1 17       714188     10737272       139580     17915764    0    0 1458768    72 15212 24867   4   2  59  35   0 2026-09-17 16:26:53
 1 17       714188      9317784       139584     19340660    0    0 1422852     0 15479 24361   3   2  62  33   0 2026-09-17 16:26:54
 1 17       714188      7874364       139584     20781064    0    0 1441552   276 15329 24887   3   2  59  36   0 2026-09-17 16:26:55
 2 16       714188      6429676       139588     22229420    0    0 1446920     0 15386 24599   4   2  60  35   0 2026-09-17 16:26:56
 1 17       714188      5004368       139588     23651508    0    0 1422696     0 15212 24847   3   2  58  37   0 2026-09-17 16:26:57
 2 17       714188      3492784       139600     25143348    0    0 1492800   112 16438 27051   4   2  59  35   0 2026-09-17 16:26:58
 3 15       714188      2145120       139604     26493388    0    0 1350532     0 14971 24451   4   2  62  32   0 2026-09-17 16:26:59
 1 18       714188       951824       138980     27736828    0    0 1541868   372 49667 25683   3   2  59  36   0 2026-09-17 16:27:00
 3 15       721868       823476       137028     27874448    0 7640 1459932  7640 52561 25658   3   3  57  37   0 2026-09-17 16:27:01
 1 17       746812       901356       133060     27852688   32 23952 1275848 23952 16140 25721   3   3  63  31   0 2026-09-17 16:27:02
