Start (ns),End (ns),Duration (ns),DurChild (ns),DurNonChild (ns),Name,PID,TID,Lvl,NumChild,RangeId,ParentId,RangeStack,NameTree
41569050,12663215538,12621646488,12527503994,94142494,:phase:cold_fill,150245,150245,0,1,14,,:14,:phase:cold_fill
135711544,12663215538,12527503994,0,12527503994,:step:cold_fill,150245,150245,1,0,15,14,:14:15,--:step:cold_fill
4240705140,4240705778,638,0,638,NCCL:ncclGroupStart,150245,168925,0,0,17,,:17,NCCL:ncclGroupStart
4240709646,4240712244,2598,0,2598,NCCL:ncclGroupEnd,150245,168925,0,0,18,,:18,NCCL:ncclGroupEnd
4240712909,4240713050,141,0,141,NCCL:ncclGroupStart,150245,168925,0,0,19,,:19,NCCL:ncclGroupStart
4240713288,4240713521,233,0,233,NCCL:ncclGroupEnd,150245,168925,0,0,20,,:20,NCCL:ncclGroupEnd
4253975391,4254435647,460256,0,460256,NCCL:ncclGroupStart,150245,168926,0,0,21,,:21,NCCL:ncclGroupStart
4254438658,4254442424,3766,0,3766,NCCL:ncclGroupEnd,150245,168926,0,0,22,,:22,NCCL:ncclGroupEnd
4254443203,4254443639,436,0,436,NCCL:ncclGroupStart,150245,168926,0,0,23,,:23,NCCL:ncclGroupStart
4254444241,4254444988,747,0,747,NCCL:ncclGroupEnd,150245,168926,0,0,24,,:24,NCCL:ncclGroupEnd
4260439260,4260876993,437733,0,437733,NCCL:ncclGroupStart,150245,168927,0,0,25,,:25,NCCL:ncclGroupStart
4260879673,4260883257,3584,0,3584,NCCL:ncclGroupEnd,150245,168927,0,0,26,,:26,NCCL:ncclGroupEnd
4260883948,4260884387,439,0,439,NCCL:ncclGroupStart,150245,168927,0,0,27,,:27,NCCL:ncclGroupStart
4260884898,4260885570,672,0,672,NCCL:ncclGroupEnd,150245,168927,0,0,28,,:28,NCCL:ncclGroupEnd
4266158865,4266605406,446541,0,446541,NCCL:ncclGroupStart,150245,168928,0,0,29,,:29,NCCL:ncclGroupStart
4266608451,4266611764,3313,0,3313,NCCL:ncclGroupEnd,150245,168928,0,0,30,,:30,NCCL:ncclGroupEnd
4266612457,4266612892,435,0,435,NCCL:ncclGroupStart,150245,168928,0,0,31,,:31,NCCL:ncclGroupStart
4266613389,4266614134,745,0,745,NCCL:ncclGroupEnd,150245,168928,0,0,32,,:32,NCCL:ncclGroupEnd
4273601672,4274031918,430246,0,430246,NCCL:ncclGroupStart,150245,168929,0,0,33,,:33,NCCL:ncclGroupStart
4274035136,4274038081,2945,0,2945,NCCL:ncclGroupEnd,150245,168929,0,0,34,,:34,NCCL:ncclGroupEnd
4274038845,4274039280,435,0,435,NCCL:ncclGroupStart,150245,168929,0,0,35,,:35,NCCL:ncclGroupStart
4274039716,4274040437,721,0,721,NCCL:ncclGroupEnd,150245,168929,0,0,36,,:36,NCCL:ncclGroupEnd
4284452731,4284967699,514968,0,514968,NCCL:ncclGroupStart,150245,168930,0,0,37,,:37,NCCL:ncclGroupStart
4284973702,4284976868,3166,0,3166,NCCL:ncclGroupEnd,150245,168930,0,0,38,,:38,NCCL:ncclGroupEnd
4284977890,4284978403,513,0,513,NCCL:ncclGroupStart,150245,168930,0,0,39,,:39,NCCL:ncclGroupStart
4284978959,4284979685,726,0,726,NCCL:ncclGroupEnd,150245,168930,0,0,40,,:40,NCCL:ncclGroupEnd
4294029016,4294485165,456149,0,456149,NCCL:ncclGroupStart,150245,168931,0,0,41,,:41,NCCL:ncclGroupStart
4294491707,4294495431,3724,0,3724,NCCL:ncclGroupEnd,150245,168931,0,0,42,,:42,NCCL:ncclGroupEnd
4294496181,4294496668,487,0,487,NCCL:ncclGroupStart,150245,168931,0,0,43,,:43,NCCL:ncclGroupStart
4294497168,4294498060,892,0,892,NCCL:ncclGroupEnd,150245,168931,0,0,44,,:44,NCCL:ncclGroupEnd
