wall_ns,read_MBps,write_MBps,read_lat_ms,write_lat_ms,inflight
1789398107650432544,16.1,0.1,0.10,1.50,0
1789398108887694381,24.5,0.0,0.09,0.00,1
1789398110117520692,19.4,0.0,0.10,0.00,0
1789398111361373226,0.5,0.4,0.08,4.34,0
1789398112607970195,28.3,0.1,0.17,1.50,0
1789398113863647655,0.0,0.0,3.75,0.00,0
1789398115119366809,0.0,0.0,14.00,0.00,0
1789398116363609461,0.0,0.2,0.00,5.43,0
1789398117620586152,7.3,0.1,0.09,1.50,0
1789398118885641121,25.8,0.0,0.15,0.00,0
1789398120128172370,57.6,0.0,0.12,0.00,0
1789398121379308036,10.6,0.3,0.27,0.56,0
1789398122646906388,0.3,0.1,1.36,8.50,0
1789398123906513150,0.0,0.0,0.00,0.00,0
1789398125168892719,0.0,0.0,0.00,0.00,0
1789398126432314546,0.1,0.4,5.33,1.59,0
1789398127685582278,0.1,0.1,5.00,8.50,0
1789398128926494892,0.0,0.0,0.00,0.00,0
1789398130188384818,0.0,0.0,0.00,0.00,0
1789398131440761296,0.0,0.0,0.00,0.00,0
1789398132691370592,0.0,0.3,0.00,4.29,0
1789398133955040736,0.0,0.0,0.00,0.00,0
1789398135214209282,0.0,0.0,7.00,0.00,0
1789398136480663450,0.0,0.0,0.00,0.00,0
1789398137735112672,1.4,1.9,0.11,4.65,0
1789398138993652269,0.3,0.0,0.14,0.00,0
1789398140229085957,0.2,0.0,0.13,0.00,0
1789398141493326770,0.3,0.0,0.11,0.00,0
1789398142738522855,0.4,3.5,0.09,0.09,0
1789398143998072346,0.7,0.0,0.22,0.00,0
1789398145272189639,744.6,0.0,6.83,1.00,33
1789398146563664402,1109.9,0.0,6.92,0.00,0
1789398147832274365,789.0,2.6,6.61,0.88,34
1789398149121711287,1062.6,0.0,6.61,0.00,33
1789398150408932280,1193.0,0.0,6.58,0.00,33
1789398151696704971,1065.5,0.0,6.65,0.00,36
1789398152987220470,1197.1,1.1,6.59,5.57,33
1789398154277773233,1181.8,0.0,6.73,0.00,24
