#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260914    22:53:56       0      7     54      -      1      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260914    22:53:57       0      7     54      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260914    22:53:58       0      7     54      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260914    22:53:59       0      7     53      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260914    22:54:00       0      7     53      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260914    22:54:01       0      7     53      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260914    22:54:03       0      7     53      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260914    22:54:04       0      7     53      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260914    22:54:05       0      7     52      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260914    22:54:06       0      7     52      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260914    22:54:07       0      7     52      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260914    22:54:08       0     44     53      -      0      0      0      0      0      0   6500   1620      0      0    134      7      0      -      -      0      0      0 
 20260914    22:54:09       0     43     54      -      0      0      0      0      0      0   6500   1620      0      0    134      7      0      -      -      0      0      0 
 20260914    22:54:10       0     43     54      -      1      0      0      0      0      0   6500   1620      0      0   4428      7      0      -      -      0      0      0 
 20260914    22:54:11       0     43     54      -     31      1      0      0      0      0   6500   1620      0      0   4436      7      0      -      -      0      0  14321 
 20260914    22:54:12       0     58     55      -     12      0      0      0      0      0   6500   1920      0      0   4444      7      0      -      -      0      0   7952 
 20260914    22:54:13       0     57     55      -     31      1      0      0      0      0   6500   1920      0      0   4452      7      0      -      -      0      0   7243 
 20260914    22:54:14       0     50     54      -     27      1      0      0      0      0   6500   1740      0      0   4460      7      0      -      -      0      2    307 
 20260914    22:54:15       0     57     55      -     55      2      0      0      0      0   6500   1920      0      0   4468      7      0      -      -      0      0      0 
 20260914    22:54:16       0     59     55      -     37      2      0      0      0      0   6500   1920      0      0   4476      7      0      -      -      0      0  11557 
 20260914    22:54:17       0     55     55      -     32      1      0      0      0      0   6500   1770      0      0   4484      7      0      -      -      0      0      0 
 20260914    22:54:18       0     54     55      -     11      0      0      0      0      0   6500   1875      0      0   4492      7      0      -      -      0      0  10590 
 20260914    22:54:19       0     58     55      -     38      2      0      0      0      0   6500   1920      0      0   4500      7      0      -      -      0      0      0 
 20260914    22:54:21       0     58     55      -     37      2      0      0      0      0   6500   1920      0      0   4508      7      0      -      -      0      0      0 
 20260914    22:54:22       0     48     55      -     44      2      0      0      0      0   6500   1815      0      0   4516      7      0      -      -      0      0      0 
 20260914    22:54:23       0     58     55      -     12      0      0      0      0      0   6500   1920      0      0   4526      7      0      -      -      0      0      0 
 20260914    22:54:24       0     58     55      -     37      2      0      0      0      0   6500   1920      0      0   4534      7      0      -      -      0      0      0 
 20260914    22:54:25       0     49     55      -     25      1      0      0      0      0   6500   1710      0      0   4542      7      0      -      -      0      0      0 
