timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/14 22:53:56.607, 1 %, 0 %, 15 MiB, 16384 MiB, 8.43 W, 54
2026/09/14 22:53:57.625, 0 %, 0 %, 15 MiB, 16384 MiB, 7.78 W, 54
2026/09/14 22:53:58.631, 0 %, 0 %, 15 MiB, 16384 MiB, 7.88 W, 54
2026/09/14 22:53:59.638, 0 %, 0 %, 15 MiB, 16384 MiB, 7.98 W, 53
2026/09/14 22:54:00.644, 0 %, 0 %, 15 MiB, 16384 MiB, 7.57 W, 53
2026/09/14 22:54:01.650, 0 %, 0 %, 15 MiB, 16384 MiB, 7.36 W, 53
2026/09/14 22:54:02.657, 0 %, 0 %, 15 MiB, 16384 MiB, 7.70 W, 53
2026/09/14 22:54:03.663, 0 %, 0 %, 15 MiB, 16384 MiB, 7.45 W, 53
2026/09/14 22:54:04.669, 0 %, 0 %, 15 MiB, 16384 MiB, 7.59 W, 52
2026/09/14 22:54:05.675, 0 %, 0 %, 15 MiB, 16384 MiB, 7.48 W, 52
2026/09/14 22:54:06.682, 0 %, 0 %, 15 MiB, 16384 MiB, 7.59 W, 52
2026/09/14 22:54:07.688, 0 %, 0 %, 18 MiB, 16384 MiB, 12.48 W, 52
2026/09/14 22:54:08.694, 0 %, 0 %, 134 MiB, 16384 MiB, 44.45 W, 53
2026/09/14 22:54:09.696, 1 %, 0 %, 312 MiB, 16384 MiB, 43.67 W, 54
2026/09/14 22:54:10.703, 12 %, 0 %, 4430 MiB, 16384 MiB, 43.90 W, 54
2026/09/14 22:54:11.706, 23 %, 1 %, 4438 MiB, 16384 MiB, 46.35 W, 54
2026/09/14 22:54:12.708, 54 %, 2 %, 4444 MiB, 16384 MiB, 59.63 W, 55
2026/09/14 22:54:13.711, 31 %, 1 %, 4452 MiB, 16384 MiB, 57.61 W, 55
2026/09/14 22:54:14.713, 27 %, 1 %, 4460 MiB, 16384 MiB, 50.34 W, 54
2026/09/14 22:54:15.716, 55 %, 2 %, 4468 MiB, 16384 MiB, 55.97 W, 55
2026/09/14 22:54:16.718, 30 %, 1 %, 4476 MiB, 16384 MiB, 57.50 W, 55
2026/09/14 22:54:17.720, 36 %, 1 %, 4484 MiB, 16384 MiB, 58.99 W, 55
2026/09/14 22:54:18.723, 46 %, 2 %, 4490 MiB, 16384 MiB, 48.37 W, 55
2026/09/14 22:54:19.725, 19 %, 1 %, 4498 MiB, 16384 MiB, 57.82 W, 55
2026/09/14 22:54:20.727, 37 %, 2 %, 4506 MiB, 16384 MiB, 58.48 W, 55
2026/09/14 22:54:21.730, 35 %, 1 %, 4514 MiB, 16384 MiB, 49.61 W, 55
2026/09/14 22:54:22.734, 12 %, 0 %, 4522 MiB, 16384 MiB, 58.54 W, 55
2026/09/14 22:54:23.738, 37 %, 2 %, 4530 MiB, 16384 MiB, 58.43 W, 55
2026/09/14 22:54:24.741, 30 %, 1 %, 4536 MiB, 16384 MiB, 58.14 W, 55
2026/09/14 22:54:25.746, 18 %, 1 %, 4544 MiB, 16384 MiB, 47.68 W, 55
2026/09/14 22:54:26.755, 37 %, 1 %, 4552 MiB, 16384 MiB, 58.67 W, 55
2026/09/14 22:54:27.758, 0 %, 0 %, 4552 MiB, 16384 MiB, 58.03 W, 55
2026/09/14 22:54:28.760, 0 %, 0 %, 4552 MiB, 16384 MiB, 44.32 W, 55
2026/09/14 22:54:29.762, 0 %, 0 %, 4552 MiB, 16384 MiB, 44.07 W, 54
2026/09/14 22:54:30.765, 0 %, 0 %, 4552 MiB, 16384 MiB, 44.29 W, 54
2026/09/14 22:54:31.767, 0 %, 0 %, 4552 MiB, 16384 MiB, 44.28 W, 54
2026/09/14 22:54:32.769, 0 %, 0 %, 4552 MiB, 16384 MiB, 44.65 W, 54
2026/09/14 22:54:33.772, 0 %, 0 %, 6928 MiB, 16384 MiB, 44.71 W, 54
2026/09/14 22:54:34.776, 0 %, 0 %, 6928 MiB, 16384 MiB, 43.81 W, 54
2026/09/14 22:54:35.779, 0 %, 0 %, 6928 MiB, 16384 MiB, 43.55 W, 54
2026/09/14 22:54:36.782, 26 %, 1 %, 6928 MiB, 16384 MiB, 57.59 W, 55
2026/09/14 22:54:37.785, 0 %, 0 %, 6928 MiB, 16384 MiB, 57.64 W, 55
2026/09/14 22:54:38.788, 0 %, 0 %, 6928 MiB, 16384 MiB, 44.08 W, 54
2026/09/14 22:54:39.792, 0 %, 0 %, 6928 MiB, 16384 MiB, 43.76 W, 54
2026/09/14 22:54:40.795, 0 %, 0 %, 6928 MiB, 16384 MiB, 43.70 W, 54
2026/09/14 22:54:41.798, 0 %, 0 %, 6928 MiB, 16384 MiB, 43.84 W, 54
2026/09/14 22:54:42.801, 0 %, 0 %, 6928 MiB, 16384 MiB, 43.58 W, 54
2026/09/14 22:54:43.805, 0 %, 0 %, 6928 MiB, 16384 MiB, 43.17 W, 54
2026/09/14 22:54:44.808, 0 %, 0 %, 6928 MiB, 16384 MiB, 43.41 W, 54
2026/09/14 22:54:45.810, 0 %, 0 %, 6928 MiB, 16384 MiB, 43.59 W, 54
2026/09/14 22:54:46.813, 0 %, 0 %, 6928 MiB, 16384 MiB, 43.94 W, 54
2026/09/14 22:54:47.816, 0 %, 0 %, 6928 MiB, 16384 MiB, 43.84 W, 54
2026/09/14 22:54:48.819, 0 %, 0 %, 6928 MiB, 16384 MiB, 43.90 W, 54
