wall_ns,read_MBps,write_MBps,read_lat_ms,write_lat_ms,inflight
1789385581928382364,16.8,0.0,0.10,0.00,0
1789385582956286727,19.4,0.1,0.09,0.11,1
1789385583983053575,41.8,0.0,0.11,0.00,0
1789385585004046702,2.6,0.1,0.08,1.00,0
1789385586031972040,0.0,0.0,14.00,0.00,0
1789385587062517885,35.6,0.0,0.16,0.00,1
1789385588089225989,1.3,0.0,0.31,0.00,0
1789385589119141054,0.6,0.2,1.06,0.55,1
1789385590147661515,3.3,0.1,0.17,1.50,0
1789385591176049272,0.0,0.0,0.00,0.00,0
1789385592227565241,9.1,0.0,0.09,0.00,0
1789385593298359512,67.0,0.2,0.15,0.12,1
1789385594326916719,72.0,0.0,0.12,0.00,0
1789385595362028744,13.2,0.2,0.24,2.00,0
1789385596391270655,0.0,0.0,7.00,0.00,0
1789385597420642623,0.1,0.0,3.00,0.00,0
1789385598450286278,0.1,0.2,2.48,0.36,0
1789385599480299838,0.0,0.0,14.00,0.00,0
1789385600509681886,0.0,0.2,14.00,8.50,0
1789385601541740159,0.1,0.0,3.40,0.00,0
1789385602571078096,0.0,0.0,0.00,0.00,0
1789385603600244633,0.3,0.2,0.80,0.09,0
1789385604628958525,0.0,0.1,0.00,8.50,0
1789385605658554839,0.4,0.0,0.78,0.00,0
1789385606687988274,0.0,0.0,0.00,0.00,0
1789385607717700192,0.0,0.0,0.00,0.00,0
1789385608749504711,0.0,0.2,0.00,5.43,0
1789385609781350807,0.0,0.1,0.00,8.50,0
1789385610810902403,3.2,0.0,0.27,0.00,0
1789385611836018758,2.1,0.0,0.24,0.00,0
1789385612863850420,1.2,0.0,0.12,0.00,0
1789385613892420678,0.8,0.2,0.11,0.09,0
1789385614921400645,0.2,3.4,0.16,1.00,0
1789385615949854564,0.1,0.0,0.19,0.00,0
1789385616978270500,0.3,0.0,0.74,0.00,0
1789385618006522262,0.1,0.0,14.00,1.00,0
1789385619037611004,1077.4,2.7,6.85,5.40,36
1789385620069366005,1155.8,2.1,6.94,5.70,33
1789385621102407177,616.6,0.0,6.71,0.00,35
1789385622134641430,1027.1,0.0,6.54,0.00,35
1789385623169057738,1202.9,0.0,6.69,0.00,33
1789385624203718992,1191.5,0.0,6.57,0.00,38
1789385625238133025,1015.9,1.9,6.57,5.54,34
1789385626270802121,1191.4,0.0,6.81,0.00,35
1789385627305601523,1203.1,0.0,6.49,0.00,26
1789385628337504272,1050.0,0.0,6.27,0.00,33
1789385629368086757,1196.2,0.0,6.79,0.00,31
1789385630402345234,1190.7,0.2,6.79,6.09,32
1789385631436800189,1193.2,0.0,6.47,0.00,36
1789385632470834833,1087.2,0.0,6.55,0.00,31
1789385633505925281,1192.7,0.0,6.81,0.00,31
1789385634540125888,1190.5,0.0,6.53,0.00,26
1789385635570477873,1106.9,0.3,6.54,6.20,38
1789385636605009830,1192.3,0.0,6.57,0.00,32
1789385637639577739,1191.6,0.0,6.63,0.00,15
1789385638673251029,1091.4,0.0,6.70,0.00,32
1789385639707368878,1199.5,0.0,6.54,0.00,33
1789385640740984398,1191.3,0.3,6.72,5.07,35
1789385641771893230,1115.5,0.0,6.37,0.00,34
1789385642806683041,1202.3,0.0,6.69,0.00,33
1789385643840641339,1205.4,0.0,6.49,0.00,36
1789385644874907697,1076.7,0.0,6.65,0.00,34
1789385645909085552,1184.1,0.2,6.84,5.59,34
1789385646943647911,1198.7,0.0,6.58,0.00,32
1789385647978433460,1114.8,0.0,6.56,0.00,34
1789385649012958572,1195.8,0.0,6.75,0.00,36
1789385650046723884,1196.8,0.1,6.56,12.00,32
1789385651079758382,1097.2,0.1,6.55,5.50,32
1789385652111172603,1193.9,0.0,6.83,0.00,31
1789385653145397870,1200.5,0.0,6.50,0.00,35
1789385654178990128,1111.3,0.0,6.31,0.00,29
1789385655209534863,1186.8,0.2,6.85,6.76,33
1789385656245050493,1203.5,0.0,6.69,0.00,34
1789385657279774927,1203.7,0.0,6.38,0.00,34
1789385658313651321,1115.9,0.0,6.63,0.00,34
1789385659344471377,1193.7,0.0,6.84,0.00,24
1789385660374831599,1219.7,0.2,6.32,7.07,33
1789385661406234402,1080.2,0.0,6.72,0.00,27
1789385662440444685,1200.6,0.0,6.56,0.00,31
1789385663474572331,1202.3,0.0,6.62,0.00,34
1789385664508968641,1086.2,0.0,6.48,0.00,33
1789385665545430083,1201.8,0.2,6.54,6.72,32
1789385666591670297,1195.5,0.0,6.69,0.00,33
1789385667623588175,1035.4,0.0,6.34,0.00,33
1789385668657918068,1194.1,0.0,6.80,0.00,33
1789385669692992615,1190.4,0.0,6.56,0.00,0
1789385670725989289,1015.8,0.2,6.46,5.83,34
