wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789385581928382364,126304372,212,0,820,0
1789385582956286727,126258144,16,0,820,0
1789385583983053575,126203700,60,0,820,0
1789385585004046702,126180724,196,0,820,0
1789385586031972040,126177004,204,0,820,0
1789385587062517885,126139700,224,0,820,0
1789385588089225989,126137048,248,0,820,0
1789385589119141054,125995044,52,0,820,0
1789385590147661515,125828836,208,0,820,0
1789385591176049272,125761316,228,0,820,0
1789385592227565241,125299116,252,0,820,0
1789385593298359512,124971416,280,0,11060,0
1789385594326916719,125402152,64,0,146132,0
1789385595362028744,124016232,252,0,146240,0
1789385596391270655,120057428,276,0,146228,0
1789385597420642623,115844464,292,0,146228,0
1789385598450286278,111775664,304,0,146228,0
1789385599480299838,107539208,56,0,146228,0
1789385600509681886,103085272,232,0,146228,0
1789385601541740159,99022236,252,0,146228,0
1789385602571078096,94451216,264,0,146228,0
1789385603600244633,90385108,0,0,146228,0
1789385604628958525,86077356,60,0,146228,0
1789385605658554839,81974636,192,0,146228,0
1789385606687988274,77718876,196,0,146228,0
1789385607717700192,73402044,224,0,146228,0
1789385608749504711,69386768,0,80,146228,0
1789385609781350807,65340516,180,0,146228,0
1789385610810902403,60902720,204,0,146228,0
1789385611836018758,58754384,224,0,146228,0
1789385612863850420,58781316,240,0,146228,0
1789385613892420678,58782308,260,0,146228,0
1789385614921400645,58783732,3576,0,146228,0
1789385615949854564,58805308,3636,0,146228,0
1789385616978270500,58946912,3652,0,146228,0
1789385618006522262,58945796,3668,0,146232,0
1789385619037611004,57844756,376,40,146232,0
1789385620069366005,56614804,1880,0,146232,0
1789385621102407177,58960816,1896,0,146232,0
1789385622134641430,58962152,1912,0,146232,0
1789385623169057738,58958416,1932,0,146232,0
1789385624203718992,58957680,1948,0,146232,0
1789385625238133025,58958216,132,0,146232,0
1789385626270802121,58955392,152,0,146232,0
1789385627305601523,58951148,176,0,146232,0
1789385628337504272,58952668,196,0,146232,0
1789385629368086757,58951748,212,0,146232,0
1789385630402345234,58949200,124,0,146232,0
1789385631436800189,58949172,172,0,146232,0
1789385632470834833,58952904,188,0,146232,0
1789385633505925281,58949932,208,0,146232,0
1789385634540125888,58946172,216,0,146232,0
1789385635570477873,58947864,144,0,146232,0
1789385636605009830,58950060,172,0,146232,0
1789385637639577739,58946508,192,0,146232,0
1789385638673251029,58949888,204,0,146232,0
1789385639707368878,58947940,224,0,146232,0
1789385640740984398,58945304,144,0,146232,0
1789385641771893230,58948284,176,0,146232,0
1789385642806683041,58945992,184,0,146232,0
1789385643840641339,58944512,204,0,146232,0
1789385644874907697,58948728,224,0,146232,0
1789385645909085552,58944976,32,0,146232,0
1789385646943647911,58945112,64,0,146232,0
1789385647978433460,58946924,92,0,146232,0
1789385649012958572,58945592,104,0,146232,0
1789385650046723884,58943136,204,0,146232,0
1789385651079758382,58949416,64,0,146232,0
1789385652111172603,58950112,88,0,146232,0
1789385653145397870,58945572,104,0,146232,0
1789385654178990128,58949028,120,0,146232,0
1789385655209534863,58943156,136,0,146232,0
1789385656245050493,58939968,60,0,146232,0
1789385657279774927,58938896,76,0,146232,0
1789385658313651321,58939992,96,0,146232,0
1789385659344471377,58938228,112,0,146232,0
1789385660374831599,58932784,8,0,146232,0
1789385661406234402,58941372,56,0,146232,0
1789385662440444685,58939812,84,0,146232,0
1789385663474572331,58938296,100,0,146232,0
1789385664508968641,59157164,116,0,146232,0
1789385665545430083,59208444,4,0,146232,0
1789385666591670297,59206912,68,0,146232,0
1789385667623588175,59194792,88,0,146232,0
1789385668657918068,59198552,108,0,146232,0
1789385669692992615,59188084,120,0,146232,0
1789385670725989289,59201068,8,0,146232,0
1789385671761248050,59209844,64,0,146232,0
1789385672796233495,59202632,88,0,146232,0
1789385673830315595,59199116,96,0,146232,0
1789385674861804063,59192052,120,0,146232,0
1789385675895592971,59183248,268156,7980,146232,0
1789385676930041102,59195092,1466584,0,146232,0
1789385677962808500,59148728,2538944,0,146232,0
1789385678997237747,59189636,3750640,0,146232,0
1789385680031961608,59143596,4959880,0,146232,0
1789385681065106322,59131688,5983300,11732,146232,0
1789385682097254306,59190236,6600140,8192,146232,0
1789385683129044726,58506892,7555420,8000,146232,0
1789385684159930797,59181752,8195192,5616,146232,0
1789385685189087979,59182572,9156624,10208,146232,0
1789385686221626639,59167952,9701120,10632,146232,0
1789385687250014599,59166204,9288784,15988,146232,0
1789385688277020283,58543636,9176868,21344,146232,0
1789385689306284535,59170032,9303860,11888,146232,0
