procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
 5  0       623164     68107712        48156     59494740    2    3 11551   539    1    1   1   0  97   2   0 2026-09-14 20:33:00
 2  0       623164     67999264        49036     59511368    0    0 17352     0 3005 4986   3   1  97   0   0 2026-09-14 20:33:01
 1  1       623164     67934544        50776     59529416    0    0 20132   156 3520 5944   3   0  96   0   0 2026-09-14 20:33:02
 2  0       623164     67841816        52312     59568668    0    0 40664     0 5423 6556   4   8  88   0   0 2026-09-14 20:33:03
 2  0       623164     67807792        52792     59575268    0    0  6624   108 2453 3881   3   0  97   0   0 2026-09-14 20:33:04
 1  0       623164     67802760        52792     59575492   12    0    12     0 2133 3378   0   0  99   0   0 2026-09-14 20:33:05
 3  0       623164     67756672        52992     59604712    0    0 29900     0 2304 4009   1   0  99   0   0 2026-09-14 20:33:06
 2  0       622396     67725432        53232     59612696 1284    0  8992     0 2463 3865   1   0  98   0   0 2026-09-14 20:33:07
 1  0       622396     67599464        53240     59612780    0    0    72   180 1927 3043   1   0  98   0   0 2026-09-14 20:33:08
 1  0       621884     67482096        53248     59616768   48    0  4028   140 2723 4057   4   1  96   0   0 2026-09-14 20:33:09
 1  0       621884     67390128        53248     59616776    0    0     0     0 1914 3127   3   0  97   0   0 2026-09-14 20:33:10
 3  0       621884     67110928        53804     59621568    0    0  5740     0 2777 4355   3   1  96   0   0 2026-09-14 20:33:11
 3  0       621884     66629692        54148     59645184    4    0 14004     0 96342 6020  18   2  80   0   0 2026-09-14 20:33:12
 2  0       621116     66987204        56964     59769948  716    0 128300   176 7032 9545   6   1  92   1   0 2026-09-14 20:33:13
 2  0       621116     66818948        57352     59915108   16    0  9568   176 58780 9297   3   1  95   0   0 2026-09-14 20:33:14
 3  0       621116     63386588        57424     59928624  336    0 13992     0 8729 13248   4   2  93   0   0 2026-09-14 20:33:15
 1  0       620860     59443384        57428     59928812   28    0   132     0 7509 12365   2   2  95   0   0 2026-09-14 20:33:16
 1  0       620860     55014144        57428     59928832    4    0     8     0 7035 12081   1   2  97   0   0 2026-09-14 20:33:17
 1  0       620860     51132744        57432     59928856   96    0   100   196 7556 12561   1   2  96   0   0 2026-09-14 20:33:18
 1  0       620860     47144508        57440     59928868    4    0     4   160 7435 12423   1   2  96   0   0 2026-09-14 20:33:19
 1  0       620860     42753552        57440     59928952    4    0    72     0 7236 12319   1   2  96   0   0 2026-09-14 20:33:20
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
 1  0       620604     38779680        57440     59928972    4    0     4     0 7431 12418   1   2  96   0   0 2026-09-14 20:33:21
 1  0       620092     34624404        57440     59928984  336    0   336     0 7292 12442   2   2  96   0   0 2026-09-14 20:33:22
 1  0       620092     30534348        57440     59929004   32    0    32   220 7047 12335   1   2  96   0   0 2026-09-14 20:33:23
 1  0       619580     26437312        57452     59929072  212    0   264   124 7193 12616   2   2  96   0   0 2026-09-14 20:33:24
 3  0       619580     22075628        57452     59929176   40    0   128     0 7477 12690   1   2  97   0   0 2026-09-14 20:33:25
 1  0       619580     18128704        57452     59929192    0    0     0     0 7203 12184   1   2  97   0   0 2026-09-14 20:33:26
 2  0       619580     14091488        57452     59929204    0    0     0     0 35013 12215   1   2  96   0   0 2026-09-14 20:33:27
 2  0       619580     14826452        57016     55258736    0    0     0   160 12053 13177   1   4  94   0   0 2026-09-14 20:33:28
 1  0       619580     16406164        56616     49718340    0    0     0   140 7696 13347   1   4  94   0   0 2026-09-14 20:33:29
 2  0       619580     17442568        56436     44933932  188    0  3372     0 8174 13387   2   4  94   0   0 2026-09-14 20:33:30
 1  0       619580     18881436        58336     41512448    0    0  2300     0 7589 13869   1   3  95   0   0 2026-09-14 20:33:31
 2  0       619068     26686292        58616     33735104  424    0  1168     0 95146 13063   1   6  93   0   0 2026-09-14 20:33:32
 2  0       619068     34332576        58856     26089252    4    0   804   160 99760 12101   0   6  94   0   0 2026-09-14 20:33:33
 3  0       619068     42050276        59076     18373752    0    0   196  3584 93096 12275   0   6  94   0   0 2026-09-14 20:33:34
 2  0       619068     49799320        59160     10646516    0    0    84     0 113290 11861   0   6  94   0   0 2026-09-14 20:33:35
 1  0       619068     58065144        59196      2446500    0    0   352     0 13323 12021   0   3  97   0   0 2026-09-14 20:33:36
 0  0       619068     58063416        59196      2446816    0    0    80     4 6475 12701   0   0  99   0   0 2026-09-14 20:33:37
 4 15       619068     56081728        59200      3455712    0    0 1011004  1912 12204 19362   4   6  66  24   0 2026-09-14 20:33:38
