timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/19 11:08:47.121, 0 %, 0 %, 15 MiB, 16384 MiB, 6.96 W, 38
2026/09/19 11:08:48.134, 0 %, 0 %, 15 MiB, 16384 MiB, 7.05 W, 38
2026/09/19 11:08:49.140, 0 %, 0 %, 15 MiB, 16384 MiB, 7.19 W, 38
2026/09/19 11:08:50.146, 0 %, 0 %, 15 MiB, 16384 MiB, 7.07 W, 38
2026/09/19 11:08:51.152, 0 %, 0 %, 15 MiB, 16384 MiB, 7.08 W, 38
2026/09/19 11:08:52.158, 1 %, 0 %, 15 MiB, 16384 MiB, 7.36 W, 38
2026/09/19 11:08:53.164, 0 %, 0 %, 15 MiB, 16384 MiB, 7.08 W, 37
2026/09/19 11:08:54.170, 0 %, 0 %, 15 MiB, 16384 MiB, 7.05 W, 37
2026/09/19 11:08:55.176, 0 %, 0 %, 15 MiB, 16384 MiB, 7.00 W, 37
2026/09/19 11:08:56.182, 0 %, 0 %, 15 MiB, 16384 MiB, 11.58 W, 37
2026/09/19 11:08:57.187, 0 %, 0 %, 18 MiB, 16384 MiB, 13.01 W, 37
2026/09/19 11:08:58.213, 0 %, 0 %, 134 MiB, 16384 MiB, 39.53 W, 39
2026/09/19 11:08:59.217, 0 %, 0 %, 6246 MiB, 16384 MiB, 39.43 W, 40
2026/09/19 11:09:00.220, 0 %, 0 %, 6246 MiB, 16384 MiB, 39.19 W, 40
2026/09/19 11:09:01.224, 34 %, 1 %, 6246 MiB, 16384 MiB, 40.04 W, 40
2026/09/19 11:09:02.227, 3 %, 0 %, 6246 MiB, 16384 MiB, 39.26 W, 40
2026/09/19 11:09:03.230, 100 %, 59 %, 6926 MiB, 16384 MiB, 209.20 W, 46
2026/09/19 11:09:04.233, 0 %, 0 %, 6926 MiB, 16384 MiB, 53.43 W, 42
2026/09/19 11:09:05.235, 0 %, 0 %, 7238 MiB, 16384 MiB, 53.59 W, 42
2026/09/19 11:09:06.237, 0 %, 0 %, 7238 MiB, 16384 MiB, 53.69 W, 42
2026/09/19 11:09:07.239, 28 %, 1 %, 7408 MiB, 16384 MiB, 76.96 W, 43
2026/09/19 11:09:08.242, 100 %, 6 %, 7408 MiB, 16384 MiB, 144.96 W, 45
2026/09/19 11:09:09.246, 100 %, 12 %, 7408 MiB, 16384 MiB, 112.24 W, 46
2026/09/19 11:09:10.248, 100 %, 6 %, 7408 MiB, 16384 MiB, 149.34 W, 46
2026/09/19 11:09:11.250, 100 %, 11 %, 7408 MiB, 16384 MiB, 118.86 W, 48
2026/09/19 11:09:12.252, 87 %, 69 %, 7408 MiB, 16384 MiB, 116.79 W, 49
2026/09/19 11:09:13.254, 100 %, 6 %, 7408 MiB, 16384 MiB, 143.99 W, 48
2026/09/19 11:09:14.258, 100 %, 13 %, 7408 MiB, 16384 MiB, 113.66 W, 50
2026/09/19 11:09:15.264, 100 %, 6 %, 7408 MiB, 16384 MiB, 148.15 W, 49
