#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260919    01:34:54       0      7     49      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    01:34:55       0      8     49      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    01:34:56       0      7     49      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    01:34:57       0      7     49      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    01:34:58       0      7     48      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    01:34:59       0      7     48      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      9      0 
 20260919    01:35:00       0      7     48      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    01:35:01       0      8     48      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    01:35:03       0      8     47      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    01:35:04       0      7     47      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    01:35:05       0     43     48      -      2      0      0      0      0      0   6500   1620      0      0    134      7      0      -      -      0      0      0 
 20260919    01:35:06       0     42     49      -      0      0      0      0      0      0   6500   1620      0      0    866      7      0      -      -      0      1      1 
 20260919    01:35:07       0     42     49      -      0      0      0      0      0      0   6500   1620      0      0   6246      7      0      -      -      0      0      0 
 20260919    01:35:08       0     43     49      -     31      1      0      0      0      0   6500   1620      0      0   6246      7      0      -      -      0   4704    381 
 20260919    01:35:09       0     42     49      -      0      0      0      0      0      0   6500   1620      0      0   6246      7      0      -      -      0      0      0 
 20260919    01:35:10       0    210     55      -    100     60      0      0      0      0   6500   1785      0      0   6926      7      0      -      -      0     22      9 
 20260919    01:35:11       0     56     51      -      0      0      0      0      0      0   6500   1920      0      0   6926      7      0      -      -      0      0      4 
 20260919    01:35:12       0     55     51      -      0      0      0      0      0      0   6500   1620      0      0   7086      7      0      -      -      0      0      0 
 20260919    01:35:13       0     43     50      -      0      0      0      0      0      0   6500   1620      0      0   7086      7      0      -      -      0      0      0 
 20260919    01:35:14       0     43     50      -      0      0      0      0      0      0   6500   1620      0      0   7086      7      0      -      -      0      0      0 
 20260919    01:35:15       0     43     50      -      0      0      0      0      0      0   6500   1620      0      0   7086      7      0      -      -      0      0      0 
 20260919    01:35:16       0     42     50      -      0      0      0      0      0      0   6500   1620      0      0   7086      7      0      -      -      0      0      0 
 20260919    01:35:17       0     42     50      -      0      0      0      0      0      0   6500   1620      0      0   7086      7      0      -      -      0      0      0 
 20260919    01:35:18       0     43     50      -      0      0      0      0      0      0   6500   1620      0      0   7086      7      0      -      -      0      0      9 
 20260919    01:35:19       0     43     50      -      0      0      0      0      0      0   6500   1620      0      0   7086      7      0      -      -      0      0      0 
 20260919    01:35:21       0     43     50      -      0      0      0      0      0      0   6500   1620      0      0   7086      7      0      -      -      0      0      0 
 20260919    01:35:22       0     43     50      -      0      0      0      0      0      0   6500   1620      0      0   7086      7      0      -      -      0      0      0 
 20260919    01:35:23       0     44     50      -      0      0      0      0      0      0   6500   1620      0      0   7086      7      0      -      -      0      0      0 
 20260919    01:35:24       0     42     50      -      0      0      0      0      0      0   6500   1620      0      0   7086      7      0      -      -      0      0      0 
 20260919    01:35:25       0     43     50      -      0      0      0      0      0      0   6500   1620      0      0   7086      7      0      -      -      0      0      0 
