timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/19 01:34:54.468, 0 %, 0 %, 15 MiB, 16384 MiB, 7.59 W, 49
2026/09/19 01:34:55.483, 0 %, 0 %, 15 MiB, 16384 MiB, 7.53 W, 49
2026/09/19 01:34:56.489, 0 %, 0 %, 15 MiB, 16384 MiB, 7.22 W, 49
2026/09/19 01:34:57.495, 0 %, 0 %, 15 MiB, 16384 MiB, 7.26 W, 49
2026/09/19 01:34:58.500, 0 %, 0 %, 15 MiB, 16384 MiB, 10.44 W, 48
2026/09/19 01:34:59.506, 0 %, 0 %, 15 MiB, 16384 MiB, 8.21 W, 48
2026/09/19 01:35:00.512, 0 %, 0 %, 15 MiB, 16384 MiB, 7.48 W, 48
2026/09/19 01:35:01.518, 0 %, 0 %, 15 MiB, 16384 MiB, 7.27 W, 48
2026/09/19 01:35:02.524, 0 %, 0 %, 15 MiB, 16384 MiB, 7.34 W, 48
2026/09/19 01:35:03.530, 0 %, 0 %, 15 MiB, 16384 MiB, 7.27 W, 47
2026/09/19 01:35:04.535, 0 %, 0 %, 18 MiB, 16384 MiB, 10.60 W, 47
2026/09/19 01:35:05.542, 0 %, 0 %, 134 MiB, 16384 MiB, 42.94 W, 49
2026/09/19 01:35:06.544, 0 %, 0 %, 6246 MiB, 16384 MiB, 43.00 W, 49
2026/09/19 01:35:07.546, 26 %, 1 %, 6246 MiB, 16384 MiB, 43.24 W, 49
2026/09/19 01:35:08.548, 21 %, 1 %, 6246 MiB, 16384 MiB, 43.16 W, 49
2026/09/19 01:35:09.551, 0 %, 0 %, 6226 MiB, 16384 MiB, 43.06 W, 49
2026/09/19 01:35:10.553, 100 %, 60 %, 6926 MiB, 16384 MiB, 208.08 W, 55
2026/09/19 01:35:11.557, 0 %, 0 %, 6926 MiB, 16384 MiB, 56.01 W, 51
2026/09/19 01:35:12.560, 0 %, 0 %, 7086 MiB, 16384 MiB, 55.73 W, 51
2026/09/19 01:35:13.562, 0 %, 0 %, 7086 MiB, 16384 MiB, 43.05 W, 50
2026/09/19 01:35:14.564, 0 %, 0 %, 7086 MiB, 16384 MiB, 43.88 W, 50
