wall_ns,read_MBps,write_MBps,read_lat_ms,write_lat_ms,inflight
1789749222367464175,0.0,0.0,0.00,0.00,0
1789749223379100684,0.0,0.0,0.00,0.00,0
1789749224392993700,0.0,0.0,0.00,0.00,0
1789749225402903828,0.0,0.0,0.00,0.00,0
1789749226414413946,0.0,3.2,0.00,1.54,0
1789749227425034187,0.0,0.0,0.00,0.00,0
1789749228437069816,0.0,0.0,0.00,0.00,0
1789749229447693762,0.0,0.0,0.00,0.00,0
1789749230458189740,0.0,0.0,0.00,0.00,0
1789749231469142132,0.0,2.4,0.00,1.26,0
1789749232480686417,0.0,0.0,0.00,0.00,0
1789749233491809386,0.0,0.0,0.00,0.00,0
1789749234502785978,0.0,0.0,0.00,14.00,0
1789749235516719164,0.0,1.2,0.00,3.60,0
1789749236529946892,0.0,2.1,0.00,0.88,0
1789749237539797944,0.0,0.0,0.00,0.00,0
1789749238549234317,0.0,0.0,0.00,0.00,0
1789749239559394073,0.0,0.0,0.00,0.00,0
1789749240570043595,0.0,0.0,0.00,0.00,0
1789749241581332463,0.3,1.7,0.40,0.47,0
1789749242591308102,0.0,0.0,0.00,0.00,0
1789749243601175128,0.0,0.0,0.00,0.00,0
1789749244611228123,0.0,0.0,0.00,0.00,0
1789749245621787299,0.0,0.0,0.00,0.00,0
1789749246632339223,0.0,0.7,0.00,4.36,0
1789749247642028983,0.0,0.0,0.00,0.00,0
1789749248652316275,0.0,0.0,0.00,0.00,0
1789749249664911627,0.0,0.0,0.00,0.00,0
1789749250677861300,0.0,0.0,0.00,0.00,0
1789749251688303074,0.0,0.7,0.00,4.59,0
1789749252698818499,0.0,0.0,0.00,0.00,0
1789749253709776308,0.0,0.0,0.00,0.00,0
1789749254722608461,0.0,0.0,0.00,0.00,0
1789749255736396571,0.0,0.0,0.00,0.00,0
1789749256750420642,0.0,0.8,0.00,2.43,0
1789749257761420872,0.0,0.0,0.00,5.67,0
1789749258775563269,0.0,0.0,0.00,0.00,0
1789749259790632141,0.0,0.0,0.00,0.00,0
1789749260805416818,0.0,0.0,0.00,0.00,0
1789749261817140047,0.0,0.4,0.00,1.75,0
1789749262827675415,0.0,0.1,0.00,8.50,0
1789749263839323368,0.0,0.0,0.00,6.33,0
1789749264850965346,0.0,0.0,0.00,0.00,0
1789749265861911604,0.0,0.0,0.00,0.00,0
1789749266875203740,0.0,0.2,0.00,4.38,0
1789749267888968794,0.0,0.0,0.00,0.00,0
1789749268903612933,0.0,0.2,0.00,10.33,0
1789749269916708135,0.0,0.0,0.00,5.67,0
1789749270928872909,0.0,0.1,0.00,1.00,0
1789749271941980409,0.0,0.0,0.00,0.00,0
1789749272955731237,0.0,0.5,0.00,1.33,0
1789749273967726169,0.0,0.0,0.00,0.00,0
1789749274981917596,0.0,0.0,0.00,0.00,0
1789749275993042245,0.0,0.2,0.00,6.80,0
1789749277005516911,0.0,0.0,0.00,0.00,0
1789749278018379689,0.0,0.4,0.00,3.12,0
1789749279030448312,0.0,0.0,0.00,0.00,0
1789749280042202567,0.0,0.0,0.00,0.00,0
1789749281054617476,0.0,0.1,0.00,6.00,0
1789749282068902657,0.0,0.0,0.00,0.00,0
1789749283082814576,0.0,0.2,0.00,3.45,0
1789749284613727532,0.0,0.2,0.00,8.00,0
