wall_ns,read_MBps,write_MBps,read_lat_ms,write_lat_ms,inflight
1789749442012951511,0.0,0.2,0.00,6.33,0
1789749443027758905,0.0,0.4,0.00,1.46,0
1789749444068319050,0.0,0.0,0.00,0.00,0
1789749445079538581,0.0,0.0,0.00,0.00,0
1789749446092917263,0.0,0.0,0.00,0.00,0
1789749447104052169,0.0,0.1,0.00,5.67,0
1789749448118670393,0.0,0.4,0.00,1.95,0
1789749449129906750,0.0,0.0,0.00,0.00,0
1789749450140793064,0.0,0.0,0.00,0.00,0
1789749451151717536,0.0,0.0,0.00,0.00,0
1789749452162628099,0.0,0.1,0.00,7.00,0
1789749453173479735,0.0,0.0,0.00,0.00,0
1789749454184454791,0.0,0.4,0.00,1.60,0
1789749455196568802,0.0,0.0,0.00,0.00,0
1789749456211014019,0.0,0.0,0.00,0.00,0
1789749457221976441,0.0,0.2,0.00,5.33,0
1789749458232877359,0.0,0.0,0.00,0.00,0
1789749459243586203,0.0,0.3,0.00,2.59,0
1789749460254093390,0.0,0.0,0.00,0.00,0
1789749461264949587,0.0,0.0,0.00,0.00,0
1789749462275493501,0.0,0.1,0.00,5.67,0
1789749463285562979,0.0,0.0,0.00,0.00,0
1789749464295993491,0.0,0.2,0.00,3.61,0
1789749465306142038,0.0,0.0,0.00,0.00,0
1789749466316608680,0.0,0.0,0.00,0.00,0
1789749467326980283,0.0,0.1,0.00,5.67,0
1789749468337100259,0.0,0.0,0.00,0.00,0
1789749469347237871,0.0,0.2,0.00,4.48,0
1789749470357587155,0.0,0.0,0.00,0.00,0
1789749471367934953,0.0,0.0,0.00,0.00,0
1789749472378337179,0.0,0.1,0.00,6.60,0
1789749473388457837,0.0,0.0,0.00,0.00,0
1789749474398654685,0.0,0.2,0.00,4.35,0
1789749475409071967,0.0,0.0,0.00,0.00,0
1789749476419373249,0.0,0.0,0.00,0.00,0
1789749477430111686,0.0,0.1,0.00,5.67,0
1789749478440495041,0.0,0.0,0.00,0.00,0
1789749479450873843,0.0,0.2,0.00,5.09,0
1789749480461178219,0.0,0.0,0.00,0.00,0
1789749481471243166,0.0,0.0,0.00,0.00,0
1789749482481857344,0.0,0.1,0.00,5.83,0
1789749483494685004,0.0,0.0,0.00,0.00,0
1789749484509731939,0.0,0.2,0.00,4.96,0
1789749485522969711,0.0,0.0,0.00,0.00,0
1789749486533656496,0.0,0.0,0.00,0.00,0
1789749487545571191,0.0,0.1,0.00,5.33,0
1789749488558564550,0.0,0.0,0.00,0.00,0
1789749489571209467,0.0,0.3,0.00,3.53,0
1789749491599612143,0.0,0.0,0.00,0.00,0
