wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789749442012951511,120958056,464,0,1216,0
1789749443027758905,120900932,8,0,1216,0
1789749444068319050,120843544,208,0,1216,0
1789749445079538581,120834296,280,0,1216,0
1789749446092917263,120812368,296,0,1216,0
1789749447104052169,120797336,404,0,1216,0
1789749448118670393,120635676,0,148,1216,0
1789749449129906750,120483376,208,0,1216,0
1789749450140793064,120414360,240,0,1216,0
1789749451151717536,119938116,296,0,1216,0
1789749452162628099,119626152,464,0,11456,0
1789749453173479735,120093168,476,0,48332,0
1789749454184454791,120118584,68,0,48324,0
1789749455196568802,120155536,120,0,48324,0
1789749456211014019,120149936,128,0,48324,0
1789749457221976441,120046952,324,0,48324,0
1789749458232877359,119963120,348,0,48324,0
1789749459243586203,119928948,40,0,48324,0
1789749460254093390,119925680,108,0,48324,0
1789749461264949587,119784144,144,0,48324,0
1789749462275493501,119779060,260,0,48324,0
1789749463285562979,119780372,268,0,48324,0
1789749464295993491,119779460,32,0,48324,0
1789749465306142038,119775456,104,0,48324,0
1789749466316608680,119701560,136,0,48324,0
1789749467326980283,119698752,232,0,48324,0
1789749468337100259,119696804,272,0,48324,0
1789749469347237871,119694040,4,0,48324,0
1789749470357587155,119691352,84,0,48324,0
1789749471367934953,119688588,88,0,48324,0
1789749472378337179,119684916,252,0,48324,0
1789749473388457837,119682192,280,0,48324,0
1789749474398654685,119680228,0,0,48324,0
1789749475409071967,119678484,64,0,48324,0
1789749476419373249,119675836,112,0,48324,0
1789749477430111686,119674924,208,0,48324,0
1789749478440495041,119672256,236,0,48324,0
1789749479450873843,119671780,0,0,48324,0
1789749480461178219,119667292,76,0,48324,0
1789749481471243166,119666376,100,0,48324,0
1789749482481857344,119662796,232,0,48324,0
1789749483494685004,119659724,232,0,48324,0
1789749484509731939,119656776,0,120,48324,0
1789749485522969711,119605840,84,0,48324,0
1789749486533656496,119602112,128,0,48324,0
1789749487545571191,119600060,252,0,48324,0
1789749488558564550,119600288,280,0,48324,0
1789749489571209467,119597320,300,0,48324,0
1789749491599612143,119638008,96,0,48324,0
