procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
 5  0       555280     96095632      1023004     25180220    2    3 15745   569    0    0   1   1  96   3   0 2026-09-19 01:37:21
 2  0       555280     96009504      1023016     25180276    0    0     0   156 2683 5020   3   1  96   0   0 2026-09-19 01:37:22
37  0       555280     95953616      1023016     25180296    0    0     0   440 3191 4891   3   1  96   0   0 2026-09-19 01:37:23
 2  0       555280     95897472      1023016     25180312    0    0     0     0 4742 5123   5   7  89   0   0 2026-09-19 01:37:24
 1  0       555280     95885168      1023016     25180348    0    0     0   499 2654 5053   1   0  99   0   0 2026-09-19 01:37:25
 2  0       555280     95877816      1023016     25180372    0    0     0     0 2671 5032   1   0  99   0   0 2026-09-19 01:37:26
 1  0       555280     95849152      1023024     25180388    0    0     0   108 2385 5097   1   1  99   0   0 2026-09-19 01:37:27
 1  0       555280     95705360      1023024     25180424    0    0     0     0 2609 4653   1   1  98   0   0 2026-09-19 01:37:28
 1  0       555280     95551504      1023024     25180452    0    0     0   400 2616 4786   3   0  97   0   0 2026-09-19 01:37:29
 1  0       555280     95485288      1023024     25179704    0    0     0     0 2277 4578   3   0  97   0   0 2026-09-19 01:37:30
 1  0       555280     95019792      1023024     25179732    0    0     0     0 3860 5340   3   1  95   0   0 2026-09-19 01:37:31
 3  0       555280     94725696      1023040     25189992    0    0     0   152 6086 7002  18   1  81   0   0 2026-09-19 01:37:32
 1  0       555280     95145888      1023040     25226832    0    0     0     0 5736 7672   6   1  93   0   0 2026-09-19 01:37:33
 3  0       555280     95033048      1023040     25226852    0    0     0   440 3666 6561   3   1  96   0   0 2026-09-19 01:37:34
18  0       555280     95199480      1023040     25226872    0    0     0     0 6225 14562  27   5  68   0   0 2026-09-19 01:37:35
 1  0       555280     95202536      1023040     25226896    0    0     0     0 5231 7714  18   3  78   0   0 2026-09-19 01:37:36
 1  0       555280     95098352      1023052     25226928    0    0     0   180 3549 6164   3   0  97   0   0 2026-09-19 01:37:37
 1  0       555280     95044968      1023052     25226944    0    0     0     0 3778 6526   3   1  96   0   0 2026-09-19 01:37:38
 1  0       555280     94992336      1023052     25226976    0    0     0   308 6283 8716   2   1  97   0   0 2026-09-19 01:37:39
 0  0       555280     94978256      1023052     25226996    0    0     4     0 7215 13738   2   0  98   0   0 2026-09-19 01:37:40
