wall_ns,read_MBps,write_MBps,read_lat_ms,write_lat_ms,inflight
1789750094807090137,0.0,0.2,0.00,6.33,0
1789750095817957041,0.0,0.0,0.00,0.00,0
1789750096828636676,0.0,0.0,0.00,0.00,0
1789750097839575799,0.0,0.0,0.00,0.00,0
1789750098851425951,0.0,0.3,0.00,3.31,0
1789750099862637376,0.0,0.1,0.00,5.67,0
1789750100874989821,0.0,0.0,0.00,0.00,0
1789750101886455101,0.0,0.0,0.00,0.00,0
1789750102897920195,0.0,0.0,0.00,0.00,0
1789750103917290913,0.0,0.2,0.00,3.35,0
1789750104987281521,0.0,0.1,0.00,6.33,0
1789750105998573032,0.0,0.0,0.00,0.00,0
1789750107009752862,0.0,0.0,0.00,14.00,0
1789750108023547385,0.0,0.0,0.00,0.00,0
1789750109037239045,0.0,0.4,0.00,1.70,0
1789750110048676662,0.0,0.2,0.00,6.40,0
1789750111059551291,0.0,0.0,0.00,0.00,0
1789750112070828911,0.0,0.0,0.00,0.00,0
1789750113082356537,0.0,0.0,0.00,0.00,0
1789750114093693768,0.0,0.4,0.00,1.54,0
1789750115104511544,0.0,0.2,0.00,6.33,0
1789750116115131719,0.0,0.0,0.00,0.00,0
1789750117125624431,0.0,0.0,0.00,0.00,0
1789750118136542930,0.0,0.0,0.00,0.00,0
1789750119147181905,0.0,0.3,0.00,2.11,0
1789750120158360185,0.0,0.1,0.00,5.67,0
1789750121169148076,0.0,0.0,0.00,0.00,0
1789750122179750126,0.0,0.0,0.00,0.00,0
1789750123190614695,0.0,0.0,0.00,0.00,0
1789750124201538196,0.0,0.2,0.00,4.87,0
1789750125212741467,0.0,0.1,0.00,5.67,0
1789750126224155617,0.0,0.0,0.00,0.00,0
1789750127234933502,0.0,0.0,0.00,0.00,0
1789750128245330583,0.0,0.0,0.00,0.00,0
1789750129255675995,0.0,0.2,0.00,3.61,0
1789750130265704349,0.0,0.1,0.00,5.67,0
1789750131275788510,0.0,0.0,0.00,0.00,0
1789750132285880359,0.0,0.0,0.00,0.00,0
1789750133295962054,0.0,0.0,0.00,0.00,0
1789750134306076037,0.0,0.3,0.00,3.77,0
1789750135316834631,0.0,0.2,0.00,7.20,0
1789750136329013722,0.0,0.0,0.00,0.00,0
1789750137342137661,0.0,0.0,0.00,0.00,0
1789750138355552879,0.0,0.0,0.00,0.00,0
1789750139366476328,0.0,0.3,0.00,2.48,0
1789750140378364109,0.0,0.1,0.00,5.67,0
1789750141392771553,0.0,0.0,0.00,0.00,0
1789750142405877270,0.0,0.0,0.00,0.00,0
1789750144415851769,0.0,0.0,0.00,0.00,16
