timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/19 01:48:13.839, 0 %, 0 %, 15 MiB, 16384 MiB, 7.49 W, 53
2026/09/19 01:48:14.858, 0 %, 0 %, 15 MiB, 16384 MiB, 7.49 W, 53
2026/09/19 01:48:15.864, 0 %, 0 %, 15 MiB, 16384 MiB, 7.62 W, 52
2026/09/19 01:48:16.870, 0 %, 0 %, 15 MiB, 16384 MiB, 7.74 W, 52
2026/09/19 01:48:17.876, 0 %, 0 %, 15 MiB, 16384 MiB, 7.83 W, 52
2026/09/19 01:48:18.882, 0 %, 0 %, 15 MiB, 16384 MiB, 7.75 W, 52
2026/09/19 01:48:19.888, 1 %, 0 %, 15 MiB, 16384 MiB, 8.03 W, 51
2026/09/19 01:48:20.894, 0 %, 0 %, 15 MiB, 16384 MiB, 7.92 W, 51
2026/09/19 01:48:21.900, 0 %, 0 %, 15 MiB, 16384 MiB, 7.77 W, 51
2026/09/19 01:48:22.906, 0 %, 0 %, 15 MiB, 16384 MiB, 7.84 W, 51
2026/09/19 01:48:23.911, 0 %, 0 %, 18 MiB, 16384 MiB, 13.93 W, 51
2026/09/19 01:48:24.916, 0 %, 0 %, 134 MiB, 16384 MiB, 44.40 W, 52
2026/09/19 01:48:25.918, 1 %, 0 %, 6246 MiB, 16384 MiB, 45.58 W, 52
2026/09/19 01:48:26.920, 0 %, 0 %, 6246 MiB, 16384 MiB, 45.50 W, 53
2026/09/19 01:48:27.924, 32 %, 1 %, 6246 MiB, 16384 MiB, 44.87 W, 53
2026/09/19 01:48:28.927, 0 %, 0 %, 6246 MiB, 16384 MiB, 45.01 W, 53
2026/09/19 01:48:29.929, 100 %, 59 %, 6926 MiB, 16384 MiB, 213.66 W, 58
2026/09/19 01:48:30.938, 0 %, 0 %, 6926 MiB, 16384 MiB, 56.46 W, 54
2026/09/19 01:48:31.941, 12 %, 10 %, 7388 MiB, 16384 MiB, 133.46 W, 55
2026/09/19 01:48:32.944, 0 %, 0 %, 7388 MiB, 16384 MiB, 45.78 W, 53
2026/09/19 01:48:33.967, 0 %, 0 %, 7388 MiB, 16384 MiB, 44.67 W, 53
2026/09/19 01:48:34.969, 100 %, 7 %, 7728 MiB, 16384 MiB, 132.44 W, 58
2026/09/19 01:48:35.975, 100 %, 7 %, 7728 MiB, 16384 MiB, 149.39 W, 57
2026/09/19 01:48:36.977, 100 %, 12 %, 7728 MiB, 16384 MiB, 114.78 W, 57
2026/09/19 01:48:37.980, 100 %, 6 %, 7728 MiB, 16384 MiB, 149.62 W, 59
2026/09/19 01:48:38.984, 100 %, 12 %, 7728 MiB, 16384 MiB, 106.03 W, 58
2026/09/19 01:48:39.986, 100 %, 6 %, 7732 MiB, 16384 MiB, 150.98 W, 59
2026/09/19 01:48:40.989, 100 %, 12 %, 7732 MiB, 16384 MiB, 115.39 W, 59
2026/09/19 01:48:41.994, 100 %, 6 %, 7732 MiB, 16384 MiB, 153.90 W, 59
2026/09/19 01:48:42.996, 100 %, 11 %, 7732 MiB, 16384 MiB, 124.79 W, 60
2026/09/19 01:48:43.998, 100 %, 11 %, 7732 MiB, 16384 MiB, 149.96 W, 59
2026/09/19 01:48:45.002, 100 %, 6 %, 7732 MiB, 16384 MiB, 155.54 W, 60
2026/09/19 01:48:46.005, 100 %, 7 %, 7732 MiB, 16384 MiB, 136.99 W, 62
2026/09/19 01:48:47.008, 100 %, 6 %, 7732 MiB, 16384 MiB, 152.53 W, 61
2026/09/19 01:48:48.011, 100 %, 12 %, 7732 MiB, 16384 MiB, 146.14 W, 60
2026/09/19 01:48:49.013, 100 %, 6 %, 7732 MiB, 16384 MiB, 114.54 W, 62
2026/09/19 01:48:50.015, 100 %, 6 %, 7732 MiB, 16384 MiB, 114.57 W, 63
2026/09/19 01:48:51.018, 100 %, 12 %, 7732 MiB, 16384 MiB, 149.35 W, 62
2026/09/19 01:48:52.020, 100 %, 10 %, 7732 MiB, 16384 MiB, 147.18 W, 62
2026/09/19 01:48:53.022, 100 %, 6 %, 7732 MiB, 16384 MiB, 150.81 W, 63
2026/09/19 01:48:54.025, 100 %, 12 %, 7732 MiB, 16384 MiB, 144.83 W, 62
2026/09/19 01:48:55.027, 0 %, 0 %, 7732 MiB, 16384 MiB, 58.90 W, 60
2026/09/19 01:48:56.029, 0 %, 0 %, 7732 MiB, 16384 MiB, 58.74 W, 60
2026/09/19 01:48:57.031, 0 %, 0 %, 7732 MiB, 16384 MiB, 46.62 W, 59
2026/09/19 01:48:58.034, 84 %, 63 %, 7732 MiB, 16384 MiB, 129.43 W, 62
2026/09/19 01:48:59.037, 100 %, 35 %, 7732 MiB, 16384 MiB, 146.34 W, 64
2026/09/19 01:49:00.042, 0 %, 0 %, 7732 MiB, 16384 MiB, 59.87 W, 60
2026/09/19 01:49:01.044, 0 %, 0 %, 7732 MiB, 16384 MiB, 53.62 W, 59
2026/09/19 01:49:02.046, 0 %, 0 %, 7732 MiB, 16384 MiB, 47.62 W, 59
2026/09/19 01:49:03.048, 0 %, 0 %, 6286 MiB, 16384 MiB, 47.80 W, 59
