wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789750157312988641,120773752,476,0,1216,0
1789750158323995752,120722636,504,0,1216,0
1789750159334660706,120674756,320,0,1216,0
1789750160346519451,120796556,44,0,1216,0
1789750161361307668,120792348,108,0,1216,0
1789750162375251198,120761224,396,0,1216,0
1789750163389875007,120626444,424,0,1216,0
1789750164401272368,120459904,452,0,1216,0
1789750165412771919,120387916,40,0,1216,0
1789750166457267919,119938236,116,0,1216,0
1789750167507173239,119615340,136,0,11456,0
1789750168518291710,120060564,368,0,48320,0
1789750169529526404,120073940,396,4,48324,0
1789750170543350073,120081004,32,0,48324,0
1789750171555831300,120123208,112,0,48324,0
1789750172567143365,119962416,124,0,48324,0
1789750173578345161,119920368,144,0,48324,0
1789750174590020098,119885632,172,0,48324,0
1789750175602129156,119880420,136,4,48324,0
1789750176617393577,119740464,104,0,48324,0
1789750177628085260,119758944,132,0,48324,0
1789750178638455095,119751164,156,0,48324,0
1789750179650039158,119749456,184,0,48324,0
1789750180660841899,119745444,272,0,48324,0
1789750181671856680,119673932,76,0,48324,0
1789750182682726202,119666828,132,0,48324,0
1789750183693408720,119662868,144,0,48324,0
1789750184704343318,119659128,188,0,48324,0
1789750185714780977,119650896,308,28,48324,0
1789750186726131779,119646596,64,0,48324,0
1789750187736866276,119645520,136,0,48324,0
1789750188747957404,119643068,152,0,48324,0
1789750189758827281,119640588,176,0,48324,0
1789750190770336194,119640652,400,0,48324,0
1789750191780874944,119639268,64,0,48324,0
1789750192791733917,119635312,120,0,48324,0
1789750193801844815,119637708,140,0,48324,0
1789750194812193459,119636592,176,0,48324,0
1789750195822191212,119635376,344,0,48324,0
1789750196832439717,119633680,64,0,48324,0
1789750197843276956,119630552,116,0,48324,0
1789750198857595174,119630784,144,0,48324,0
1789750199871467211,119629092,168,0,48324,0
1789750200884850389,119579604,188,0,48324,0
1789750201895874166,119578304,376,0,48324,0
1789750202908003509,119577600,128,0,48324,0
1789750203922017186,119577208,144,0,48324,0
1789750204935769180,119575552,192,0,48324,0
1789750206917547610,119606032,40,0,48324,0
